pathway	abundance	LIBID
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	1278798.4154287449	MBM166
UNINTEGRATED|unclassified	180862.6806664453	MBM166
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	92786.3995605679	MBM166
UNINTEGRATED|g__Klebsiella.s__Klebsiella_quasipneumoniae	88476.5314060139	MBM166
UNINTEGRATED|g__Escherichia.s__Escherichia_fergusonii	83416.3414774309	MBM166
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	54394.2691733381	MBM166
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_epidermidis	5440.6158517964	MBM166
UNINTEGRATED|g__Klebsiella.s__Klebsiella_aerogenes	5004.5833399045	MBM166
UNINTEGRATED|g__Streptococcus.s__Streptococcus_pneumoniae	1166.0816825006	MBM166
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	101.3378197933	MBM166
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	26731.6127197274	MBM166
PWY-6969: TCA cycle V (2-oxoglutarate synthase)|g__Escherichia.s__Escherichia_coli	22362.0727713626	MBM166
PWY-6969: TCA cycle V (2-oxoglutarate synthase)|g__Klebsiella.s__Klebsiella_pneumoniae	266.3059678723	MBM166
PWY-6969: TCA cycle V (2-oxoglutarate synthase)|unclassified	78.8070341372	MBM166
GLYOXYLATE-BYPASS: glyoxylate cycle	25609.3445764358	MBM166
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Escherichia.s__Escherichia_coli	23458.4486116198	MBM166
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Klebsiella.s__Klebsiella_quasipneumoniae	876.8045271435	MBM166
GLYOXYLATE-BYPASS: glyoxylate cycle|unclassified	422.2297071197	MBM166
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Klebsiella.s__Klebsiella_pneumoniae	327.4439947337	MBM166
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	15401.8312961077	MBM166
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation|g__Escherichia.s__Escherichia_coli	13511.6325501614	MBM166
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation|unclassified	106.3978314039	MBM166
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	11543.326499407	MBM166
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Escherichia.s__Escherichia_coli	8172.1129749264	MBM166
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_fragilis	117.1619916016	MBM166
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Klebsiella.s__Klebsiella_pneumoniae	43.7703148536	MBM166
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	16.5578757728	MBM166
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Klebsiella.s__Klebsiella_quasipneumoniae	9.7808071997	MBM166
PWY-7663: gondoate biosynthesis (anaerobic)	10144.5792044497	MBM166
PWY-7663: gondoate biosynthesis (anaerobic)|g__Escherichia.s__Escherichia_coli	9507.0614697723	MBM166
PWY-7663: gondoate biosynthesis (anaerobic)|g__Klebsiella.s__Klebsiella_quasipneumoniae	385.4419288047	MBM166
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	43.0520388955	MBM166
PWY-7663: gondoate biosynthesis (anaerobic)|g__Staphylococcus.s__Staphylococcus_epidermidis	16.6854754776	MBM166
PWY-7663: gondoate biosynthesis (anaerobic)|g__Escherichia.s__Escherichia_fergusonii	15.3469169714	MBM166
PWY-7663: gondoate biosynthesis (anaerobic)|g__Klebsiella.s__Klebsiella_pneumoniae	11.4826807493	MBM166
PWY-7663: gondoate biosynthesis (anaerobic)|g__Klebsiella.s__Klebsiella_aerogenes	4.8054656542	MBM166
FAO-PWY: fatty acid &beta;-oxidation I (generic)	9993.7432841135	MBM166
FAO-PWY: fatty acid &beta;-oxidation I (generic)|g__Escherichia.s__Escherichia_coli	9047.2544056228	MBM166
