feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X3NVFE	mol_type	RNA	10.1085079904473	0.456749165062101	82	42	2.31102397178001e-35	3.60450408878529e-31
X3NU3J	mol_type	RNA	13.6970247770354	0.626239727460945	82	43	5.11303855549131e-35	3.9874031174999e-31
X3NUFA	mol_type	RNA	10.5181829765859	0.511701174463664	82	56	3.19521752935715e-33	1.66119359351278e-29
X3P4B8	mol_type	RNA	9.30469643729015	0.460207352152577	82	41	9.48099054391127e-33	3.6968752378346e-29
X3NWYF	mol_type	RNA	10.3715729352566	0.390584190934139	82	41	1.27168369594067e-32	3.96689012111734e-29
X3P4XY	mol_type	RNA	12.1898622516182	0.446052079082951	82	41	2.38421687065405e-32	6.19777175526521e-29
X3P7BC	mol_type	RNA	9.59578395064598	0.365201275125338	82	46	4.42556637070669e-32	9.86079409770175e-29
X3P5A0	mol_type	RNA	11.0626491051382	0.407859082158198	82	41	3.56250144662187e-31	6.94554188287017e-28
X3NUHC	mol_type	RNA	9.24814959403154	0.428959866729963	82	42	7.46350155108541e-29	1.2934248188031e-25
X3NUZ6	mol_type	RNA	9.07611501443349	0.433987390169282	82	43	3.53607753152208e-28	5.515220125915e-25
X3P2TD	mol_type	RNA	10.3345972293115	0.505595735497358	82	41	5.01910768050338e-28	7.11663840843738e-25
X3P285	mol_type	RNA	10.574391842798	0.536827078295359	82	41	6.07677447998359e-27	7.89828763035867e-24
X3NWFC	mol_type	RNA	9.43428320503473	0.419237599814685	82	41	7.05833397127033e-27	8.46837191922334e-24
X3P2YN	mol_type	RNA	9.4914342047797	0.490819186524952	82	40	1.88676759630846e-26	2.10199387140164e-23
X3P5PV	mol_type	RNA	9.28233248814249	0.583039134730296	82	40	3.20405991648214e-26	3.33158150115813e-23
X3NWSK	mol_type	RNA	11.3400582235291	0.594982039026822	82	41	1.02409396821451e-25	9.98299601390103e-23
X3NUQM	mol_type	RNA	7.69301903731391	0.416453936545332	82	59	4.29690914055896e-25	3.94228775678224e-22
X3NVIS	mol_type	RNA	10.1591545267107	0.527184092563674	82	47	4.9476353423122e-25	4.28712602411352e-22
X3P1RZ	mol_type	RNA	9.8269581543413	0.544127724140752	82	41	5.95900435171947e-25	4.89171530914571e-22
X3NYGG	mol_type	RNA	8.32047280074647	0.446618583111946	82	71	8.87033718343235e-25	6.91753245249972e-22
X3P40N	mol_type	RNA	9.78972564453354	0.55813183060516	82	41	1.15746605901431e-24	8.59666577259339e-22
X3NVS1	mol_type	RNA	10.2215107133394	0.564371079286519	82	45	1.69075506232136e-24	1.19866848668301e-21
X3NTW9	mol_type	RNA	9.5656270622415	0.523407540949624	82	41	2.23026616706666e-24	1.44939422532245e-21
X3P3VN	mol_type	RNA	9.31391956299228	0.478850103467385	82	40	2.15741785822814e-24	1.44939422532245e-21
X3NVU5	mol_type	RNA	10.024238539371	0.575747055370356	82	42	2.55485130885802e-24	1.59392063457034e-21
X3P3Z6	mol_type	RNA	9.01422664778875	0.510180858579272	82	34	2.79875611916016e-24	1.67893073809773e-21
X3NW2G	mol_type	RNA	9.24765654066377	0.62831388691904	82	48	3.23206363799785e-24	1.82010048996451e-21
X3NWIQ	mol_type	RNA	10.09022235303	0.579894648984863	82	54	3.26747539392231e-24	1.82010048996451e-21
X3NU07	mol_type	RNA	9.32457415315445	0.546806753618592	82	41	4.1646297477162e-24	2.23985276465964e-21
X3NUCI	mol_type	RNA	10.9665017023826	0.640934818757965	82	41	5.69824841257742e-24	2.962519349699e-21
X3NU8K	mol_type	RNA	9.42276143486704	0.561020211542219	82	41	7.54143607728505e-24	3.79431543540048e-21
X3NY3W	mol_type	RNA	8.5034022019324	0.486072510551854	82	44	1.05449108824895e-23	5.1396554698184e-21
X3NW98	mol_type	RNA	9.8044633883657	0.581945499686296	82	52	1.20914903325609e-23	5.71487802172585e-21
X3NZG9	mol_type	RNA	9.4551620145475	0.551475104320033	82	40	1.2949981703302e-23	5.94061366548239e-21
X3NVJE	mol_type	RNA	12.7422501985297	0.748463369577901	82	42	1.81538857709728e-23	8.08989018199609e-21
X3NWY4	mol_type	RNA	9.64925554911698	0.586702788254373	82	41	2.53127126874234e-23	1.09667327718262e-20
X3P20Z	mol_type	RNA	10.3381847624056	0.635479221916891	82	40	3.58902452136912e-23	1.51291933675119e-20
X2ZWWZ	mol_type	RNA	-8.29046167732325	0.496149750657889	82	50	5.12644797507459e-23	2.1041370807168e-20
X3P3WW	mol_type	RNA	9.47510938839267	0.507088439336232	82	41	6.06549447272479e-23	2.42573121259201e-20
X3NTZQ	mol_type	RNA	7.70916697272448	0.460088285860579	82	40	7.8055187198448e-23	3.04356688683549e-20
COG1240	mol_type	RNA	-9.61618794990028	0.575258706212687	82	55	8.61598438620198e-23	3.27764654808762e-20
X3NV1F	mol_type	RNA	7.74340662026634	0.481496330166245	82	39	1.06271540092672e-22	3.9464695495843e-20
COG0383	mol_type	RNA	-10.5661238850742	0.636661413254437	82	60	1.10533869967968e-22	4.00929481369861e-20
X3P2QP	mol_type	RNA	8.5068236453307	0.523135033258108	82	39	1.20486780585458e-22	4.27098253816226e-20
X3NX80	mol_type	RNA	6.95037918423218	0.406933308828024	82	75	1.26951178039813e-22	4.40012783085991e-20
COG2716	mol_type	RNA	-7.21352386509648	0.445352270158975	82	51	1.36919259921059e-22	4.64245586301903e-20
X3P0H0	mol_type	RNA	7.50592109381843	0.446209229220697	82	67	1.49938146875722e-22	4.97571335493751e-20
X3P4EF	mol_type	RNA	10.4698922455016	0.642969993465075	82	39	2.01178621498044e-22	6.53704783230206e-20
COG3381	mol_type	RNA	-8.87955461775762	0.550323601312351	82	47	2.65978914929362e-22	8.29694627230653e-20
X3P4BA	mol_type	RNA	8.58106788977319	0.534482580241463	82	40	2.65958262236357e-22	8.29694627230653e-20
