qseq_name	sseq_name	num_aligned_residues	qseq_len	sseq_len	qseq_cov	sseq_cov
gi|126652785|ref|ZP_01724937.1|Bacillus_sp_B14905	MET_02967399	49	57	63	85.96491228070175	77.77777777777779
gi|126652785|ref|ZP_01724937.1|Bacillus_sp_B14905	gi|238062982|ref|ZP_04607691.1|Micromonospora_sp_ATCC_39149	55	57	86	96.49122807017544	63.95348837209303
gi|126652785|ref|ZP_01724937.1|Bacillus_sp_B14905	gi|238626063|gb|ACR48342.1|Streptomyces_actuosus	47	57	50	82.45614035087719	94.0
gi|126652785|ref|ZP_01724937.1|Bacillus_sp_B14905	gi|289425701|ref|ZP_06427465.1|cutimycin|Cutibacterium_acnes	46	57	47	80.7017543859649	97.87234042553192
gi|126652785|ref|ZP_01724937.1|Bacillus_sp_B14905	MET_03151623	46	57	49	80.7017543859649	93.87755102040816
gi|126652785|ref|ZP_01724937.1|Bacillus_sp_B14905	gi|309387049|gb|ADO67770.1|Nocardiopsis_sp_TFS6507	46	57	48	80.7017543859649	95.83333333333334
MET_02967399	gi|238062982|ref|ZP_04607691.1|Micromonospora_sp_ATCC_39149	62	63	86	98.4126984126984	72.09302325581395
MET_02967399	gi|238626063|gb|ACR48342.1|Streptomyces_actuosus	41	63	50	65.07936507936508	82.0
MET_02967399	gi|289425701|ref|ZP_06427465.1|cutimycin|Cutibacterium_acnes	41	63	47	65.07936507936508	87.2340425531915
MET_02967399	MET_03151623	41	63	49	65.07936507936508	83.6734693877551
MET_02967399	gi|309387049|gb|ADO67770.1|Nocardiopsis_sp_TFS6507	41	63	48	65.07936507936508	85.41666666666666
gi|238062982|ref|ZP_04607691.1|Micromonospora_sp_ATCC_39149	gi|238626063|gb|ACR48342.1|Streptomyces_actuosus	49	86	50	56.97674418604651	98.0
gi|238062982|ref|ZP_04607691.1|Micromonospora_sp_ATCC_39149	gi|289425701|ref|ZP_06427465.1|cutimycin|Cutibacterium_acnes	47	86	47	54.65116279069767	100.0
gi|238062982|ref|ZP_04607691.1|Micromonospora_sp_ATCC_39149	MET_03151623	47	86	49	54.65116279069767	95.91836734693877
gi|238062982|ref|ZP_04607691.1|Micromonospora_sp_ATCC_39149	gi|309387049|gb|ADO67770.1|Nocardiopsis_sp_TFS6507	47	86	48	54.65116279069767	97.91666666666666
gi|238626063|gb|ACR48342.1|Streptomyces_actuosus	gi|289425701|ref|ZP_06427465.1|cutimycin|Cutibacterium_acnes	45	50	47	90.0	95.74468085106383
gi|238626063|gb|ACR48342.1|Streptomyces_actuosus	MET_03151623	45	50	49	90.0	91.83673469387756
gi|238626063|gb|ACR48342.1|Streptomyces_actuosus	gi|309387049|gb|ADO67770.1|Nocardiopsis_sp_TFS6507	45	50	48	90.0	93.75
gi|289425701|ref|ZP_06427465.1|cutimycin|Cutibacterium_acnes	MET_03151623	47	47	49	100.0	95.91836734693877
gi|289425701|ref|ZP_06427465.1|cutimycin|Cutibacterium_acnes	gi|309387049|gb|ADO67770.1|Nocardiopsis_sp_TFS6507	46	47	48	97.87234042553192	95.83333333333334
MET_03151623	gi|309387049|gb|ADO67770.1|Nocardiopsis_sp_TFS6507	46	49	48	93.87755102040816	95.83333333333334
