1	-	Achromobacter	UniRef90_A0A1E4JXY0
1	-	Achromobacter	UniRef90_A0A1F4FGI1
1	-	Achromobacter	UniRef90_A0A371WMJ6
2	-	Achromobacter	UniRef90_A0A426V5X9
2	-	Achromobacter	UniRef90_A0A4R3V1M7
1	-	Achromobacter	UniRef90_A0A4R6YX83
1	-	Achromobacter	UniRef90_UPI0006149C50
1	-	Achromobacter	UniRef90_UPI000614C9BB
2	-	Achromobacter	UniRef90_UPI000696C2EF
1	-	Achromobacter_deleyi	UniRef90_A0A6M1MIG3
2	-	Achromobacter_deleyi	UniRef90_F7T7C2
4	-	Achromobacter_deleyi	UniRef90_UPI0018E1648E
6	-	Achromobacter_denitrificans	UniRef90_A0A6S7FFB0
2	-	Achromobacter_denitrificans	UniRef90_U1YEY2
2	-	Achromobacter_insolitus	UniRef90_A0A512DQT1
1	-	Achromobacter_sp._AONIH1	UniRef90_A0A2I8DGL9
2	-	Achromobacter_sp._AONIH1	UniRef90_A0A4R6R844
6	-	Achromobacter_sp._AONIH1	UniRef90_A0A4T2A4U6
2	-	Achromobacter_sp._AONIH1	UniRef90_UPI001465B45C
2	-	Achromobacter_spanius	UniRef90_B2UCZ7
2	-	Achromobacter_xylosoxidans	UniRef90_A0A1E4K2D1
4	-	Achromobacter_xylosoxidans	UniRef90_A0A1F4GFN2
2	-	Achromobacter_xylosoxidans	UniRef90_A0A2D8X0L3
2	-	Achromobacter_xylosoxidans	UniRef90_A0A451CV71
4	-	Achromobacter_xylosoxidans	UniRef90_A2SFZ3
2	-	Acidovorax	UniRef90_A0A0Q5M0V8
7	-	Acidovorax	UniRef90_A0A0Q8SQQ1
2	-	Acidovorax	UniRef90_A0A1I2BL80
9	-	Acidovorax	UniRef90_A0A1I2ESJ8
1	-	Acidovorax	UniRef90_A0A3N1LL45
2	-	Acidovorax	UniRef90_A0A554WKY1
2	-	Acidovorax_antarcticus	UniRef90_A0A3A1W6C6
1	-	Acidovorax_antarcticus	UniRef90_A0A4Q3MSK6
2	-	Acidovorax_antarcticus	UniRef90_A0A522BQS3
1	-	Acidovorax_antarcticus	UniRef90_A0A5C7W3W1
4	-	Acidovorax_avenae_subsp._avenae	UniRef90_A0A0Q5LNM8
2	-	Acidovorax_avenae_subsp._avenae	UniRef90_A0A2R4EHT6
2	-	Acidovorax_avenae_subsp._avenae	UniRef90_A0A3C0KCB9
4	-	Acidovorax_avenae_subsp._avenae	UniRef90_F0Q539
2	-	Acidovorax_avenae_subsp._avenae	UniRef90_F0QAT1
2	-	Acidovorax_avenae_subsp._avenae_ATCC_19860	UniRef90_A0A7C9PKC9
4	-	Acidovorax_carolinensis	UniRef90_A0A7V8BRI3
1	-	Acidovorax_cattleyae	UniRef90_A0A1H0QA00
1	-	Acidovorax_cattleyae	UniRef90_A0A1I2BNP6
1	-	Acidovorax_cattleyae	UniRef90_A1TJA2
4	-	Acidovorax_citrulli	UniRef90_A0A1I2BIQ2
4	-	Acidovorax_citrulli	UniRef90_A0A1I2ESQ4
2	-	Acidovorax_citrulli	UniRef90_A1TII1
1	-	Acidovorax_monticola	UniRef90_A0A0A1VFA1
12	-	Acidovorax_monticola	UniRef90_A0A0Q5LNK1
2	-	Acidovorax_monticola	UniRef90_A0A1I2CIA4
2	-	Acidovorax_monticola	UniRef90_A0A2W5PIH0
1	-	Acidovorax_monticola	UniRef90_A0A4Q3Q7W3
2	-	Acidovorax_monticola	UniRef90_A0A7H0HJY3
3	-	Acidovorax_monticola	UniRef90_UPI000835675F
2	-	Acidovorax_sp._1608163	UniRef90_A0A426V965
2	-	Acidovorax_sp._HDW3	UniRef90_A0A317RCF2
2	-	Acidovorax_sp._HDW3	UniRef90_W7X2V9
1	-	Acidovorax_sp._JMULE5	UniRef90_A0A0C4YVN2
2	-	Acidovorax_sp._JMULE5	UniRef90_A0A7S0K6P5
2	-	Acidovorax_sp._KKS102	UniRef90_A0A165J470
