4	-	Achromobacter	UniRef90_A0A0Q6A2A2
4	-	Achromobacter	UniRef90_A0A1I2B4Y1
2	-	Achromobacter	UniRef90_A0A512DV37
1	-	Achromobacter	UniRef90_A0A5C7KKN0
2	-	Achromobacter_deleyi	UniRef90_A0A0D6HIV3
4	-	Achromobacter_deleyi	UniRef90_F7T303
1	-	Achromobacter_denitrificans	UniRef90_A0A254NFH5
42	-	Achromobacter_insolitus	UniRef90_A0A512DQT1
2	-	Achromobacter_mucicolens	UniRef90_A0A0N1C8P0
2	-	Achromobacter_pestifer	UniRef90_A0A1G7S280
1	-	Achromobacter_sp._AONIH1	UniRef90_A0A0A2VNB8
4	-	Achromobacter_sp._AONIH1	UniRef90_A0A2I8DCN2
4	-	Achromobacter_sp._AONIH1	UniRef90_A0A2I8DRW1
1	-	Achromobacter_sp._AONIH1	UniRef90_A0A4R6R9X8
4	-	Achromobacter_sp._AONIH1	UniRef90_A0A512DU59
2	-	Achromobacter_sp._AONIH1	UniRef90_A0A5N7ZL03
6	-	Achromobacter_sp._AONIH1	UniRef90_UPI000FD721A5
1	-	Achromobacter_sp._MFA1_R4	UniRef90_A0A6J4IAJ1
2	-	Achromobacter_spanius	UniRef90_B2U998
2	-	Achromobacter_xylosoxidans	UniRef90_A0A0K6IRK8
6	-	Achromobacter_xylosoxidans	UniRef90_A0A4Y1MVG1
6	-	Achromobacter_xylosoxidans	UniRef90_A0A512DW04
1	-	Achromobacter_xylosoxidans_A8	UniRef90_A0A0F9G2G6
1	-	Achromobacter_xylosoxidans_A8	UniRef90_A0A4Q3DBU8
2	-	Achromobacter_xylosoxidans_A8	UniRef90_A0A5C7NKK9
1	-	Acidovorax	UniRef90_A0A1I2AMI1
2	-	Acidovorax	UniRef90_A0A512DQV8
2	-	Acidovorax_avenae_subsp._avenae	UniRef90_A0A4Y9T4S7
2	-	Acidovorax_carolinensis	UniRef90_A0A4R6R8L3
2	-	Acidovorax_cattleyae	UniRef90_A0A4Q3ZYU0
3	-	Acidovorax_citrulli	UniRef90_A1TIT1
4	-	Acidovorax_monticola	UniRef90_A0A431JNV0
1	-	Acidovorax_sp._1608163	UniRef90_A0A0Q5M920
2	-	Acidovorax_sp._1608163	UniRef90_A0A1G6R5R7
1	-	Acidovorax_sp._1608163	UniRef90_A0A1H9FCL2
2	-	Acidovorax_sp._1608163	UniRef90_A0A4Q3QK47
1	-	Acidovorax_sp._1608163	UniRef90_Q6JWS4
2	-	Acidovorax_sp._HDW3	UniRef90_A0A4R6R8D5
2	-	Acidovorax_sp._HDW3	UniRef90_A0A554XQZ3
1	-	Acidovorax_sp._KKS102	UniRef90_A0A1E3ZWI6
1	-	Acidovorax_sp._KKS102	UniRef90_D0J6U7
1	-	Acidovorax_sp._RAC01	UniRef90_A0A1E3ZWI6
2	-	Acidovorax_sp._RAC01	UniRef90_A0A512DHP6
3	-	Acidovorax_sp._RAC01	UniRef90_A0A5C9CUB0
1	-	Acidovorax_sp._RAC01	UniRef90_F5XZZ1
2	-	Bordetella	UniRef90_A0A0Q5MV04
2	-	Bordetella	UniRef90_A0A0Q5P9C3
6	-	Bordetella	UniRef90_A0A1I2G2P6
4	-	Bordetella	UniRef90_A0A537MKK7
2	-	Bordetella	UniRef90_W9GXZ1
6	-	Bordetella_bronchiseptica	UniRef90_A0A512DTD8
5	-	Bordetella_flabilis	UniRef90_A0A0Q5MVC4
5	-	Bordetella_flabilis	UniRef90_A0A0Q5N0L3
2	-	Bordetella_flabilis	UniRef90_A0A193FT41
2	-	Bordetella_flabilis	UniRef90_A0A1Q3QZ68
4	-	Bordetella_hinzii	UniRef90_A0A512DP45
3	-	Bordetella_sp._H567	UniRef90_A0A1H1ECD2
