pangene	baseMean	log2FoldChange	lfcSE	pvalue	padj	Pangenome Class	COG	Description	Enzyme Class	KEGG Orthology	KEGG Pathway	KEGG Reaction	Resistance Product	Resistance	Metabolism
cluster_1	1109.2727604925628	-6.584346513772622e-4	0.3450635353558764	0.9983977272181614	0.9990500615711297	core	I	Mevalonate kinase	Hydroxymethylglutaryl-CoA reductase[1.1.1.88]; Hydroxymethylglutaryl-CoA synthase[2.3.3.10]; Mevalonate kinase[2.7.1.36]	hydroxymethylglutaryl-CoA reductase[K00054]; mevalonate kinase[K00869]; hydroxymethylglutaryl-CoA synthase[K01641]	Valine, leucine and isoleucine degradation[map00280]; Butanoate metabolism[map00650]; Terpenoid backbone biosynthesis[map00900]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Peroxisome[map04146]	(S)-3-Hydroxy-3-methylglutaryl-CoA + CoA <=> Acetyl-CoA + H2O + Acetoacetyl-CoA[R01978]; (R)-Mevalonate + CoA + 2 NAD+ <=> (S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADH + 2 H+[R02081]; ATP + (R)-Mevalonate <=> ADP + (R)-5-Phosphomevalonate[R02245]	-	-	-
cluster_10	389.35446237919655	0.04791024697100881	0.24979006079093322	0.842033661939384	0.8835728353957977	core	P	Na( ) H( ) antiporter subunit	NADH:ubiquinone reductase (H(+)-translocating)[1.6.5.3]	NADH-quinone oxidoreductase subunit K[K00340]; multicomponent K+:H+ antiporter subunit C[K05560]; multicomponent Na+:H+ antiporter subunit C[K05567]	Oxidative phosphorylation[map00190]; Metabolic pathways[map01100]	Ubiquinone + NADH + 6 H+ <=> Ubiquinol + NAD+ + 5 H+[R11945]	-	-	-
cluster_100	384.99633865596644	1.1963893038261368	0.38233586939325426	0.001034132244922954	0.0027809895225627814	core	M	transferase	UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase[2.7.8.33]; UDP-N-acetylglucosamine--decaprenyl-phosphate N-acetylglucosaminephosphotransferase[2.7.8.35]	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase[K02851]	-	UDP-N-acetyl-alpha-D-glucosamine + di-trans,poly-cis-Undecaprenyl phosphate <=> N-Acetyl-D-glucosaminyldiphosphoundecaprenol + UMP[R08856]	-	-	-
cluster_1000	46.90882474603673	-0.6212475947328735	0.6571572152665504	0.2774070024070589	0.37251102515248635	dispensable	EH	COG0115 Branched-chain amino acid aminotransferase 4-amino-4-deoxychorismate lyase	Branched-chain-amino-acid transaminase[2.6.1.42]; Aminodeoxychorismate lyase[4.1.3.38]	branched-chain amino acid aminotransferase[K00826]; 4-amino-4-deoxychorismate lyase[K02619]	Cysteine and methionine metabolism[map00270]; Valine, leucine and isoleucine degradation[map00280]; Valine, leucine and isoleucine biosynthesis[map00290]; Pantothenate and CoA biosynthesis[map00770]; Folate biosynthesis[map00790]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; 2-Oxocarboxylic acid metabolism[map01210]; Biosynthesis of amino acids[map01230]	L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate[R01090]; L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoic acid + L-Glutamate[R01214]; L-Isoleucine + 2-Oxoglutarate <=> (S)-3-Methyl-2-oxopentanoic acid + L-Glutamate[R02199]; 4-Amino-4-deoxychorismate <=> 4-Aminobenzoate + Pyruvate[R05553]; (S)-2-Aminobutanoate + 2-Oxoglutarate <=> 2-Oxobutanoate + L-Glutamate[R10991]	-	-	-
cluster_1001	470.61406754743797	-0.17795227856506812	0.7730388418234824	0.7816404239777384	0.8377063046339444	dispensable	T	Member of the two-component regulatory system GraR GraS involved in resistance against cationic antimicrobial peptides (CAMPs). GraS probably functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to GraR	Histidine kinase[2.7.13.3]	two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS[K11629]; two-component system, OmpR family, sensor histidine kinase GraS[K19077]	Cationic antimicrobial peptide (CAMP) resistance[map01503]; Two-component system[map02020]	-	-	-	-
cluster_10018	78.29451094076288	1.0275993465431934	0.5907041398353737	0.05131116838621485	0.09121654600520956	dispensable	-	-	-	-	-	-	-	-	-
cluster_1002	150.05342466944998	1.5026633456383396	0.48834934455557155	8.827454504457724e-4	0.0024055598885368338	dispensable	J	Pseudouridine synthase	23S rRNA pseudouridine(1911/1915/1917) synthase[5.4.99.23]; tRNA pseudouridine(32) synthase[5.4.99.28]; 23S rRNA pseudouridine(746) synthase[5.4.99.29]	tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase[K06177]; 23S rRNA pseudouridine1911/1915/1917 synthase[K06180]	-	-	-	-	-
cluster_10021	69.89378359386794	-1.5404822116308525	1.5120520524970242	0.10299712891601732	0.16380072994276274	dispensable	Q	Methyltransferase	-	-	-	-	-	-	-
cluster_10025	234.16271128200935	-4.740891162855352	1.71232332609928	2.480379975364451e-4	7.485126960139225e-4	dispensable	D	acetyltransferases and hydrolases with the alpha beta hydrolase fold	Triacylglycerol lipase[3.1.1.3]	triacylglycerol lipase[K01046]	Glycerolipid metabolism[map00561]; Metabolic pathways[map01100]	Triacylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + Fatty acid[R02250]; 1,2-Diacyl-sn-glycerol + H2O <=> 1-Acylglycerol + Fatty acid[R02687]	-	-	-
cluster_1003	502.13899174248263	1.0942941828201875	0.35575017079590326	0.0013496889632644137	0.003536439088519161	dispensable	I	Carboxylesterase family	-	-	-	-	-	-	-
