ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	set_annotation
GO:0003735	structural constituent of ribosome	63	0.7108673502123981	2.083644001964854	1.2434241518784016e-6	2.7355331341324837e-4	2.1465427464006096e-4	796	tags=81%, list=25%, signal=62%	cluster_14549/cluster_15338/cluster_885/cluster_99/cluster_780/cluster_241/cluster_238/cluster_161/cluster_1277/cluster_602/cluster_95/cluster_151/cluster_115/cluster_177/cluster_955/cluster_134/cluster_321/cluster_1067/cluster_353/cluster_13725/cluster_119/cluster_432/cluster_735/cluster_362/cluster_604/cluster_269/cluster_433/cluster_373/cluster_153/cluster_374/cluster_156/cluster_375/cluster_1230/cluster_391/cluster_13726/cluster_15418/cluster_13724/cluster_896/cluster_364/cluster_14875/cluster_415/cluster_124/cluster_416/cluster_9423/cluster_14874/cluster_131/cluster_162/cluster_80/cluster_125/cluster_1464/cluster_102	GO_MF
GO:0005198	structural molecule activity	64	0.6984855564531339	2.052297631093501	4.1556199753913705e-6	4.571181972930508e-4	3.586956189285184e-4	796	tags=80%, list=25%, signal=61%	cluster_14549/cluster_15338/cluster_885/cluster_99/cluster_780/cluster_241/cluster_238/cluster_161/cluster_1277/cluster_602/cluster_95/cluster_151/cluster_115/cluster_177/cluster_955/cluster_134/cluster_321/cluster_1067/cluster_353/cluster_13725/cluster_119/cluster_432/cluster_735/cluster_362/cluster_604/cluster_269/cluster_433/cluster_373/cluster_153/cluster_374/cluster_156/cluster_375/cluster_1230/cluster_391/cluster_13726/cluster_15418/cluster_13724/cluster_896/cluster_364/cluster_14875/cluster_415/cluster_124/cluster_416/cluster_9423/cluster_14874/cluster_131/cluster_162/cluster_80/cluster_125/cluster_1464/cluster_102	GO_MF
GO:0008233	peptidase activity	67	0.6922153587676625	2.0463620588140876	7.88555477846832e-6	5.782740170876768e-4	4.537652574276508e-4	135	tags=15%, list=4%, signal=15%	cluster_1988/cluster_3301/cluster_17652/cluster_4380/cluster_1514/cluster_539/cluster_2578/cluster_5635/cluster_6426/cluster_4497	GO_MF
GO:0019843	rRNA binding	51	0.7017323691245286	1.9873972897734549	4.617165266975823e-5	0.0023833264662835685	0.0018701700500981114	795	tags=78%, list=25%, signal=60%	cluster_14549/cluster_15338/cluster_885/cluster_241/cluster_238/cluster_161/cluster_1277/cluster_95/cluster_177/cluster_955/cluster_134/cluster_321/cluster_1067/cluster_13725/cluster_119/cluster_432/cluster_362/cluster_604/cluster_269/cluster_433/cluster_374/cluster_156/cluster_375/cluster_391/cluster_13726/cluster_15418/cluster_13724/cluster_896/cluster_364/cluster_14875/cluster_415/cluster_124/cluster_416/cluster_77/cluster_9423/cluster_14874/cluster_131/cluster_174/cluster_125/cluster_18	GO_MF
GO:0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	13	-0.8403748567194632	-1.96774200696581	5.416651059735383e-5	0.0023833264662835685	0.0018701700500981114	78	tags=38%, list=2%, signal=38%	cluster_1766/cluster_1103/cluster_3937/cluster_2581/cluster_6456	GO_MF
GO:0003678	DNA helicase activity	27	-0.6870869701494541	-1.9210038118847859	2.497754843646044e-4	0.007850086651458995	0.006159876606886485	918	tags=74%, list=29%, signal=53%	cluster_1857/cluster_1220/cluster_4176/cluster_5245/cluster_18581/cluster_5984/cluster_20816/cluster_20817/cluster_1452/cluster_2265/cluster_1883/cluster_1353/cluster_1219/cluster_768/cluster_2320/cluster_916/cluster_4345/cluster_18592/cluster_21604/cluster_10904	GO_MF
GO:0008237	metallopeptidase activity	25	0.7658206258320082	1.90828060605158	2.476974942301345e-4	0.007850086651458995	0.006159876606886485	68	tags=16%, list=2%, signal=16%	cluster_1988/cluster_4380/cluster_539/cluster_2578	GO_MF
GO:0004175	endopeptidase activity	26	0.772602642512922	1.9362934903047784	3.844859217487447e-4	0.010573362848090479	0.008296801469315019	135	tags=23%, list=4%, signal=22%	cluster_1988/cluster_4380/cluster_1514/cluster_2578/cluster_6426/cluster_4497	GO_MF
GO:0016860	intramolecular oxidoreductase activity	18	-0.7441934596033493	-1.8959753119724074	6.858273247250936e-4	0.011434747805036616	0.008972720765674666	238	tags=33%, list=7%, signal=31%	cluster_1807/cluster_1359/cluster_1461/cluster_2335/cluster_3821/cluster_475	GO_MF
GO:0004003	DNA helicase activity	21	-0.7112878709033805	-1.8735405167984485	6.284262614393904e-4	0.011434747805036616	0.008972720765674666	918	tags=81%, list=29%, signal=58%	cluster_1857/cluster_4176/cluster_5245/cluster_18581/cluster_20816/cluster_20817/cluster_1452/cluster_2265/cluster_1883/cluster_1353/cluster_1219/cluster_768/cluster_2320/cluster_4345/cluster_18592/cluster_21604/cluster_10904	GO_MF
GO:0015144	carbohydrate transmembrane transporter activity	21	-0.7062703758672764	-1.8603243765723583	7.762881153090036e-4	0.011434747805036616	0.008972720765674666	247	tags=33%, list=8%, signal=31%	cluster_851/cluster_840/cluster_1766/cluster_1103/cluster_3937/cluster_2581/cluster_6456	GO_MF
GO:0030247	polysaccharide binding	16	0.8086585416455921	1.8462050960589378	5.557803242646039e-4	0.011434747805036616	0.008972720765674666	111	tags=25%, list=3%, signal=24%	cluster_4009/cluster_15378/cluster_6021/cluster_13247	GO_MF
GO:2001065	mannan binding	16	0.8086585416455921	1.8462050960589378	5.557803242646039e-4	0.011434747805036616	0.008972720765674666	111	tags=25%, list=3%, signal=24%	cluster_4009/cluster_15378/cluster_6021/cluster_13247	GO_MF
GO:0004527	exonuclease activity	49	-0.5744382073451103	-1.821344332866687	6.684374573393195e-4	0.011434747805036616	0.008972720765674666	945	tags=61%, list=29%, signal=44%	cluster_3333/cluster_2898/cluster_4176/cluster_5245/cluster_20893/cluster_11027/cluster_2254/cluster_1182/cluster_18581/cluster_5981/cluster_1119/cluster_1493/cluster_7577/cluster_20816/cluster_20817/cluster_1452/cluster_21252/cluster_1883/cluster_5115/cluster_4634/cluster_22210/cluster_7040/cluster_2320/cluster_1231/cluster_4351/cluster_1622/cluster_18592/cluster_6866/cluster_10904/cluster_5102	GO_MF
GO:0016301	kinase activity	124	-0.4370554827509166	-1.6274698620527877	7.796418957979511e-4	0.011434747805036616	0.008972720765674666	513	tags=25%, list=16%, signal=22%	cluster_1001/cluster_564/cluster_1609/cluster_1180/cluster_2308/cluster_1283/cluster_1904/cluster_2956/cluster_668/cluster_21429/cluster_1743/cluster_648/cluster_2239/cluster_239/cluster_1871/cluster_3789/cluster_8131/cluster_2561/cluster_2100/cluster_1967/cluster_1766/cluster_1103/cluster_21264/cluster_3937/cluster_1471/cluster_10208/cluster_1415/cluster_2581/cluster_4222/cluster_2007/cluster_6456	GO_MF
GO:0042626	ATPase-coupled transmembrane transporter activity	34	0.6907039968513928	1.8214295555571014	9.59103431704601e-4	0.01185569831980268	0.009303036002141817	571	tags=41%, list=18%, signal=34%	cluster_2/cluster_356/cluster_3744/cluster_5617/cluster_3367/cluster_143/cluster_1034/cluster_1502/cluster_2790/cluster_656/cluster_1405/cluster_11964/cluster_6905/cluster_705	GO_MF
GO:0043492	ATPase-coupled transmembrane transporter activity	34	0.6907039968513928	1.8214295555571014	9.59103431704601e-4	0.01185569831980268	0.009303036002141817	571	tags=41%, list=18%, signal=34%	cluster_2/cluster_356/cluster_3744/cluster_5617/cluster_3367/cluster_143/cluster_1034/cluster_1502/cluster_2790/cluster_656/cluster_1405/cluster_11964/cluster_6905/cluster_705	GO_MF
GO:0004222	metalloendopeptidase activity	10	0.86861205393306	1.8010849028374343	0.0010219575756481773	0.01185569831980268	0.009303036002141817	68	tags=30%, list=2%, signal=29%	cluster_1988/cluster_4380/cluster_2578	GO_MF
GO:0016773	phosphotransferase activity, alcohol group as acceptor	83	-0.4948728094342025	-1.731083232199566	0.0010239012185284133	0.01185569831980268	0.009303036002141817	182	tags=17%, list=6%, signal=16%	cluster_3789/cluster_8131/cluster_2100/cluster_1967/cluster_1766/cluster_1103/cluster_21264/cluster_3937/cluster_1471/cluster_1415/cluster_2581/cluster_4222/cluster_2007/cluster_6456	GO_MF
GO:0070011	peptidase activity	59	0.6216087842738185	1.8012317967422913	0.0011078637991586596	0.012186501790745255	0.009562613845369484	135	tags=14%, list=4%, signal=13%	cluster_1988/cluster_4380/cluster_1514/cluster_539/cluster_2578/cluster_5635/cluster_6426/cluster_4497	GO_MF
GO:0016853	isomerase activity	63	-0.5125857552998994	-1.7119538235236094	0.0011713186268646188	0.012270957043343625	0.009628884952671554	261	tags=17%, list=8%, signal=16%	cluster_1090/cluster_421/cluster_1807/cluster_1359/cluster_1957/cluster_1461/cluster_2335/cluster_2220/cluster_3821/cluster_3581/cluster_475	GO_MF
GO:0140096	catalytic activity, acting on a protein	130	0.5083518984744553	1.6589547574462837	0.0013092743516310702	0.012523493798210236	0.00982704776510277	169	tags=10%, list=5%, signal=10%	cluster_12918/cluster_1988/cluster_3301/cluster_17652/cluster_4380/cluster_1514/cluster_539/cluster_2578/cluster_5635/cluster_6426/cluster_6863/cluster_4497/cluster_1533	GO_MF
GO:0003723	RNA binding	142	0.49300307570982393	1.6279284092503707	0.001288765895610234	0.012523493798210236	0.00982704776510277	796	tags=43%, list=25%, signal=34%	cluster_14549/cluster_15338/cluster_885/cluster_10263/cluster_241/cluster_238/cluster_161/cluster_1277/cluster_95/cluster_115/cluster_177/cluster_955/cluster_134/cluster_321/cluster_1067/cluster_13725/cluster_574/cluster_119/cluster_432/cluster_317/cluster_13722/cluster_362/cluster_604/cluster_269/cluster_2463/cluster_433/cluster_373/cluster_374/cluster_13723/cluster_156/cluster_375/cluster_560/cluster_391/cluster_13726/cluster_15418/cluster_1504/cluster_13724/cluster_896/cluster_13276/cluster_364/cluster_14875/cluster_344/cluster_11546/cluster_19/cluster_415/cluster_573/cluster_124/cluster_672/cluster_188/cluster_416/cluster_77/cluster_553/cluster_9423/cluster_14874/cluster_131/cluster_174/cluster_92/cluster_1776/cluster_125/cluster_18/cluster_102	GO_MF
GO:0016861	intramolecular oxidoreductase activity, interconverting aldoses and ketoses	15	-0.7632102607465431	-1.859579950831928	0.001702295795153271	0.015604378122238317	0.01224458378969897	220	tags=33%, list=7%, signal=31%	cluster_1359/cluster_1461/cluster_2335/cluster_3821/cluster_475	GO_MF
GO:0015399	primary active transmembrane transporter activity	39	0.6523534437372522	1.76030661002795	0.004281244854273012	0.036225917997694715	0.02842607919436332	571	tags=38%, list=18%, signal=32%	cluster_2/cluster_356/cluster_3744/cluster_5617/cluster_3367/cluster_143/cluster_1034/cluster_399/cluster_1502/cluster_2790/cluster_656/cluster_1405/cluster_11964/cluster_6905/cluster_705	GO_MF
GO:0015405	ATPase-coupled transmembrane transporter activity	39	0.6523534437372522	1.76030661002795	0.004281244854273012	0.036225917997694715	0.02842607919436332	571	tags=38%, list=18%, signal=32%	cluster_2/cluster_356/cluster_3744/cluster_5617/cluster_3367/cluster_143/cluster_1034/cluster_399/cluster_1502/cluster_2790/cluster_656/cluster_1405/cluster_11964/cluster_6905/cluster_705	GO_MF
GO:0016772	transferase activity, transferring phosphorus-containing groups	187	-0.36263794249109854	-1.41759486826046	0.004793542075857994	0.03905849098847255	0.0306487680483708	524	tags=22%, list=16%, signal=20%	cluster_1568/cluster_6439/cluster_1001/cluster_564/cluster_21252/cluster_1609/cluster_1180/cluster_2308/cluster_22210/cluster_1283/cluster_21427/cluster_689/cluster_1569/cluster_1904/cluster_2956/cluster_7040/cluster_668/cluster_4771/cluster_1197/cluster_21429/cluster_1231/cluster_1743/cluster_648/cluster_2239/cluster_239/cluster_1871/cluster_3789/cluster_8131/cluster_2561/cluster_2100/cluster_1967/cluster_1766/cluster_1103/cluster_21264/cluster_3937/cluster_1471/cluster_10208/cluster_1415/cluster_2581/cluster_4222/cluster_2007/cluster_6456	GO_MF
