paired_counts	distinct_minimizer_count	k2_taxon	source	rel_abun	abun_filter	species_microbial_read_pair_total	minimizer_threshold	minimizer_microbe_ratio	minimizer_filter	taxa_pass_filter	mtx_LIBID
11185	106607	Staphylococcus_epidermidis	non_contaminant	9.759438777736088	TRUE	785413	7854.13	135733.68406176113	TRUE	TRUE	SMT028_T1_Ac
7957	65940	Staphylococcus_hominis	non_contaminant	6.942856893557985	TRUE	785413	7854.13	83955.829608117	TRUE	TRUE	SMT028_T1_Ac
1946	23302	Staphylococcus_capitis	non_contaminant	1.6979765633861807	TRUE	785413	7854.13	29668.467417778924	TRUE	TRUE	SMT028_T1_Ac
40750	235468	Cutibacterium_acnes	non_contaminant	35.55629237306622	TRUE	785413	7854.13	299801.505704642	TRUE	TRUE	SMT028_T1_Ac
4650	26339	Dermacoccus_nishinomiyaensis	non_contaminant	4.057343792263998	TRUE	785413	7854.13	33535.22287000597	TRUE	TRUE	SMT028_T1_Ac
2870	19053	Dermacoccus_sp._PAMC28757	non_contaminant	2.5042100395263818	TRUE	785413	7854.13	24258.57478804145	TRUE	TRUE	SMT028_T1_Ac
13406	91970	Moraxella_osloensis	non_contaminant	11.69736578044971	TRUE	785413	7854.13	117097.6288907874	TRUE	TRUE	SMT028_T1_Ac
1545	7896	Roseomonas_mucosa	non_contaminant	1.3480851954941668	TRUE	785413	7854.13	10053.309532691717	TRUE	TRUE	SMT028_T1_Ac
3679	13608	Ralstonia_pickettii	non_contaminant	3.210100604675107	TRUE	785413	7854.13	17325.91642868147	TRUE	TRUE	SMT028_T1_Ac
22183	191023	Malassezia_globosa	non_contaminant	19.355711256729517	TRUE	785413	7854.13	243213.44311846123	TRUE	TRUE	SMT028_T1_Ac
4436	36391	Malassezia_restricta	non_contaminant	3.870618723114644	TRUE	785413	7854.13	46333.58500559578	TRUE	TRUE	SMT028_T1_Ac
