"Virus name"; "Genome length"; "Genome type"; "Genome segments"; "Taxonomy ID"; "RefSeq ID"; "Updated"
Propionibacterium phage PA6, complete genome;29739;linear DNA;1;376758;NC_009541;2023-01-08
Propionibacterium phage PAS50, complete genome;29017;linear DNA;1;504553;NC_015453;2023-01-08
Propionibacterium phage PAD20, complete genome;29074;linear DNA;1;504501;NC_015454;2023-01-08
Propionibacterium phage P9.1, complete genome;29214;linear DNA;1;1229782;NC_018834;2023-01-08
Propionibacterium phage P100_A, complete genome;29505;linear DNA;1;1229790;NC_018838;2023-01-08
Propionibacterium phage P14, complete genome;29729;linear DNA;1;1229784;NC_018839;2023-01-08
Propionibacterium phage P100_1, complete genome;29612;linear DNA;1;1229791;NC_018840;2023-01-08
Propionibacterium phage P101A, complete genome;29574;linear DNA;1;1229786;NC_018841;2023-01-08
Propionibacterium phage P1.1, complete genome;29348;linear DNA;1;1229792;NC_018842;2023-01-08
Propionibacterium phage P104A, complete genome;29371;linear DNA;1;1229787;NC_018845;2023-01-08
Propionibacterium phage ATCC29399B_T, complete genome;29516;linear DNA;1;1229793;NC_018847;2023-01-08
Propionibacterium phage P105, complete genome;29202;linear DNA;1;1229788;NC_018849;2023-01-08
Propionibacterium phage ATCC29399B_C, complete genome;29516;linear DNA;1;1229794;NC_018851;2023-01-08
Propionibacterium phage P100D, complete genome;29506;linear DNA;1;1229789;NC_018852;2023-01-08
Propionibacterium phage PHL112N00, complete genome;29266;linear DNA;1;1235654;NC_022334;2023-01-08
Propionibacterium phage PHL067M10, complete genome;29377;linear DNA;1;1235649;NC_022335;2023-01-08
Propionibacterium phage PHL010M04, complete genome;29511;linear DNA;1;1235645;NC_022336;2023-01-08
Propionibacterium phage PHL071N05, complete genome;29467;linear DNA;1;1235650;NC_022337;2023-01-08
Propionibacterium phage PHL060L00, complete genome;29514;linear DNA;1;1235647;NC_022338;2023-01-08
Propionibacterium phage PHL037M02, complete genome;29443;linear DNA;1;1235646;NC_022339;2023-01-08
Propionibacterium phage PHL114L00, complete genome;29464;linear DNA;1;1235656;NC_022340;2023-01-08
Propionibacterium phage PHL113M01, complete genome;29200;linear DNA;1;1235655;NC_022341;2023-01-08
Propionibacterium phage PHL111M01, complete genome;29140;linear DNA;1;1235653;NC_022342;2023-01-08
Propionibacterium phage PHL150M00, complete genome;29438;linear DNA;1;1500822;NC_027294;2023-01-08
Propionibacterium phage PHL199M00, complete genome;29806;linear DNA;1;1500830;NC_027295;2023-01-08
Propionibacterium phage PHL070N00, complete genome;29421;linear DNA;1;1500807;NC_027333;2023-01-08
Propionibacterium phage PHL009M11, complete genome;29503;linear DNA;1;1500798;NC_027336;2023-01-08
Propionibacterium phage PHL171M01, complete genome;29327;linear DNA;1;1500827;NC_027346;2023-01-08
Propionibacterium phage PHL151M00, complete genome;29511;linear DNA;1;1500823;NC_027347;2023-01-08
Propionibacterium phage PHL301M00, complete genome;29323;linear DNA;1;1500831;NC_027354;2023-01-08
Propionibacterium phage PHL025M00, complete genome;29496;linear DNA;1;1500799;NC_027357;2023-01-08
Propionibacterium phage PHL085N00, complete genome;29454;linear DNA;1;1500812;NC_027361;2023-01-08
Propionibacterium phage PHL116M00, complete genome;29394;linear DNA;1;1500816;NC_027362;2023-01-08
Propionibacterium phage PHL132N00, complete genome;29003;linear DNA;1;1500820;NC_027367;2023-01-08
Propionibacterium phage PHL179M00, complete genome;29428;linear DNA;1;1500828;NC_027370;2023-01-08
Propionibacterium phage Pacnes 2012-15, complete genome;29741;linear DNA;1;1498188;NC_027371;2023-01-08
Propionibacterium phage PHL030N00, complete genome;29423;linear DNA;1;1500800;NC_027373;2023-01-08
Propionibacterium phage PHL308M00, complete genome;29442;linear DNA;1;1500832;NC_027376;2023-01-08
Propionibacterium phage PHL067M01, complete genome;29377;linear DNA;1;1500805;NC_027380;2023-01-08
Propionibacterium phage PHL092M00, complete genome;29261;linear DNA;1;1500813;NC_027385;2023-01-08
Propionibacterium phage PHL152M00, complete genome;29247;linear DNA;1;1500825;NC_027386;2023-01-08
Propionibacterium phage PHL141N00, complete genome;29494;linear DNA;1;1500821;NC_027389;2023-01-08
Propionibacterium phage PHL041M10, complete genome;29412;linear DNA;1;1500801;NC_027391;2023-01-08
Propionibacterium phage PHL194M00, complete genome;29264;linear DNA;1;1500829;NC_027392;2023-01-08
Propionibacterium phage PHL055N00, complete genome;29264;linear DNA;1;1500802;NC_027400;2023-01-08
Propionibacterium phage PHL095N00, complete genome;29751;linear DNA;1;1500814;NC_027401;2023-01-08
Propionibacterium phage PHL117M00, complete genome;29255;linear DNA;1;1500818;NC_027403;2023-01-08
Propionibacterium phage PHL163M00, complete genome;29264;linear DNA;1;1500826;NC_027405;2023-01-08
Propionibacterium phage MrAK, complete genome;29726;linear DNA;1;1655016;NC_027620;2023-01-08
Propionibacterium phage Wizzo, complete genome;29463;linear DNA;1;1655023;NC_027621;2023-01-08
Propionibacterium phage Stormborn, complete genome;29330;linear DNA;1;1655022;NC_027622;2023-01-08
Propionibacterium phage Pirate, complete genome;29324;linear DNA;1;1655018;NC_027623;2023-01-08
Propionibacterium phage SKKY, complete genome;29594;linear DNA;1;1655020;NC_027624;2023-01-08
Propionibacterium phage Kubed, complete genome;29461;linear DNA;1;1655014;NC_027625;2023-01-08
Propionibacterium phage Procrass1, complete genome;29347;linear DNA;1;1655019;NC_027626;2023-01-08
Propionibacterium phage Solid, complete genome;29440;linear DNA;1;1655021;NC_027627;2023-01-08
Propionibacterium phage Lauchelly, complete genome;29517;linear DNA;1;1655015;NC_027628;2023-01-08
Propionibacterium phage Attacne, complete genome;28876;linear DNA;1;1655012;NC_027629;2023-01-08
Propionibacterium phage Ouroboros, complete genome;29506;linear DNA;1;1655017;NC_027630;2023-01-08
Propionibacterium phage PA1-14, complete genome;29407;linear DNA;1;1747271;NC_028694;2023-01-08
Propionibacterium phage PAC1, complete genome;29605;linear DNA;1;1690805;NC_028967;2023-01-08
Propionibacterium phage Moyashi, complete genome;29254;linear DNA;1;1654781;NC_031003;2023-01-08
Propionibacterium phage QueenBey, complete genome;29338;linear DNA;1;1654782;NC_031005;2023-01-08
Propionibacterium phage BruceLethal, complete genome;29249;linear DNA;1;1654740;NC_031084;2023-01-08
Propionibacterium phage Enoki, complete genome;29347;linear DNA;1;1654780;NC_031119;2023-01-08
Propionibacterium phage Keiki, complete genome;29339;linear DNA;1;1655013;NC_041954;2023-01-08
Propionibacterium phage PHL082M03, complete genome;29491;linear DNA;1;1500810;NC_041955;2023-01-08
Propionibacterium phage PHL117M01, complete genome;29422;linear DNA;1;1500819;NC_041956;2023-01-08
Propionibacterium phage PHL151N00, complete genome;29511;linear DNA;1;1500824;NC_041957;2023-01-08
