"Virus name"; "Genome length"; "Genome type"; "Genome segments"; "Taxonomy ID"; "RefSeq ID"; "Updated"
Rice yellow mottle virus, complete genome;4449;linear RNA;1;31744;NC_001575;2018-08-13
Southern cowpea mosaic virus, complete genome;4193;linear ss-RNA;1;196398;NC_001625;2018-08-13
Lucerne transient streak virus, complete genome;4279;linear RNA;1;12470;NC_001696;2018-08-13
Sesbania mosaic virus, complete genome;4148;linear ss-RNA;1;12558;NC_002568;2018-08-13
Cocksfoot mottle virus, complete genome;4082;linear ss-RNA;1;40979;NC_002618;2018-08-13
Ryegrass mottle virus, complete genome;4212;linear RNA;1;119910;NC_003747;2018-08-13
Southern bean mosaic virus, complete genome;4132;linear RNA;1;12139;NC_004060;2018-08-13
Subterranean clover mottle virus, complete genome;4258;linear ss-RNA;1;12472;NC_004346;2018-08-13
Turnip rosette virus, complete genome;4086;linear RNA;1;218923;NC_004553;2018-08-13
Sowbane mosaic virus, complete genome;3983;linear ss-RNA;1;378833;NC_011187;2018-08-13
Imperata yellow mottle virus, complete genome;4547;linear ss-RNA;1;524023;NC_011536;2018-08-13
Velvet tobacco mottle virus, complete genome;4247;linear ss-RNA;1;12473;NC_014509;2018-08-13
Soybean yellow common mosaic virus, complete genome;4152;linear RNA;1;1080798;NC_016033;2018-08-13
Artemisia virus A, complete genome;4138;linear ss-RNA;1;1133751;NC_017914;2018-08-13
Papaya lethal yellowing virus, complete genome;4145;linear ss-RNA;1;685899;NC_018449;2018-08-13
Cymbidium chlorotic mosaic virus, complete genome;4083;linear RNA;1;1602124;NC_027123;2018-08-13
Rottboellia yellow mottle virus, complete genome;4194;linear RNA;1;1432563;NC_027198;2018-08-13
Blueberry shoestring virus, complete genome;4020;linear RNA;1;1714570;NC_029578;2018-08-13
Solanum nodiflorum mottle virus, complete genome;4297;linear RNA;1;12471;NC_033706;2018-08-13
Physalis rugose mosaic virus, complete genome;4175;linear RNA;1;2607629;NC_055577;2021-06-08
Snake melon asteroid mosaic virus, complete genome;4225;linear RNA;1;870588;NC_076910;2023-05-05
