"Virus name"; "Genome length"; "Genome type"; "Genome segments"; "Taxonomy ID"; "RefSeq ID"; "Updated"
Phytophthora alphaendornavirus 1, complete genome;13883;linear ds-RNA;1;310750;NC_007069;2018-08-13
Oryza sativa alphaendornavirus, complete genome;13952;linear ds-RNA;1;362693;NC_007647;2018-08-13
Vicia faba alphaendornavirus, complete genome;17635;linear ds-RNA;1;310749;NC_007648;2018-08-13
Oryza rufipogon alphaendornavirus, complete genome;13936;linear ds-RNA;1;362692;NC_007649;2018-08-13
Helicobasidium mompa alphaendornavirus 1, complete genome;16614;linear RNA;1;675833;NC_013447;2018-08-13
Persea americana alphaendornavirus 1, complete genome;13459;linear ds-RNA;1;1131702;NC_016648;2018-08-13
Grapevine endophyte alphaendornavirus, complete genome;12154;linear RNA;1;1249676;NC_019493;2018-08-13
Rhizoctonia cerealis alphaendornavirus 1, complete genome;17486;linear ds-RNA;1;1408133;NC_022619;2019-06-04
Lagenaria siceraria endornavirus-California, complete genome;15088;linear ss-RNA;1;1468454;NC_023641;2018-08-13
Yerba mate alphaendornavirus, complete genome;13954;linear RNA;1;1514896;NC_024455;2018-08-13
Hot pepper alphaendornavirus, complete genome;14729;linear ds-RNA;1;1711684;NC_027920;2018-08-13
Hordeum vulgare alphaendornavirus, complete genome;14243;linear RNA;1;1774276;NC_028949;2018-08-13
Cucumis melo alphaendornavirus, complete genome;15078;linear RNA;1;1776177;NC_029064;2018-08-13
Erysiphe cichoracearum alphaendornavirus, complete genome;11907;linear RNA;1;1777015;NC_029095;2018-08-13
Winged bean alphaendornavirus 1, complete genome;14623;linear RNA;1;2169693;NC_031336;2018-08-13
Phaseolus vulgaris alphaendornavirus 2, complete genome;14817;linear RNA;1;1188793;NC_038422;2019-06-04
Bell pepper alphaendornavirus, complete genome;14714;linear RNA;1;354328;NC_039216;2018-08-24
Phaseolus vulgaris alphaendornavirus 1, complete genome;14072;linear RNA;1;1188792;NC_039217;2019-06-04
Phaseolus vulgaris endornavirus 3, complete genome;15205;linear RNA;1;2268393;NC_040558;2019-09-12
Helianthus annuus alphaendornavirus, complete genome;14663;linear RNA;1;2184469;NC_040799;2019-09-12
Basella alba alphaendornavirus 1, complete genome;14027;linear RNA;1;1384490;NC_043109;2019-06-28
Rhizoctonia solani endornavirus 2, complete genome;15850;linear RNA;1;1807787;NC_055462;2021-06-07
Agaricus bisporus endornavirus 1, complete genome;12730;linear RNA;1;1945738;NC_055468;2021-06-07
