name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Enterococcus faecalis	1351	S	507564	45734	553298	0.08006
Enterococcus faecium	1352	S	345966	120600	466566	0.06751
Enterococcus durans	53345	S	526	41	567	0.00008
Enterococcus hirae	1354	S	511	21	532	0.00008
Enterococcus sp. DA9	2603296	S	369	1855	2224	0.00032
Enterococcus sp. FDAARGOS_375	2060307	S	63	54	117	0.00002
Enterococcus sp. M190262	2582830	S	28	31	59	0.00001
Enterococcus lactis	357441	S	431	3678	4109	0.00059
Enterococcus avium	33945	S	290	12	302	0.00004
Enterococcus mundtii	53346	S	203	3	206	0.00003
Enterococcus casseliflavus	37734	S	172	43	215	0.00003
Enterococcus thailandicus	417368	S	137	1	138	0.00002
Enterococcus cecorum	44008	S	85	1	86	0.00001
Enterococcus raffinosus	71452	S	29	0	29	0.00000
Enterococcus saigonensis	1805431	S	21	1	22	0.00000
Enterococcus rotai	118060	S	18	0	18	0.00000
Enterococcus wangshanyuanii	2005703	S	18	0	18	0.00000
Enterococcus gilvus	160453	S	14	0	14	0.00000
Tetragenococcus halophilus	51669	S	59	2	61	0.00001
Tetragenococcus osmophilus	526944	S	41	1	42	0.00001
Vagococcus coleopterorum	2714946	S	22	2	24	0.00000
Vagococcus hydrophili	2714947	S	17	9	26	0.00000
Lactobacillus paragasseri	2107999	S	158618	232598	391216	0.05661
Lactobacillus gasseri	1596	S	46473	97927	144400	0.02089
Lactobacillus johnsonii	33959	S	6270	558	6828	0.00099
Lactobacillus taiwanensis	508451	S	2839	193	3032	0.00044
Lactobacillus sp. JM1	2690380	S	1964	34780	36744	0.00532
Lactobacillus sp. 3B(2020)	2695882	S	69	4	73	0.00001
Lactobacillus crispatus	47770	S	601	43	644	0.00009
Lactobacillus amylovorus	1604	S	392	64	456	0.00007
Lactobacillus amylolyticus	83683	S	236	10	246	0.00004
Lactobacillus acidophilus	1579	S	227	9	236	0.00003
Lactobacillus helveticus	1587	S	189	159	348	0.00005
Lactobacillus acetotolerans	1600	S	129	6	135	0.00002
Lactobacillus ultunensis	227945	S	111	2	113	0.00002
Lactobacillus kefiranofaciens	267818	S	98	17	115	0.00002
Lactobacillus apis	303541	S	92	0	92	0.00001
Lactobacillus iners	147802	S	89	0	89	0.00001
Lactobacillus jensenii	109790	S	71	1	72	0.00001
Lactobacillus panisapium	2012495	S	61	0	61	0.00001
Lactobacillus gallinarum	52242	S	58	39	97	0.00001
Lactobacillus kullabergensis	1218493	S	31	0	31	0.00000
Lactobacillus delbrueckii	1584	S	18	1	19	0.00000
Lactobacillus helsingborgensis	1218494	S	15	2	17	0.00000
Lactobacillus terrae	2269374	S	10	0	10	0.00000
Ligilactobacillus salivarius	1624	S	1207	52	1259	0.00018
Limosilactobacillus fermentum	1613	S	509	719	1228	0.00018
Limosilactobacillus mucosae	97478	S	333	22	355	0.00005
Limosilactobacillus gastricus	227942	S	124	9	133	0.00002
Limosilactobacillus vaginalis	1633	S	30	3	33	0.00000
Limosilactobacillus reuteri	1598	S	12	1	13	0.00000
Lacticaseibacillus paracasei	1597	S	959	350	1309	0.00019
Lactiplantibacillus plantarum	1590	S	486	2078	2564	0.00037
Levilactobacillus brevis	1580	S	184	35	219	0.00003
Levilactobacillus suantsaii	2292255	S	25	4	29	0.00000
Oenococcus kitaharae	336988	S	190	3	193	0.00003
Paucilactobacillus hokkaidonensis	1193095	S	136	29	165	0.00002
Companilactobacillus pabuli	2714036	S	70	4	74	0.00001
Companilactobacillus paralimentarius	83526	S	28	1	29	0.00000
Pediococcus damnosus	51663	S	33	11	44	0.00001
Latilactobacillus curvatus	28038	S	10	2	12	0.00000
Loigolactobacillus bifermentans	1607	S	10	1	11	0.00000
Streptococcus thermophilus	1308	S	92	31	123	0.00002
Streptococcus cristatus	45634	S	24	81	105	0.00002
Lactococcus lactis	1358	S	22	13	35	0.00001
Carnobacterium sp. 17-4	208596	S	13	2	15	0.00000
Marinilactibacillus sp. 15R	1911586	S	22	0	22	0.00000
Staphylococcus aureus	1280	S	129169	260727	389896	0.05642
Staphylococcus schweitzeri	1654388	S	381	17	398	0.00006
Staphylococcus sp. MZ8	2836366	S	114	4375	4489	0.00065
Staphylococcus sp. MZ9	2836367	S	65	10996	11061	0.00160
Staphylococcus sp. 17KM0847	2583989	S	20	0	20	0.00000
Staphylococcus simiae	308354	S	225	1	226	0.00003
Staphylococcus argenteus	985002	S	149	198	347	0.00005
Staphylococcus cohnii	29382	S	142	21	163	0.00002
Staphylococcus debuckii	2044912	S	125	1	126	0.00002
Staphylococcus epidermidis	1282	S	115	6	121	0.00002
Staphylococcus haemolyticus	1283	S	112	4	116	0.00002
Staphylococcus simulans	1286	S	72	0	72	0.00001
Staphylococcus saccharolyticus	33028	S	67	0	67	0.00001
Staphylococcus capitis	29388	S	63	2	65	0.00001
Staphylococcus hominis	1290	S	62	2	64	0.00001
Staphylococcus saprophyticus	29385	S	52	1	53	0.00001
Staphylococcus caprae	29380	S	46	1	47	0.00001
Staphylococcus lugdunensis	28035	S	39	0	39	0.00001
