name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Escherichia coli	562	S	3262482	4335559	7598041	0.95719
Escherichia albertii	208962	S	5051	366	5417	0.00068
Escherichia fergusonii	564	S	4654	1520	6174	0.00078
Escherichia marmotae	1499973	S	3412	201	3613	0.00046
Escherichia sp. E4742	2044467	S	2472	189	2661	0.00034
Escherichia sp. SCLE84	2725997	S	17	193	210	0.00003
Klebsiella quasipneumoniae	1463165	S	72915	120231	193146	0.02433
Klebsiella pneumoniae	573	S	3746	64731	68477	0.00863
Klebsiella michiganensis	1134687	S	759	1302	2061	0.00026
Klebsiella huaxiensis	2153354	S	392	28	420	0.00005
Klebsiella variicola	244366	S	370	688	1058	0.00013
Klebsiella aerogenes	548	S	324	144	468	0.00006
Klebsiella oxytoca	571	S	310	311	621	0.00008
Klebsiella sp. LY	2015795	S	26	261	287	0.00004
Klebsiella sp. A52	2834819	S	22	24	46	0.00001
Klebsiella sp. P1CD1	2267618	S	12	85	97	0.00001
Klebsiella sp. STW0522-44	2681387	S	11	136	147	0.00002
Klebsiella quasivariicola	2026240	S	162	47	209	0.00003
Klebsiella africana	2489010	S	160	31	191	0.00002
Klebsiella grimontii	2058152	S	46	134	180	0.00002
Citrobacter freundii	546	S	971	1713	2684	0.00034
Citrobacter sedlakii	67826	S	322	159	481	0.00006
Citrobacter werkmanii	67827	S	124	212	336	0.00004
Citrobacter portucalensis	1639133	S	57	187	244	0.00003
Citrobacter braakii	57706	S	45	303	348	0.00004
Citrobacter freundii complex sp. CFNIH2	2066049	S	24	11	35	0.00000
Citrobacter sp. RHB25-C09	2742624	S	230	3	233	0.00003
Citrobacter sp. R56	1573676	S	225	3	228	0.00003
Citrobacter sp. TSA-1	184912	S	146	674	820	0.00010
Citrobacter sp. RHBSTW-00887	2742668	S	125	405	530	0.00007
Citrobacter sp. BDA59-3	2781952	S	16	2	18	0.00000
Citrobacter sp. MGH 55	1439319	S	12	16	28	0.00000
Citrobacter sp. 172116965	2683822	S	12	54	66	0.00001
Citrobacter farmeri	67824	S	241	20	261	0.00003
Citrobacter rodentium	67825	S	225	6	231	0.00003
Citrobacter amalonaticus	35703	S	185	115	300	0.00004
Citrobacter koseri	545	S	181	116	297	0.00004
Citrobacter tructae	2562449	S	112	4	116	0.00001
Citrobacter arsenatis	2546350	S	90	10	100	0.00001
Citrobacter pasteurii	1563222	S	68	32	100	0.00001
Citrobacter telavivensis	2653932	S	65	8	73	0.00001
Citrobacter cronae	1748967	S	32	121	153	0.00002
Enterobacter hormaechei	158836	S	755	2809	3564	0.00045
Enterobacter cloacae	550	S	411	185	596	0.00008
