name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus lugdunensis	28035	S	584427	7370	591797	0.08293
Staphylococcus epidermidis	1282	S	522549	20128	542677	0.07605
Staphylococcus aureus	1280	S	506131	262020	768151	0.10765
Staphylococcus capitis	29388	S	502098	12331	514429	0.07209
Staphylococcus caprae	29380	S	3921	64	3985	0.00056
Staphylococcus haemolyticus	1283	S	2041	53	2094	0.00029
Staphylococcus saccharolyticus	33028	S	823	3	826	0.00012
Staphylococcus warneri	1292	S	686	48	734	0.00010
Staphylococcus schleiferi	1295	S	610	20	630	0.00009
Staphylococcus hominis	1290	S	541	9	550	0.00008
Staphylococcus schweitzeri	1654388	S	491	10	501	0.00007
Staphylococcus simulans	1286	S	393	3	396	0.00006
Staphylococcus saprophyticus	29385	S	389	6	395	0.00006
Staphylococcus simiae	308354	S	381	2	383	0.00005
Staphylococcus sp. MZ9	2836367	S	101	6277	6378	0.00089
Staphylococcus sp. CDC25	678600	S	96	321	417	0.00006
Staphylococcus sp. MZ8	2836366	S	46	643	689	0.00010
Staphylococcus sp. 17KM0847	2583989	S	29	0	29	0.00000
Staphylococcus sp. SB1-57	2813777	S	28	12	40	0.00001
Staphylococcus sp. MI 10-1553	1912064	S	16	0	16	0.00000
Staphylococcus pettenkoferi	170573	S	286	2	288	0.00004
Staphylococcus auricularis	29379	S	189	0	189	0.00003
Staphylococcus pasteuri	45972	S	186	29	215	0.00003
Staphylococcus pseudintermedius	283734	S	158	17	175	0.00002
Staphylococcus succinus	61015	S	162	0	162	0.00002
Staphylococcus agnetis	985762	S	152	1	153	0.00002
Staphylococcus xylosus	1288	S	152	2	154	0.00002
Staphylococcus pseudoxylosus	2282419	S	126	1	127	0.00002
Staphylococcus equorum	246432	S	121	19	140	0.00002
Staphylococcus argenteus	985002	S	109	50	159	0.00002
Staphylococcus arlettae	29378	S	56	1	57	0.00001
Staphylococcus condimenti	70255	S	43	0	43	0.00001
Staphylococcus debuckii	2044912	S	39	0	39	0.00001
Staphylococcus cohnii	29382	S	35	2	37	0.00001
Staphylococcus felis	46127	S	33	0	33	0.00000
Staphylococcus chromogenes	46126	S	30	1	31	0.00000
Staphylococcus carnosus	1281	S	29	0	29	0.00000
Staphylococcus nepalensis	214473	S	18	0	18	0.00000
Staphylococcus muscae	1294	S	16	0	16	0.00000
Staphylococcus kloosii	29384	S	15	0	15	0.00000
Staphylococcus lutrae	155085	S	11	0	11	0.00000
Mammaliicoccus sciuri	1296	S	95	3	98	0.00001
Mammaliicoccus fleurettii	150056	S	36	1	37	0.00001
Mammaliicoccus vitulinus	71237	S	26	0	26	0.00000
Macrococcus canis	1855823	S	13	4	17	0.00000
Bacillus cereus	1396	S	1494	326	1820	0.00026
Bacillus thuringiensis	1428	S	24	5	29	0.00000
Bacillus anthracis	1392	S	16	26	42	0.00001
Bacillus subtilis	1423	S	22	43	65	0.00001
Bacillus gobiensis	1441095	S	26	0	26	0.00000
Cytobacillus ciccensis	1670641	S	26	1	27	0.00000
Gemella haemolysans	1379	S	1021	7	1028	0.00014
Listeria monocytogenes	1639	S	72	93	165	0.00002
Planococcus glaciei	459472	S	13	0	13	0.00000
Streptococcus mitis	28037	S	413657	37415	451072	0.06321
Streptococcus pneumoniae	1313	S	341537	80147	421684	0.05909
Streptococcus salivarius	1304	S	199353	51864	251217	0.03521
Streptococcus sp. 116-D4	2598453	S	22341	1477	23818	0.00334
Streptococcus sp. FDAARGOS_192	1839799	S	5714	4834	10548	0.00148
Streptococcus sp. oral taxon 431	712633	S	5485	221	5706	0.00080
Streptococcus sp. NPS 308	1902136	S	3353	428	3781	0.00053
Streptococcus sp. oral taxon 064	712624	S	2026	2190	4216	0.00059
Streptococcus sp. 1643	2576376	S	1989	806	2795	0.00039
Streptococcus sp. oral taxon 061	712623	S	1977	63	2040	0.00029
Streptococcus sp. HSISS3	1316412	S	1855	1099	2954	0.00041
Streptococcus sp. HSISS2	1316411	S	1801	1116	2917	0.00041
Streptococcus sp. A12	1759399	S	889	104	993	0.00014
Streptococcus sp. HSISS1	1316410	S	577	8491	9068	0.00127
Streptococcus sp. LPB0220	2610896	S	543	79	622	0.00009
Streptococcus sp. HSISM1	1316408	S	498	71	569	0.00008
Streptococcus sp. zg-86	2664091	S	236	10	246	0.00003
Streptococcus sp. HKU75	2781599	S	164	2	166	0.00002
Streptococcus sp. FDAARGOS_522	2420310	S	82	2361	2443	0.00034
Streptococcus sp. KS 6	2598457	S	62	21	83	0.00001
Streptococcus sp. DAT741	1940319	S	51	30	81	0.00001
Streptococcus sp. CNU 77-61	2684658	S	41	47	88	0.00001
Streptococcus sp. NSJ-72	2763068	S	37	46	83	0.00001
Streptococcus sp. CNU G2	2686210	S	27	31	58	0.00001
Streptococcus sp. CNU G3	2698804	S	25	23	48	0.00001
Streptococcus oralis	1303	S	46087	6331	52418	0.00735
Streptococcus pseudopneumoniae	257758	S	28062	5437	33499	0.00469
Streptococcus gwangjuense	1433513	S	22641	3883	26524	0.00372
Streptococcus thermophilus	1308	S	5355	598	5953	0.00083
Streptococcus australis	113107	S	3939	1950	5889	0.00083
Streptococcus gordonii	1302	S	3387	208	3595	0.00050
Streptococcus cristatus	45634	S	2340	67	2407	0.00034
Streptococcus dysgalactiae	1334	S	963	1073	2036	0.00029
Streptococcus equi	1336	S	926	138	1064	0.00015
Streptococcus vestibularis	1343	S	2073	198	2271	0.00032
Streptococcus sanguinis	1305	S	1285	21	1306	0.00018
Streptococcus intermedius	1338	S	641	84	725	0.00010
Streptococcus anginosus	1328	S	389	148	537	0.00008
Streptococcus constellatus	76860	S	137	89	226	0.00003
Streptococcus parasanguinis	1318	S	1148	103	1251	0.00018
Streptococcus ilei	1156431	S	1134	543	1677	0.00024
Streptococcus suis	1307	S	867	27	894	0.00013
Streptococcus pluranimalium	82348	S	580	11	591	0.00008
Streptococcus lactarius	684066	S	464	14	478	0.00007
Streptococcus agalactiae	1311	S	438	2248	2686	0.00038
Streptococcus pyogenes	1314	S	425	81	506	0.00007
Streptococcus mutans	1309	S	327	26	353	0.00005
Streptococcus canis	1329	S	261	14	275	0.00004
Streptococcus parasuis	1501662	S	249	13	262	0.00004
Streptococcus respiraculi	2021971	S	225	3	228	0.00003
Streptococcus urinalis	149016	S	208	11	219	0.00003
Streptococcus rubneri	1234680	S	202	66	268	0.00004
Streptococcus equinus	1335	S	182	18	200	0.00003
Streptococcus halotolerans	1814128	S	175	0	175	0.00002
Streptococcus sobrinus	1310	S	171	1	172	0.00002
Streptococcus koreensis	2382163	S	164	96	260	0.00004
Streptococcus merionis	400065	S	154	0	154	0.00002
Streptococcus pseudoporcinus	361101	S	151	5	156	0.00002
Streptococcus himalayensis	1888195	S	148	3	151	0.00002
Streptococcus ferus	1345	S	117	0	117	0.00002
Streptococcus iniae	1346	S	113	1	114	0.00002
Streptococcus acidominimus	1326	S	113	4	117	0.00002
Streptococcus parauberis	1348	S	105	6	111	0.00002
Streptococcus marmotae	1825069	S	101	4	105	0.00001
Streptococcus infantarius	102684	S	97	77	174	0.00002
Streptococcus ratti	1341	S	85	0	85	0.00001
Streptococcus gallolyticus	315405	S	83	27	110	0.00002
Streptococcus milleri	33040	S	70	70	140	0.00002
Streptococcus uberis	1349	S	69	1	70	0.00001
Streptococcus porcinus	1340	S	68	2	70	0.00001
Streptococcus halichoeri	254785	S	57	1	58	0.00001
Streptococcus ruminantium	1917441	S	56	34	90	0.00001
Streptococcus troglodytae	1111760	S	26	1	27	0.00000
Streptococcus chenjunshii	2173853	S	26	0	26	0.00000
Streptococcus pantholopis	1811193	S	20	0	20	0.00000
Streptococcus periodonticum	2490633	S	16	10	26	0.00000
