name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Enterobacter hormaechei	158836	S	220592	1472000	1692592	0.17329
Enterobacter cloacae complex sp.	2027919	S	13770	139341	153111	0.01568
Enterobacter sp. BIDMC100	1686399	S	10338	164387	174725	0.01789
Enterobacter cloacae complex sp. ECL72	2850078	S	390	9849	10239	0.00105
Enterobacter cloacae complex sp. FDA-CDC-AR_0132	2077137	S	361	2498	2859	0.00029
Enterobacter cloacae complex sp. ECL78	2850492	S	321	15927	16248	0.00166
Enterobacter sp. BIDMC 29	1329841	S	219	756	975	0.00010
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	2077136	S	199	1096	1295	0.00013
Enterobacter sp. MGH 7	1329816	S	83	64845	64928	0.00665
Enterobacter cloacae complex sp. ECNIH7	1915310	S	19	58	77	0.00001
Enterobacter cloacae complex sp. ECL112	2850493	S	10	1637	1647	0.00017
Enterobacter cloacae	550	S	12471	8388	20859	0.00214
Enterobacter cancerogenus	69218	S	3278	119	3397	0.00035
Enterobacter roggenkampii	1812935	S	2448	2971	5419	0.00055
Enterobacter asburiae	61645	S	2197	4266	6463	0.00066
Enterobacter kobei	208224	S	2164	6522	8686	0.00089
Enterobacter chuandaensis	2497875	S	1061	240	1301	0.00013
Enterobacter chengduensis	2494701	S	906	164	1070	0.00011
Enterobacter ludwigii	299767	S	430	1188	1618	0.00017
Enterobacter sichuanensis	2071710	S	150	74	224	0.00002
Enterobacter sp. LU1	1848517	S	2734	32714	35448	0.00363
Enterobacter sp. YSU	648691	S	1324	14985	16309	0.00167
Enterobacter sp. RHBSTW-00175	2742639	S	940	78	1018	0.00010
Enterobacter sp. RHBSTW-00994	2742676	S	734	12	746	0.00008
Enterobacter sp. E20	1560339	S	519	1909	2428	0.00025
Enterobacter sp. JBIWA008	2831892	S	329	110	439	0.00004
Enterobacter sp. JUb54	2724468	S	225	2	227	0.00002
Enterobacter sp. 638	399742	S	218	3	221	0.00002
Enterobacter sp. SGAir0187	2836161	S	209	119	328	0.00003
Enterobacter sp. N18-03635	2500132	S	185	335	520	0.00005
Enterobacter sp. HK169	1868135	S	146	613	759	0.00008
Enterobacter sp. RHB15-C17	2742619	S	126	9	135	0.00001
Enterobacter sp. DSM 30060	2747372	S	110	906	1016	0.00010
Enterobacter sp. C2	2870346	S	90	0	90	0.00001
Enterobacter sp. SA187	1914861	S	89	1	90	0.00001
Enterobacter sp. ODB01	1827481	S	75	508	583	0.00006
Enterobacter sp. JBIWA005	2831891	S	70	91	161	0.00002
Enterobacter sp. SES19	2705458	S	70	95	165	0.00002
Enterobacter sp. E76	2596949	S	62	4	66	0.00001
Enterobacter sp. DNB-S2	2720029	S	62	291	353	0.00004
Enterobacter sp. JBIWA003	2831890	S	31	24	55	0.00001
Enterobacter sp. R4-368	1166130	S	28	4	32	0.00000
Enterobacter sp. RHBSTW-00422	2742646	S	25	983	1008	0.00010
Enterobacter sp. Colony194	2866201	S	19	2	21	0.00000
Enterobacter sp. 18A13	2565914	S	10	44	54	0.00001
Enterobacter sp. RHBSTW-00975	2742673	S	10	52	62	0.00001
Enterobacter oligotrophicus	2478464	S	1088	54	1142	0.00012
Enterobacter mori	539813	S	1007	1660	2667	0.00027
Enterobacter bugandensis	881260	S	758	744	1502	0.00015
Enterobacter soli	885040	S	314	22	336	0.00003
Salmonella enterica	28901	S	545142	1919816	2464958	0.25236
Salmonella bongori	54736	S	1286	277	1563	0.00016
Salmonella sp. SSDFZ54	2500542	S	57	660	717	0.00007
Salmonella sp. SSDFZ69	2500543	S	31	108	139	0.00001
Salmonella sp. A39	2878546	S	24	331	355	0.00004
Klebsiella quasipneumoniae	1463165	S	340647	722614	1063261	0.10886
Klebsiella pneumoniae	573	S	9134	134306	143440	0.01469
Klebsiella variicola	244366	S	1777	4507	6284	0.00064
Klebsiella aerogenes	548	S	990	162	1152	0.00012
Klebsiella africana	2489010	S	502	127	629	0.00006
Klebsiella quasivariicola	2026240	S	450	157	607	0.00006
Klebsiella sp. LY	2015795	S	103	1359	1462	0.00015
Klebsiella sp. A52	2834819	S	59	67	126	0.00001
Klebsiella sp. P1CD1	2267618	S	48	448	496	0.00005
Klebsiella sp. CTHL.F3a	2873296	S	33	148	181	0.00002
Klebsiella sp. WP8-S18-ESBL-06	2675726	S	15	110	125	0.00001
Klebsiella sp. STW0522-44	2681387	S	13	2	15	0.00000
Klebsiella michiganensis	1134687	S	409	1444	1853	0.00019
Klebsiella oxytoca	571	S	385	3945	4330	0.00044
Klebsiella huaxiensis	2153354	S	163	13	176	0.00002
Klebsiella grimontii	2058152	S	98	380	478	0.00005
Escherichia coli	562	S	513181	529050	1042231	0.10670
Escherichia albertii	208962	S	721	46	767	0.00008
Escherichia fergusonii	564	S	705	138	843	0.00009
Escherichia marmotae	1499973	S	500	26	526	0.00005
Escherichia sp. E4742	2044467	S	362	25	387	0.00004
Citrobacter freundii	546	S	1578	254	1832	0.00019
Citrobacter werkmanii	67827	S	472	67	539	0.00006
Citrobacter sedlakii	67826	S	53	1	54	0.00001
Citrobacter portucalensis	1639133	S	47	13	60	0.00001
Citrobacter braakii	57706	S	18	4	22	0.00000
Citrobacter sp. TBCP-5362	2576406	S	999	1087	2086	0.00021
Citrobacter sp. RHBSTW-00599	2742657	S	83	25	108	0.00001
Citrobacter sp. RHB25-C09	2742624	S	54	0	54	0.00001
Citrobacter sp. R56	1573676	S	51	0	51	0.00001
Citrobacter sp. TSA-1	184912	S	34	7	41	0.00000
Citrobacter sp. RHBSTW-00524	2742653	S	31	11	42	0.00000
Citrobacter sp. Y3	2716879	S	13	9	22	0.00000
Citrobacter sp. RHBSTW-00887	2742668	S	12	4	16	0.00000
Citrobacter arsenatis	2546350	S	166	1	167	0.00002
Citrobacter amalonaticus	35703	S	140	15	155	0.00002
Citrobacter farmeri	67824	S	43	1	44	0.00000
Citrobacter koseri	545	S	29	0	29	0.00000
Citrobacter rodentium	67825	S	29	0	29	0.00000
Citrobacter tructae	2562449	S	28	0	28	0.00000
Citrobacter telavivensis	2653932	S	18	0	18	0.00000
Citrobacter pasteurii	1563222	S	17	0	17	0.00000
Cronobacter sakazakii	28141	S	585	47	632	0.00006
Cronobacter condimenti	1163710	S	19	0	19	0.00000
Shigella dysenteriae	622	S	290	177	467	0.00005
Shigella flexneri	623	S	153	266	419	0.00004
Shigella boydii	621	S	113	196	309	0.00003
Leclercia sp. 4-9-1-25	2815358	S	100	1	101	0.00001
Leclercia sp. 119287	2681308	S	47	37	84	0.00001
Leclercia sp. 29361	2714951	S	41	2	43	0.00000
Leclercia sp. W17	2282309	S	23	32	55	0.00001
Leclercia sp. J807	2681307	S	14	14	28	0.00000
Leclercia adecarboxylata	83655	S	135	78	213	0.00002
Raoultella planticola	575	S	203	16	219	0.00002
Raoultella ornithinolytica	54291	S	70	91	161	0.00002
Raoultella terrigena	577	S	56	15	71	0.00001
Kosakonia arachidis	551989	S	63	1	64	0.00001
Kosakonia radicincitans	283686	S	61	11	72	0.00001
Kosakonia sp. CCTCC M2018092	2492396	S	14	5	19	0.00000
Kosakonia sp. MUSA4	2067958	S	11	1	12	0.00000
Kosakonia sp. SMBL-WEM22	2725560	S	10	1	11	0.00000
Kosakonia cowanii	208223	S	22	3	25	0.00000
Kosakonia oryzae	497725	S	17	3	20	0.00000
Kosakonia pseudosacchari	1646340	S	15	1	16	0.00000
Jejubacter calystegiae	2579935	S	171	0	171	0.00002
Lelliottia amnigena	61646	S	110	1	111	0.00001
Lelliottia sp. WB101	2153385	S	26	1	27	0.00000
Cedecea neteri	158822	S	78	0	78	0.00001
Cedecea sp. FDAARGOS_727	2545798	S	13	0	13	0.00000
Scandinavium goeteborgense	1851514	S	75	0	75	0.00001
Yokenella regensburgei	158877	S	69	0	69	0.00001
Kluyvera intermedia	61648	S	28	0	28	0.00000
Kluyvera genomosp. 3	2774055	S	14	21	35	0.00000
Atlantibacter hermannii	565	S	56	0	56	0.00001
Candidatus Symbiopectobacterium sp. SyEd1	2871826	S	23	0	23	0.00000
[Enterobacter] lignolyticus	1334193	S	35	0	35	0.00000
Pluralibacter gergoviae	61647	S	15	0	15	0.00000
Buttiauxella sp. 3AFRM03	2479367	S	24	1	25	0.00000
