name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Escherichia coli	562	S	3504452	4269874	7774326	0.88682
Escherichia albertii	208962	S	5088	332	5420	0.00062
Escherichia fergusonii	564	S	4394	1154	5548	0.00063
Escherichia marmotae	1499973	S	3376	178	3554	0.00041
Escherichia sp. E4742	2044467	S	2687	183	2870	0.00033
Escherichia sp. SCLE84	2725997	S	17	177	194	0.00002
Klebsiella quasipneumoniae	1463165	S	247642	428618	676260	0.07714
Klebsiella pneumoniae	573	S	7643	114865	122508	0.01397
Klebsiella variicola	244366	S	874	1881	2755	0.00031
Klebsiella michiganensis	1134687	S	867	1886	2753	0.00031
Klebsiella aerogenes	548	S	570	88	658	0.00008
Klebsiella oxytoca	571	S	415	1562	1977	0.00023
Klebsiella africana	2489010	S	396	83	479	0.00005
Klebsiella sp. LY	2015795	S	62	664	726	0.00008
Klebsiella sp. A52	2834819	S	49	44	93	0.00001
Klebsiella sp. CTHL.F3a	2873296	S	28	205	233	0.00003
Klebsiella sp. STW0522-44	2681387	S	19	10	29	0.00000
Klebsiella sp. P1CD1	2267618	S	12	88	100	0.00001
Klebsiella sp. BDA134-6	2787706	S	11	82	93	0.00001
Klebsiella huaxiensis	2153354	S	372	28	400	0.00005
Klebsiella quasivariicola	2026240	S	362	113	475	0.00005
Klebsiella grimontii	2058152	S	55	173	228	0.00003
Enterobacter hormaechei	158836	S	2136	11082	13218	0.00151
Enterobacter cloacae	550	S	471	336	807	0.00009
Enterobacter roggenkampii	1812935	S	344	341	685	0.00008
Enterobacter kobei	208224	S	248	598	846	0.00010
Enterobacter cloacae complex sp.	2027919	S	123	994	1117	0.00013
Enterobacter sp. BIDMC100	1686399	S	90	1099	1189	0.00014
Enterobacter cancerogenus	69218	S	94	3	97	0.00001
Enterobacter asburiae	61645	S	82	125	207	0.00002
Enterobacter ludwigii	299767	S	39	82	121	0.00001
Enterobacter chengduensis	2494701	S	31	4	35	0.00000
Enterobacter chuandaensis	2497875	S	27	4	31	0.00000
Enterobacter sichuanensis	2071710	S	12	4	16	0.00000
Enterobacter sp. JUb54	2724468	S	273	3	276	0.00003
Enterobacter sp. SA187	1914861	S	87	1	88	0.00001
Enterobacter sp. RHBSTW-00994	2742676	S	84	1	85	0.00001
Enterobacter sp. RHBSTW-00175	2742639	S	56	4	60	0.00001
Enterobacter sp. E76	2596949	S	46	18	64	0.00001
Enterobacter sp. 638	399742	S	44	0	44	0.00001
Enterobacter sp. C2	2870346	S	43	0	43	0.00000
Enterobacter sp. RHB15-C17	2742619	S	23	2	25	0.00000
Enterobacter sp. JBIWA008	2831892	S	19	5	24	0.00000
Enterobacter sp. Colony194	2866201	S	15	12	27	0.00000
Enterobacter sp. LU1	1848517	S	14	127	141	0.00002
Enterobacter sp. SGAir0187	2836161	S	14	12	26	0.00000
Enterobacter sp. YSU	648691	S	10	86	96	0.00001
Enterobacter oligotrophicus	2478464	S	64	2	66	0.00001
Enterobacter bugandensis	881260	S	36	27	63	0.00001
Enterobacter soli	885040	S	34	1	35	0.00000
Enterobacter mori	539813	S	32	40	72	0.00001
Citrobacter freundii	546	S	7161	3595	10756	0.00123
Citrobacter sedlakii	67826	S	203	32	235	0.00003
Citrobacter werkmanii	67827	S	192	81	273	0.00003
Citrobacter braakii	57706	S	59	105	164	0.00002
Citrobacter portucalensis	1639133	S	50	40	90	0.00001
Citrobacter freundii complex sp. CFNIH2	2066049	S	22	2	24	0.00000
Citrobacter sp. BIDMC107	1686384	S	11	11	22	0.00000
