k2_taxon	mgx_LIBID	mgx_alt_paired_counts	mgx_alt_rel_abun	mgx_counts	mgx_RPK	mgx_CPM	mgx_CPM_prok
Corynebacterium_genitalium	MHS475	10446	0.17095298351087612	20892	23429.103239363205	1335.3193812845973	1789.8962133161378
Corynebacterium_kefirresidentii	MHS475	52426	0.8579725362379085	104852	136710.18462182253	7791.6665132026965	10444.148855225285
Corynebacterium_segmentosum	MHS475	6838	0.11190661509164952	13676	15904.072434660768	906.4374315307276	1215.0118908212464
Corynebacterium_tuberculostearicum	MHS475	50868	0.8324752407841516	101736	136270.9242539992	7766.631287714457	10410.590999382732
Corynebacterium_ureicelerivorans	MHS475	9448	0.1546203128671987	18896	21525.369556583864	1226.8178967229264	1644.458051421652
Cutibacterium_acnes	MHS475	3989588	65.29120922642056	7979176	12400754.876677547	706769.1904471321	947371.4793631192
Cutibacterium_granulosum	MHS475	25356	0.4149611190792432	50712	66423.56433268456	3785.7476626940984	5074.512885080632
Cutibacterium_modestum	MHS475	20038	0.32792991418638096	40076	47213.28302639216	2690.8760115621944	3606.9189522022557
Malassezia_arunalokei	MHS475	8239	0.13483454251829488	16478	19842.772124736886	1130.9198617580157	0
Malassezia_globosa	MHS475	1682836	27.540286708741025	3365672	4057841.5230981037	231272.80530612322	0
Malassezia_restricta	MHS475	154103	2.5219574591208636	308206	378364.74737773964	21564.53771220304	0
Micrococcus_luteus	MHS475	8917	0.1459302846990697	17834	20210.41026838789	1151.8730469269592	1544.0000600695753
Moraxella_osloensis	MHS475	24355	0.3985793522312261	48710	61921.52170040477	3529.15803906085	4730.573598229616
Roseomonas_mucosa	MHS475	12912	0.21131006347811912	25824	27423.91859067318	1563.0000700740513	2095.085225339171
Staphylococcus_capitis	MHS475	9728	0.15920262527223844	19456	23507.48401656838	1339.7866188844716	1795.88421272367
Staphylococcus_epidermidis	MHS475	23596	0.386158012533279	47192	60990.758040786706	3476.1100524868166	4659.466721759686
Streptococcus_mitis	MHS475	11979	0.1960411439284688	23958	27392.350096520688	1561.2008538749026	2092.6735099795874
Streptococcus_oralis	MHS475	8779	0.14367185929944298	17558	19965.62609863651	1137.921806763763	1525.2994613295598
Corynebacterium_kefirresidentii	MHS474	104806	1.8049274453816824	209612	280036.2836359191	15725.974005160295	16450.79123004803
Corynebacterium_tuberculostearicum	MHS474	8707	0.14994850740356763	17414	21349.17926827116	1198.9040628779285	1254.1620911232164
Cutibacterium_acnes	MHS474	5328810	91.77065645310728	10657620	16597501.249127164	932064.4803790362	975023.752082212
Cutibacterium_granulosum	MHS474	16499	0.2841392470025798	32998	42762.338094919	2401.401020429468	2512.0826750537926
Cutibacterium_modestum	MHS474	7009	0.1207062235433106	14018	17762.880050853957	997.5085596396627	1043.4841784320208
Malassezia_arunalokei	MHS474	4754	0.08187150616705645	9508	11595.377449528763	651.1606352710578	0
Malassezia_globosa	MHS474	926	0.01594720545029328	1852	2173.064746510306	122.03261402933437	0
Malassezia_restricta	MHS474	309132	5.323748936565943	618264	770813.786149673	43286.52489749772	0
Staphylococcus_capitis	MHS474	18585	0.32006351327613464	37170	44522.733339482074	2500.2593879787214	2615.4974692892706
Staphylococcus_epidermidis	MHS474	7432	0.1279909621021379	14864	18728.849738704852	1051.7544380797076	1100.2302738417495
Cutibacterium_acnes	MHS473	1335276	92.53055129186836	2670552	4148904.398090385	941161.8106945388	988766.6556690155
Cutibacterium_modestum	MHS473	3414	0.23657977984359677	6828	8626.33585266344	1956.8486259863614	2055.8278603964927
Haemophilus_parainfluenzae	MHS473	2254	0.156195320377114	4508	4959.3164126497695	1125.0004258678314	1181.904000004713
Kosakonia_cowanii	MHS473	4577	0.3171721301535274	9154	9805.548273971719	2224.3480887705155	2336.8576962917255
Lawsonella_clevelandensis	MHS473	3709	0.2570223794492971	7418	11392.433820945378	2584.3265147477787	2715.0441678654815
Malassezia_arunalokei	MHS473	848	0.05876381174791156	1696	2072.362984261763	470.10697561068463	0
Malassezia_dermatis	MHS473	286	0.01981892707535696	572	605.1161996482151	137.26810827543807	0
Malassezia_globosa	MHS473	492	0.03409409832543925	984	1152.8366765350816	261.51623412248955	0
Malassezia_restricta	MHS473	86768	6.012757568092914	173536	208409.31129237794	47276.790680406295	0
Rothia_mucilaginosa	MHS473	449	0.03111432956935411	898	990.3903097698079	224.66594739235327	236.02976121812284
Staphylococcus_capitis	MHS473	917	0.06354530114721098	1834	2150.7587365980557	487.8907279317904	512.568697441133
Staphylococcus_epidermidis	MHS473	1141	0.07906781745798007	2282	2716.9570028290914	616.3304639024193	647.5050354306351
Streptococcus_mitis	MHS473	2157	0.14947351643896845	4314	4785.917193031441	1085.6655297482387	1140.579508036051
Streptococcus_oralis	MHS473	777	0.05384372845298029	1554	1707.9040923793107	387.43098269899133	407.0276043002057
Corynebacterium_kefirresidentii	MHS477	19166	0.18132903224829833	38332	51788.083182747294	1885.4290824246177	1885.4290824246177
Corynebacterium_tuberculostearicum	MHS477	643589	6.088978948953881	1287178	1714107.082710877	62404.84577752744	62404.84577752744
Cutibacterium_acnes	MHS477	23296	0.22040285585183964	46592	63318.37695618457	2305.208110210308	2305.208110210308
Deinococcus_wulumuqiensis	MHS477	29423	0.2783702450089577	58846	70090.2508524426	2551.7491521226393	2551.7491521226393
Haemophilus_parainfluenzae	MHS477	24876	0.23535119514810965	49752	56014.17323072497	2039.286738312079	2039.286738312079
Micrococcus_luteus	MHS477	723801	6.847862614544015	1447602	1509674.551489435	54962.14822877954	54962.14822877954
Moraxella_osloensis	MHS477	877338	8.300472216146176	1754676	2402822.112683668	87478.63239425691	87478.63239425691
Neisseria_subflava	MHS477	11578	0.10953915972924964	23156	28157.12120242294	1025.1056214045952	1025.1056214045952
Paracoccus_sanguinis	MHS477	162248	1.5350241481906457	324496	379676.3159569405	13822.731486063827	13822.731486063827
Staphylococcus_epidermidis	MHS477	1444401	13.665440650551728	2888802	4142235.372097762	150804.79053920397	150804.79053920397
Staphylococcus_haemolyticus	MHS477	410395	3.882736522463759	820790	1004378.4987818354	36566.02667997788	36566.02667997788
Staphylococcus_hominis	MHS477	6112821	57.833242003395355	12225642	15837541.60338775	576591.3642288432	576591.3642288432
Staphylococcus_sp._M0911	MHS477	13205	0.1249321648147125	26410	30087.10874144156	1095.369944993136	1095.369944993136
Staphylococcus_warneri	MHS477	33681	0.3186550733149816	67362	86945.34548873617	3165.3861832934317	3165.3861832934317
Streptococcus_oralis	MHS477	23773	0.22491574056343505	47546	54678.70180993361	1990.6667373241728	1990.6667373241728
Veillonella_parvula	MHS477	16145	0.15274742907486052	32290	36017.050830807755	1311.2590952621597	1311.2590952621597
Acinetobacter_junii	MHS476	9973	0.14989563067688555	19946	21885.251789692535	1102.0793741463738	1154.57583280201
Actinomyces_naeslundii	MHS476	8539	0.12834240352450874	17078	18612.53391075965	937.27455917638	981.9207038180882
Brevibacterium_casei	MHS476	7949	0.11947461829445134	15898	21107.928893331526	1062.9355918694587	1113.5674752539019
Corynebacterium_aurimucosum	MHS476	10998	0.16530152874605308	21996	28523.072805581778	1436.3412643537442	1504.7599568439603
Corynebacterium_genitalium	MHS476	39943	0.6003490600748862	79886	90570.77902363756	4560.888237499337	4778.1416281440115
Corynebacterium_glaucum	MHS476	10135	0.15233051407903692	20270	22193.961137104136	1117.6251036475874	1170.8620677197814
Corynebacterium_imitans	MHS476	17239	0.25910466030671114	34478	41918.84417952763	2110.914418634715	2211.4657347223397
Corynebacterium_jeikeium	MHS476	9694	0.14570222037318045	19388	21718.611185422244	1093.6878246852855	1145.7845601996714
Corynebacterium_kefirresidentii	MHS476	101300	1.522553633567483	202600	270718.3794104145	13632.611816285696	14281.987768118843
Corynebacterium_segmentosum	MHS476	10116	0.15204494133434016	20232	24197.949248810088	1218.5402763478553	1276.584234649017
Corynebacterium_singulare	MHS476	16058	0.24135405970213855	32116	39049.31881199914	1966.4132380436658	2060.0813836169486
Corynebacterium_sp._zg-917	MHS476	10119	0.15209003176771332	20238	24653.216688848235	1241.4662568304182	1300.6022714886594
Corynebacterium_tuberculostearicum	MHS476	164686	2.4752543701648024	329372	460853.2056708022	23207.263839579668	24312.718850575202
Corynebacterium_ureicelerivorans	MHS476	23833	0.35821343286094587	47666	58382.670127187674	2939.9861227582032	3080.029447732926
Cutibacterium_acnes	MHS476	5355669	80.49647873775645	10711338	16653400.273790637	838618.1309457112	878564.8744124946
Cutibacterium_granulosum	MHS476	49351	0.7417526591331575	98702	133456.90867439634	6720.512416341489	7040.6373642223325
Cutibacterium_modestum	MHS476	41699	0.6267419937426503	83398	98916.05266967208	4981.132612354261	5218.4039272677055
Dermabacter_vaginalis	MHS476	11528	0.173267505308647	23056	24043.60627669481	1210.7680008562472	1268.4417345178983
Haemophilus_parainfluenzae	MHS476	14000	0.21042202240814176	28000	31975.0175782694	1610.1714387209026	1686.8703592743973
Lautropia_mirabilis	MHS476	11447	0.17205006360757133	22894	24410.456549520473	1229.2415429002804	1287.7952454270496
Malassezia_arunalokei	MHS476	10371	0.15587762817105988	20742	24421.570640373335	1229.8012170776228	0
Malassezia_globosa	MHS476	95633	1.4373778049255588	191266	221778.28263733888	11168.126977791095	0
Malassezia_japonica	MHS476	7984	0.12000067335047172	15968	16348.54409257494	823.266435994818	0
Malassezia_restricta	MHS476	257085	3.864024687914081	514170	640365.2508293749	32246.982654844654	0
Methylobacterium_currus	MHS476	402	0.00604211807200521	804	832.2803098523457	41.91128216438534	43.90768454969587
Micrococcus_luteus	MHS476	22677	0.3408385858678165	45354	52350.08725567788	2636.202313487574	2761.775197804627
Moraxella_osloensis	MHS476	47263	0.7103697175054289	94526	122742.27729934148	6180.953888365538	6475.377500552548
Neisseria_subflava	MHS476	8143	0.12239046631924988	16286	19757.604935131887	994.9370969447441	1042.3299394205178
Prevotella_jejuni	MHS476	9748	0.14651384817389757	19496	21737.809341269494	1094.654589508657	1146.7973759071901
Prevotella_melaninogenica	MHS476	15492	0.2328469979390666	30984	32576.43073644945	1640.456904172236	1718.598442854905
Pseudomonas_oryzihabitans	MHS476	8463	0.1272001125457217	16926	18119.27944107212	912.435659333146	955.8986276000294
Pseudomonas_stutzeri	MHS476	9397	0.1412382674692363	18794	20621.12806293379	1038.4216790456937	1087.8858664898714
Rothia_dentocariosa	MHS476	10050	0.15105295180013034	20100	21975.77353973692	1106.6377934231643	1159.351387862949
