mtx_LIBID	k2_taxon	mgx_LIBID	mgx_paired_counts	mgx_rel_abun	mgx_counts	mgx_RPK	mtx_paired_counts	mtx_rel_abun	mtx_counts	mtx_RPK	mtx_TPM	mgx_CPM	transcriptional_activity	mtx_TPM_prok	mgx_CPM_prok	prok_transcriptional_activity	subj_region	region
MHS328	Corynebacterium_kefirresidentii	MHS464	5168	0.17811826735869013	10336	12480.125911099458	0	0	0	0	0	1432.297793278803	0	0	1449.8521445091735	0	SMT021_Ch	Ch
MHS328	Cutibacterium_acnes	MHS464	2440968	84.12944869156486	4881936	7585366.5356229395	870918	46.23808965087752	1741836	3052505.8480792143	524507.1714612062	870544.402161924	0.6025047891395735	630518.9859068182	881213.8608938266	0.7155118795649386	SMT021_Ch	Ch
MHS328	Cutibacterium_granulosum	MHS464	44742	1.5420602782822204	89484	127668.67241171775	28740	1.5258413496634813	57480	83399.30647223876	14330.368725454133	14652.060329255799	0.9780446164858232	17226.779819372623	14831.637100563627	1.161488762337502	SMT021_Ch	Ch
MHS328	Dermacoccus_nishinomiyaensis	MHS464	64049	2.207487791419649	128098	137920.24832278717	93450	4.961373490816017	186900	196139.1246754303	33702.27040224072	15828.595699143048	2.129201544017284	40514.07209090923	16022.592177871269	2.5285591520492567	SMT021_Ch	Ch
MHS328	Malassezia_arunalokei	MHS464	9824	0.33859014290475464	19648	23053.439115597277	61639	3.2724890379926	123278	152168.10134537448	26146.800168624384	2645.7577598148064	9.882537458929939	0	0	0	SMT021_Ch	Ch
MHS328	Malassezia_globosa	MHS464	2409	0.08302765210276404	4818	5797.4993061257255	98745	5.242491443024373	197490	249222.93428879904	42823.57604960362	665.3575069554515	64.36175379692655	0	0	0	SMT021_Ch	Ch
MHS328	Malassezia_restricta	MHS464	31399	1.0821856572746733	62798	76647.6654524749	216788	11.509537039347489	433576	577109.7381573496	99163.83831798431	8796.568469707074	11.273013864380967	0	0	0	SMT021_Ch	Ch
MHS328	Moraxella_osloensis	MHS464	86076	2.9666617610616512	172152	224396.1044559379	24166	1.2830021592194742	48332	61804.04667160119	10619.689958981096	25753.109185120808	0.4123653529616051	12766.109803470681	26068.741259701328	0.48970948295095945	SMT021_Ch	Ch
MHS328	Pseudomonas_aeruginosa	MHS464	10193	0.3513079526290883	20386	23019.790835445263	0	0	0	0	0	2641.8960714189793	0	0	2674.2753516004136	0	SMT021_Ch	Ch
MHS328	Staphylococcus_capitis	MHS464	50414	1.737549212581464	100828	127409.32659805493	156584	8.313233886419853	313168	439475.512378414	75514.37061754137	14622.296171485965	5.164330535500797	90777.1084435695	14801.508151001179	6.132963446527528	SMT021_Ch	Ch
MHS328	Staphylococcus_epidermidis	MHS464	52850	1.8215074361274717	105700	144268.20242160364	332521	17.653941942639197	665042	1007935.372481161	173191.91429836425	16557.126862397072	10.460263772677903	208196.94393585992	16760.05227474653	12.42221327970223	SMT021_Ch	Ch
MHS328	Xanthomonas_campestris	MHS464	103351	3.5620551566927214	206702	225332.11799351682	0	0	0	0	0	25860.53198949821	0	0	26177.480646179913	0	SMT021_Ch	Ch
MHS329	Acinetobacter_baumannii	MHS465	3615	0.22476115629822416	7230	8157.400013495793	0	0	0	0	0	1893.3333749161961	0	0	2076.488323026945	0	SMT021_Ac	Ac
MHS329	Actinomyces_naeslundii	MHS465	4099	0.25485365965876094	8198	8926.32789884171	0	0	0	0	0	2071.801615510085	0	0	2272.2210040930972	0	SMT021_Ac	Ac
MHS329	Actinomyces_oris	MHS465	12353	0.7680427562246095	24706	27706.727558496437	0	0	0	0	0	6430.73429149285	0	0	7052.82273142463	0	SMT021_Ac	Ac
MHS329	Actinomyces_sp._HMT_175	MHS465	2687	0.1670631333259553	5374	6104.469135944484	0	0	0	0	0	1416.8479089057837	0	0	1553.9091938725414	0	SMT021_Ac	Ac
MHS329	Actinomyces_sp._oral_taxon_169	MHS465	2439	0.15164383408336618	4878	5427.982600150305	0	0	0	0	0	1259.8353149688003	0	0	1381.707709338552	0	SMT021_Ac	Ac
MHS329	Actinomyces_sp._oral_taxon_171	MHS465	3497	0.21742455423925033	6994	6994	0	0	0	0	0	1623.308113155668	0	0	1780.3416906395826	0	SMT021_Ac	Ac
MHS329	Actinomyces_sp._oral_taxon_414	MHS465	2786	0.1732184181042469	5572	6081.203910715998	0	0	0	0	0	1411.448047757972	0	0	1547.9869676191252	0	SMT021_Ac	Ac
MHS329	Arthrobacter_woluwensis	MHS465	5435	0.33791891686883774	10870	11498.444456060986	0	0	0	0	0	2668.790130711125	0	0	2926.960257739341	0	SMT021_Ac	Ac
MHS329	Brevibacterium_casei	MHS465	2790	0.17346711647912735	5580	6897.748172047202	0	0	0	0	0	1600.9680540733345	0	0	1755.84052648393	0	SMT021_Ac	Ac
MHS329	Chryseobacterium_gleum	MHS465	4610	0.2866248770497409	9220	9722.50708399261	0	0	0	0	0	2256.594885567438	0	0	2474.8905775194053	0	SMT021_Ac	Ac
MHS329	Chryseobacterium_taklimakanense	MHS465	2540	0.15792346804909804	5080	5557.991394803442	0	0	0	0	0	1290.0103694643715	0	0	1414.8018010272535	0	SMT021_Ac	Ac
MHS329	Corynebacterium_coyleae	MHS465	6745	0.4193676346421914	13490	16577.438866604865	0	0	0	0	0	3847.6252512870715	0	0	4219.83207581436	0	SMT021_Ac	Ac
MHS329	Corynebacterium_kefirresidentii	MHS465	14451	0.8984850538494157	28902	35847.0036687313	0	0	0	0	0	8320.093206716116	0	0	9124.952118380383	0	SMT021_Ac	Ac
MHS329	Corynebacterium_matruchotii	MHS465	6006	0.3734206098830247	12012	14208.45660868787	0	0	0	0	0	3297.7842276670413	0	0	3616.801209621177	0	SMT021_Ac	Ac
MHS329	Corynebacterium_segmentosum	MHS465	10629	0.6608537566511271	21258	24724.750448520623	0	0	0	0	0	5738.617100204857	0	0	6293.752361189731	0	SMT021_Ac	Ac
