k2_taxon	n_detected	percent_detected_at_site	median_detect_transcriptional_activity	mean_detect_transcriptional_activity	transcript_cat	region
Cutibacterium_acnes	16	84.21052631578947	0.04081598226120135	0.1860736205357615	Core_low	Ac
Malassezia_arunalokei	2	10.526315789473683	2.9716515378329187	2.9716515378329187	Variable_high	Ac
Malassezia_dermatis	2	10.526315789473683	4.293661668531905	4.293661668531905	Variable_high	Ac
Malassezia_furfur	9	47.368421052631575	2.735732644857098	6.570150374743472	Variable_high	Ac
Malassezia_globosa	19	100	5.718209181920429	9.910570427264464	Core_high	Ac
Malassezia_obtusa	2	10.526315789473683	2.376154968742893	2.376154968742893	Variable_high	Ac
Malassezia_restricta	14	73.68421052631578	0.5725853355238193	7.565666384529606	Variable_low	Ac
Malassezia_sympodialis	3	15.789473684210526	3.8122722961406588	4.778652468883901	Variable_high	Ac
Staphylococcus_capitis	6	31.57894736842105	3.5751494627499785	14.388521277232655	Variable_high	Ac
Staphylococcus_epidermidis	9	47.368421052631575	3.3882440592129712	5.377895931553154	Variable_high	Ac
Staphylococcus_hominis	8	42.10526315789473	6.62905940670675	12.394550900591845	Variable_high	Ac
