mtx_LIBID	estimated_contaminant_read_pairs
MHS371	8870
MHS389	5172
MHS388	16494
MHS413	3103
MHS412	31590
MHS391	3219
MHS390	3776
MHS349	17928
MHS392	5002
MHS341	41223
MHS381	32085
MHS383	32419
MHS382	52368
MHS350	2588
MHS394	5224
MHS393	5611
MHS351	15218
MHS396	12462
MHS598	10983
MHS380	31323
MHS379	4688
MHS378	10020
MHS339	46146
MHS338	75748
MHS355	12589
MHS398	14661
MHS336	5724
MHS376	10758
MHS377	7852
MHS337	142040
MHS357	304266
MHS358	33013
MHS411	3433
MHS344	221346
MHS345	189007
MHS419	5392
MHS418	59366
MHS423	47892
MHS422	18770
MHS421	12636
MHS425	20019
MHS424	55861
MHS334	191179
MHS374	8997
MHS333	4562
MHS375	50299
MHS335	270352
MHS360	252983
MHS427	35567
MHS426	17898
MHS428	13440
MHS361	445205
MHS408	10685
MHS384	6972
MHS407	13225
MHS409	4104
MHS342	145684
MHS433	43279
MHS432	21765
MHS434	9402
MHS364	199636
MHS331	1875
MHS373	6115
MHS332	30096
MHS443	11840
MHS442	19960
MHS370	117723
MHS369	107215
MHS387	37708
MHS386	4566
MHS385	41980
MHS410	26837
MHS343	52294
MHS435	13348
MHS436	41110
MHS365	131454
MHS329	89682
MHS328	17974
MHS406	13613
MHS372	5141
MHS330	101855
MHS405	159400
MHS416	6969
MHS415	2199
MHS414	7580
MHS347	36650
MHS362	72945
MHS430	58802
MHS429	44236
MHS363	157227
MHS366	974318
MHS438	46108
MHS437	41390
MHS441	40576
MHS594	298832
MHS440	25626
MHS402	5577
MHS368	23919
MHS593	64602
MHS439	14915
MHS399	102612
MHS367	249236
