species	MHS340	MHS348	MHS420	MHS431	MHS602
unclassified	449192	24840	0	 39672	365829
Delftia acidovorans	 37211	 1381	0	  1482	   672
Delftia lacustris	  2183	   47	0	    79	   209
Delftia sp. HK171	  1705	   28	0	    85	    46
Delftia sp. WY8	   134	    4	0	     1	0
Delftia sp. KV29	    17	0	0	0	0
Delftia tsuruhatensis	  1172	   37	0	    43	    88
Acidovorax sp. 1608163	   915	   31	0	    15	  1216
Acidovorax sp. KKS102	   847	   40	0	    29	  1815
Acidovorax sp. T1	   349	   25	0	     6	   562
Acidovorax sp. RAC01	   304	   13	0	     2	  1220
Acidovorax sp. JMULE5	   205	   17	0	     3	  1683
Acidovorax sp. JS42	    77	    6	0	     5	    30
Acidovorax sp. HDW3	    76	0	0	0	   155
Acidovorax carolinensis	   408	   15	0	     4	  1057
Acidovorax antarcticus	   191	    7	0	     1	   455
Acidovorax avenae	   190	    6	0	     5	  2147
Acidovorax monticola	   138	    7	0	     7	   919
Acidovorax cattleyae	   103	0	0	     5	   315
Acidovorax ebreus	    79	0	0	0	    86
Acidovorax citrulli	    37	0	0	     2	   537
Comamonas testosteroni	   666	   46	0	    62	   452
Comamonas aquatica	   573	   31	0	    15	   324
Comamonas thiooxydans	   520	   34	0	     2	   146
Comamonas sp. NLF-7-7	    38	    1	0	0	   118
Comamonas sp. CJ34	    25	0	0	0	    42
Comamonas sp. NLF-1-9	    16	   10	0	0	   108
Comamonas sp. Y33R10-2	    16	0	0	     1	    20
Comamonas sp. 7D-2	     1	0	0	0	0
Comamonas koreensis	    43	    3	0	     4	   112
Comamonas kerstersii	    37	0	0	     3	    80
Comamonas odontotermitis	    27	    2	0	0	   159
Comamonas serinivorans	    26	    1	0	     5	   127
Comamonas piscis	    21	0	0	     2	   111
Variovorax sp. HW608	   133	    5	0	     3	   211
Variovorax sp. PAMC26660	    85	   21	0	0	   137
Variovorax sp. RKNM96	    68	    9	0	     1	   182
Variovorax sp. 38R	    61	    2	0	     1	   114
Variovorax sp. PAMC28562	    58	    2	0	0	   102
Variovorax sp. PAMC 28711	    47	    6	0	     1	   119
Variovorax sp. WDL1	    37	0	0	     3	   101
Variovorax sp. PBL-H6	    31	    2	0	     3	   175
Variovorax sp. SRS16	    13	0	0	0	    27
Variovorax sp. PBS-H4	     8	    4	0	0	   168
Variovorax sp. RA8	     7	    1	0	     5	    97
Variovorax paradoxus	   329	   20	0	    13	   703
Variovorax boronicumulans	    86	    3	0	     1	    99
Diaphorobacter sp. JS3051	   201	    3	0	     3	    64
Diaphorobacter sp. HDW4A	    62	0	0	     5	   169
Diaphorobacter sp. JS3050	    26	0	0	     1	    45
Diaphorobacter sp. HDW4B	    17	    6	0	     2	   115
Diaphorobacter sp. MNS-0	    12	    2	0	     4	     5
Diaphorobacter ruginosibacter	    96	    1	0	     2	   267
Diaphorobacter aerolatus	    37	    4	0	     1	   129
Diaphorobacter polyhydroxybutyrativorans	    16	0	0	0	    64
Alicycliphilus denitrificans	   472	   18	0	    13	   590
Hydrogenophaga sp. RAC07	    80	    6	0	0	    96
Hydrogenophaga sp. PBC	    43	    2	0	     4	   164
Hydrogenophaga sp. BA0156	    43	   10	0	     5	   125
Hydrogenophaga sp. PBL-H3	    42	    3	0	0	    41
Hydrogenophaga sp. YM1	    40	    4	0	     4	   131
Hydrogenophaga sp. PAMC20947	    26	    1	0	     1	    53
Hydrogenophaga sp. NH-16	    18	    2	0	     7	    51
Hydrogenophaga sp. BPS33	     8	0	0	     1	   171
Hydrogenophaga pseudoflava	     6	    1	0	     1	    46
Hydrogenophaga crassostreae	     5	0	0	0	    66
Ottowia sp. 27C	    84	    1	0	    13	   119
Ottowia sp. oral taxon 894	    33	0	0	     8	    21
Ottowia oryzae	   113	    2	0	    11	    79
Rhodoferax sp. BAB1	    26	0	0	     4	   162
Rhodoferax sp. MIZ03	    25	0	0	     2	    25
Rhodoferax sp. AJA081-3	    24	0	0	0	    31
Rhodoferax sp. PAMC29310	    11	0	0	     2	    15
Rhodoferax ferrireducens	    65	    1	0	0	    84
Rhodoferax sediminis	    14	    8	0	     3	   145
Rhodoferax saidenbachensis	     8	0	0	     9	   166
Rhodoferax koreense	     7	0	0	     2	   267
Rhodoferax antarcticus	     6	    1	0	0	    38
Polaromonas naphthalenivorans	    69	0	0	0	   123
Polaromonas sp. JS666	    45	    1	0	     4	   190
Ramlibacter tataouinensis	    95	    8	0	     9	   401
Verminephrobacter eiseniae	    81	   12	0	     1	   366
Pulveribacter suum	    63	   14	0	     2	   318
Schlegelella thermodepolymerans	    62	    1	0	     9	   110
Melaminivora sp. SC2-9	    60	    2	0	0	   352
Limnohabitans sp. 103DPR2	    28	0	0	0	     9
Limnohabitans sp. 63ED37-2	    23	    1	0	0	    43
Kinneretia sp. DAIF2	    42	0	0	     8	   122
Hylemonella gracilis	    40	    3	0	0	    82
Serpentinomonas mccroryi	    22	0	0	0	    50
Serpentinomonas raichei	     1	0	0	0	    23
Simplicispira suum	    17	0	0	     2	   137
Curvibacter sp. AEP1-3	     9	0	0	0	    64
Candidatus Symbiobacter mobilis	     3	    6	0	0	     1
Polynucleobacter necessarius	 17219	    2	0	    62	     3
Polynucleobacter sp. TSB-Sco08W16	     3	0	0	0	     1
Burkholderia contaminans	   221	   43	0	    16	    96
Burkholderia ubonensis	    63	0	0	     3	    27
Burkholderia cepacia	    61	   20	0	0	    23
Burkholderia stabilis	    41	0	0	     1	     3
Burkholderia lata	    20	    4	0	0	    21
Burkholderia seminalis	    15	0	0	0	     8
Burkholderia cenocepacia	    10	    1	0	     3	    65
Burkholderia multivorans	     4	    3	0	0	    10
Burkholderia metallica	     3	0	0	0	0
Burkholderia pyrrocinia	     1	0	0	0	    20
Burkholderia stagnalis	     1	0	0	0	     2
Burkholderia anthina	     1	0	0	     2	     9
Burkholderia dolosa	     1	0	0	     1	    11
Burkholderia vietnamiensis	     1	    4	0	0	    20
Burkholderia sp. NK8	    46	0	0	     1	     1
Burkholderia sp. KBS0801	    19	0	0	0	0
Burkholderia sp. DHOD12	    18	0	0	0	    11
Burkholderia sp. IDO3	    11	    1	0	0	     5
