mgx_LIBID	annotated_contaminant_reads_unpaired
MHS475	67603
MHS474	2270
MHS473	3104
MHS477	122787
MHS476	158679
MHS499	256844
MHS498	30251
MHS497	13331
MHS501	535443
MHS484	33205
MHS483	21965
MHS486	318369
MHS485	97670
MHS504	22776
MHS503	10985
MHS502	20837
MHS505	125354
MHS508	448306
MHS507	49026
MHS448	1010419
MHS447	47419
MHS446	100734
MHS450	946806
MHS449	1013418
MHS592	209276
MHS513	5361
MHS452	316927
MHS451	5913
MHS454	268560
MHS453	557713
MHS517	9394
MHS521	219576
MHS493	1532
MHS492	13398
MHS495	58818
MHS525	41102
MHS523	5790
MHS530	79473
MHS529	17743
MHS528	22937
MHS532	418217
MHS531	118809
MHS457	38316
MHS456	2508
MHS455	2800
MHS459	245558
MHS458	122783
MHS540	99743
MHS539	90080
MHS538	91696
MHS542	46059
MHS541	562689
MHS480	690218
MHS479	54523
MHS478	93382
MHS482	288512
MHS481	591806
MHS544	3804
MHS543	20385
MHS547	26434
MHS546	83920
MHS461	2110
MHS460	15908
MHS462	127979
MHS567	12253
MHS564	6224
MHS569	113850
MHS568	72713
MHS489	41445
MHS488	5923
MHS487	6259
MHS491	349209
MHS490	115138
MHS549	398186
MHS553	305311
MHS551	1534815
MHS465	363530
MHS464	24957
MHS463	12179
MHS467	52043
MHS466	481395
MHS560	220830
MHS469	47865
MHS471	3732
MHS468	2942
MHS472	225902
MHS535	33891
MHS534	17859
MHS533	50449
MHS536	171030
MHS556	153102
MHS555	49329
MHS554	13781
MHS571	8044
MHS572	11598
MHS570	24717
MHS574	21643
MHS573	147114
MHS576	308686
MHS577	32131
MHS575	12985
MHS578	812331
