LIBID	annotated_unpaired	annotated_RPK
MHS475	11132052	17251838.274117243
MHS474	9632038	15614965.095151296
MHS473	2386630	3896727.7957702614
MHS477	14496545	20507202.663697492
MHS476	12850888	20562141.91486832
MHS499	11150733	15243156.80915595
MHS498	13802550	22711016.945238315
MHS497	3313672	4916077.85768558
MHS501	18643546	27723899.45212936
MHS484	2597722	4182617.371414629
MHS483	14890630	24492497.37120357
MHS486	9489173	13133404.733973727
MHS485	8681869	13752258.184803579
MHS504	12646318	15082489.701442448
MHS503	1781082	2290791.0058337525
MHS502	4064391	5289878.574445934
MHS505	9532560	11600700.67757865
MHS508	9085270	14329781.236642543
MHS507	6324679	9553151.783316547
MHS448	16236782	24751872.780101124
MHS447	27768193	45341139.572581574
MHS446	19158423	30618160.389813893
MHS450	10021127	13068854.848139621
MHS449	16786628	25634511.0614962
MHS592	6948249	9605773.542040419
MHS513	221641	348239.9151687715
MHS452	16629168	24315485.02331477
MHS451	5534638	8747988.149830682
MHS454	11566017	18069667.60826184
MHS453	10417202	16236753.274644863
MHS517	1260801	1714983.5846129376
MHS521	13526656	19016418.317315783
MHS493	28594657	39878061.02012197
MHS492	9983664	15636854.920235217
MHS495	10973624	15471920.225796912
MHS525	16976456	26969823.778594222
MHS523	25936235	41895154.18969736
MHS530	5995081	8043516.795814774
MHS529	23177866	36347850.0132525
MHS528	7124539	10690067.324708521
MHS532	9849582	13209051.350279756
MHS531	6213369	9240604.041119007
MHS457	431439	741559.8632832853
MHS456	823786	1289877.0949708521
MHS455	912622	1476063.0546871796
MHS459	2508376	3484195.4947073637
MHS458	3755527	5146503.060937297
MHS540	1037268	1591857.9998349356
MHS539	17255393	27847996.00481681
MHS538	10041845	15456086.505544795
MHS542	812580	1043583.3939315471
MHS541	4800322	7282045.773455689
MHS480	17652259	22449020.220938575
MHS479	22475490	35790577.29019512
MHS478	8536178	12383318.129932642
MHS482	13762522	18085716.173837975
MHS481	16006788	21017638.916378014
MHS544	2956074	4909550.734105994
MHS543	22493306	36575341.52011285
MHS547	31351894	46448550.935132705
MHS546	6097174	9300478.525589358
MHS461	15552002	25218067.852649994
MHS460	5280565	8408642.504258549
MHS462	5711615	9034445.374398753
MHS567	22047332	35762409.17749372
MHS564	9083817	14703473.482119488
MHS569	9357952	10974548.288150929
MHS568	7952017	12752727.148852192
MHS489	11461232	14583487.74543538
MHS488	11281459	17592979.048624866
MHS487	580783	935108.3266228975
MHS491	16949734	21810548.886168152
MHS490	4668869	6587707.900831263
MHS549	4266002	6046607.917500385
MHS553	10352076	14999518.904273154
MHS551	24171188	32449323.46961342
MHS465	2626765	4018155.4397977833
MHS464	4949069	7969970.388498664
MHS463	3454818	5498501.1725086095
MHS467	11246786	16498256.703676583
MHS466	7470138	11019449.329063492
MHS560	4942925	7169752.546822731
MHS469	13190692	20365137.6002917
MHS471	36777846	60411520.11712673
MHS468	1584814	2410444.9467016417
MHS472	7911545	10924600.626028068
MHS535	1378585	1883286.9693069092
MHS534	14882440	23262743.422896996
MHS533	25930768	41326516.838069156
MHS536	9783888	13169107.262373812
MHS556	2302465	3516855.8392931153
MHS555	18335195	26685363.300117914
MHS554	4315780	6769757.980059722
MHS571	265999	462477.6144765372
MHS572	16842883	27133056.19825191
MHS570	6642456	10645177.852585869
MHS574	22629700	33503965.668377563
MHS573	8437668	12616648.200487038
MHS576	6679294	9456249.856880033
MHS577	7333460	11473060.937850036
MHS575	2561081	3557958.6973417136
MHS578	11399479	15133095.615552826
