species	freq	site_size	percent_detected_at_site	region	category_within_site
Corynebacterium_kefirresidentii	7	24	29.166666666666668	Sc	variable
Corynebacterium_tuberculostearicum	3	24	12.5	Sc	variable
Cutibacterium_acnes	21	24	87.5	Sc	core
Cutibacterium_granulosum	5	24	20.833333333333336	Sc	variable
Malassezia_arunalokei	11	24	45.83333333333333	Sc	variable
Malassezia_dermatis	6	24	25	Sc	variable
Malassezia_furfur	4	24	16.666666666666664	Sc	variable
Malassezia_globosa	24	24	100	Sc	core
Malassezia_restricta	21	24	87.5	Sc	core
Malassezia_sympodialis	3	24	12.5	Sc	variable
Moraxella_osloensis	3	24	12.5	Sc	variable
Staphylococcus_capitis	20	24	83.33333333333334	Sc	core
Staphylococcus_epidermidis	18	24	75	Sc	prevalent
Staphylococcus_hominis	8	24	33.33333333333333	Sc	variable
Corynebacterium_kefirresidentii	13	23	56.52173913043478	Ch	prevalent
Corynebacterium_segmentosum	3	23	13.043478260869565	Ch	variable
Cutibacterium_acnes	23	23	100	Ch	core
Cutibacterium_granulosum	14	23	60.86956521739131	Ch	prevalent
Cutibacterium_modestum	7	23	30.434782608695656	Ch	variable
Malassezia_arunalokei	16	23	69.56521739130434	Ch	prevalent
Malassezia_dermatis	3	23	13.043478260869565	Ch	variable
Malassezia_furfur	3	23	13.043478260869565	Ch	variable
Malassezia_globosa	22	23	95.65217391304348	Ch	core
Malassezia_restricta	23	23	100	Ch	core
Malassezia_sympodialis	6	23	26.08695652173913	Ch	variable
Moraxella_osloensis	4	23	17.391304347826086	Ch	variable
Staphylococcus_capitis	17	23	73.91304347826086	Ch	prevalent
Staphylococcus_epidermidis	23	23	100	Ch	core
Staphylococcus_hominis	3	23	13.043478260869565	Ch	variable
Cutibacterium_acnes	16	19	84.21052631578947	Ac	core
Malassezia_furfur	9	19	47.368421052631575	Ac	variable
Malassezia_globosa	19	19	100	Ac	core
Malassezia_restricta	14	19	73.68421052631578	Ac	prevalent
Malassezia_sympodialis	3	19	15.789473684210526	Ac	variable
Staphylococcus_capitis	6	19	31.57894736842105	Ac	variable
Staphylococcus_epidermidis	9	19	47.368421052631575	Ac	variable
Staphylococcus_hominis	8	19	42.10526315789473	Ac	variable
Corynebacterium_kefirresidentii	5	18	27.77777777777778	Vf	variable
Corynebacterium_tuberculostearicum	5	18	27.77777777777778	Vf	variable
Corynebacterium_ureicelerivorans	3	18	16.666666666666664	Vf	variable
Cutibacterium_acnes	18	18	100	Vf	core
Malassezia_arunalokei	4	18	22.22222222222222	Vf	variable
Malassezia_furfur	6	18	33.33333333333333	Vf	variable
Malassezia_globosa	18	18	100	Vf	core
Malassezia_restricta	16	18	88.88888888888889	Vf	core
Malassezia_sympodialis	4	18	22.22222222222222	Vf	variable
Moraxella_osloensis	4	18	22.22222222222222	Vf	variable
Rothia_mucilaginosa	3	18	16.666666666666664	Vf	variable
Staphylococcus_capitis	10	18	55.55555555555556	Vf	prevalent
Staphylococcus_epidermidis	14	18	77.77777777777779	Vf	core
Staphylococcus_hominis	16	18	88.88888888888889	Vf	core
Corynebacterium_tuberculostearicum	10	18	55.55555555555556	Tw	prevalent
Cutibacterium_acnes	9	18	50	Tw	variable
Deinococcus_wulumuqiensis	3	18	16.666666666666664	Tw	variable
Malassezia_furfur	3	18	16.666666666666664	Tw	variable
Malassezia_globosa	11	18	61.111111111111114	Tw	prevalent
Malassezia_restricta	3	18	16.666666666666664	Tw	variable
Moraxella_osloensis	8	18	44.44444444444444	Tw	variable
Staphylococcus_capitis	15	18	83.33333333333334	Tw	core
Staphylococcus_caprae	4	18	22.22222222222222	Tw	variable
Staphylococcus_epidermidis	16	18	88.88888888888889	Tw	core
Staphylococcus_haemolyticus	10	18	55.55555555555556	Tw	prevalent
Staphylococcus_hominis	15	18	83.33333333333334	Tw	core
Staphylococcus_warneri	5	18	27.77777777777778	Tw	variable
