k2_taxon	n_detected	percent_detected_at_site	median_detect_transcriptional_activity	mean_detect_transcriptional_activity	transcript_cat	region
Chroococcidiopsis_thermalis	2	11.11111111111111	6.132646145814554	6.132646145814554	Variable_high	Tw
Chryseobacterium_taklimakanense	2	11.11111111111111	0.32110775919043605	0.32110775919043605	Variable_low	Tw
Corynebacterium_kefirresidentii	2	11.11111111111111	2.173435641966889	2.173435641966889	Variable_high	Tw
Corynebacterium_tuberculostearicum	10	55.55555555555556	0.8085662057135162	1.4827960955187005	Variable_low	Tw
Cutibacterium_acnes	9	50	0.09826635953032892	2.8558790717596807	Variable_low	Tw
Deinococcus_proteolyticus	2	11.11111111111111	1.3801231874090787	1.3801231874090787	Variable_high	Tw
Deinococcus_radiodurans	2	11.11111111111111	2.62501002626525	2.62501002626525	Variable_high	Tw
Deinococcus_wulumuqiensis	3	16.666666666666664	1.9540239470849672	1.9203658959531975	Variable_high	Tw
Dermacoccus_sp._PAMC28757	2	11.11111111111111	0.614984526562382	0.614984526562382	Variable_low	Tw
Finegoldia_magna	2	11.11111111111111	7.082960524673123	7.082960524673123	Variable_high	Tw
Kocuria_indica	2	11.11111111111111	0.4440028577261311	0.4440028577261311	Variable_low	Tw
Kocuria_palustris	2	11.11111111111111	2.552030254813772	2.552030254813772	Variable_high	Tw
Malassezia_furfur	3	16.666666666666664	5.1757982268899925	7.039116945261782	Variable_high	Tw
Malassezia_globosa	11	61.111111111111114	5.435860774236955	670.164177429234	Variable_high	Tw
Malassezia_obtusa	2	11.11111111111111	4.652330646362857	4.652330646362857	Variable_high	Tw
Malassezia_restricta	3	16.666666666666664	5.02301470091308	463.01305283097	Variable_high	Tw
Moraxella_osloensis	8	44.44444444444444	0.1650289630297758	0.42844689497648425	Variable_low	Tw
Rothia_amarae	2	11.11111111111111	0.7871676209686933	0.7871676209686933	Variable_low	Tw
Staphylococcus_capitis	15	83.33333333333334	1.3253717349737983	2.1814036303102613	Core_high	Tw
Staphylococcus_caprae	4	22.22222222222222	2.415038678391924	2.80349239759442	Variable_high	Tw
Staphylococcus_epidermidis	16	88.88888888888889	1.6985365962555958	2.2306979187652356	Core_high	Tw
Staphylococcus_haemolyticus	10	55.55555555555556	1.075511858598234	3.234803559372879	Variable_high	Tw
Staphylococcus_hominis	15	83.33333333333334	1.9091775447378962	2.683578737068536	Core_high	Tw
Staphylococcus_pettenkoferi	2	11.11111111111111	3.4359405066279205	3.4359405066279205	Variable_high	Tw
Staphylococcus_warneri	5	27.77777777777778	4.000183012107651	3.9541793464837145	Variable_high	Tw
