Checklist	ERC000011	ENA default sample checklist				
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)
#units	 	 	 	 	 	 
1586248	mixed RNA library	MHS328_merged	skin_metatranscriptomics	SMT021_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS329_merged	skin_metatranscriptomics	SMT021_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS330_merged	skin_metatranscriptomics	SMT021_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS331_merged	skin_metatranscriptomics	SMT017_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS332_merged	skin_metatranscriptomics	SMT017_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS333_merged	skin_metatranscriptomics	SMT013_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS334_merged	skin_metatranscriptomics	SMT013_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS335_merged	skin_metatranscriptomics	SMT013_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS336_merged	skin_metatranscriptomics	SMT008_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS337_merged	skin_metatranscriptomics	SMT008_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS338_merged	skin_metatranscriptomics	SMT006_Vf_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS372_merged	skin_metatranscriptomics	SMT021_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS373_merged	skin_metatranscriptomics	SMT017_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS374_merged	skin_metatranscriptomics	SMT013_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS375_merged	skin_metatranscriptomics	SMT013_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS376_merged	skin_metatranscriptomics	SMT008_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS377_merged	skin_metatranscriptomics	SMT008_Tw_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS378_merged	skin_metatranscriptomics	SMT006_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS379_merged	skin_metatranscriptomics	SMT006_Ch_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS380_merged	skin_metatranscriptomics	SMT006_Ac_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	MHS406_merged	skin_metatranscriptomics	SMT021_Sc_mixed_RNA_library	2022	Singapore
1586248	mixed RNA library	SMT028_T1_Ac_merged	skin_metatranscriptomics	SMT028_T1_Ac_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T1_Ch_merged	skin_metatranscriptomics	SMT028_T1_Ch_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T1_Sc_merged	skin_metatranscriptomics	SMT028_T1_Sc_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T1_Tw_merged	skin_metatranscriptomics	SMT028_T1_Tw_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T1_Vf_merged	skin_metatranscriptomics	SMT028_T1_Vf_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T2_Ch_merged	skin_metatranscriptomics	SMT028_T2_Ch_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T2_Sc_merged	skin_metatranscriptomics	SMT028_T2_Sc_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T2_Tw_merged	skin_metatranscriptomics	SMT028_T2_Tw_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T2_Vf_merged	skin_metatranscriptomics	SMT028_T2_Vf_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T3_Ch_merged	skin_metatranscriptomics	SMT028_T3_Ch_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T3_Sc_merged	skin_metatranscriptomics	SMT028_T3_Sc_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT028_T3_Tw_merged	skin_metatranscriptomics	SMT028_T3_Tw_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T1_Ac_merged	skin_metatranscriptomics	SMT029_T1_Ac_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T1_Ch_merged	skin_metatranscriptomics	SMT029_T1_Ch_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T1_Sc_merged	skin_metatranscriptomics	SMT029_T1_Sc_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T1_Tw_merged	skin_metatranscriptomics	SMT029_T1_Tw_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T1_Vf_merged	skin_metatranscriptomics	SMT029_T1_Vf_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T2_Ac_merged	skin_metatranscriptomics	SMT029_T2_Ac_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T2_Ch_merged	skin_metatranscriptomics	SMT029_T2_Ch_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T2_Sc_merged	skin_metatranscriptomics	SMT029_T2_Sc_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T2_Tw_merged	skin_metatranscriptomics	SMT029_T2_Tw_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T2_Vf_merged	skin_metatranscriptomics	SMT029_T2_Vf_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T3_Ac_merged	skin_metatranscriptomics	SMT029_T3_Ac_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T3_Ch_merged	skin_metatranscriptomics	SMT029_T3_Ch_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T3_Sc_merged	skin_metatranscriptomics	SMT029_T3_Sc_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T3_Tw_merged	skin_metatranscriptomics	SMT029_T3_Tw_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT029_T3_Vf_merged	skin_metatranscriptomics	SMT029_T3_Vf_mixed_RNA_library	2023	Singapore
1586248	mixed RNA library	SMT030_T1_Ac_merged	skin_metatranscriptomics	SMT030_T1_Ac_mixed_RNA_library	2023	Singapore
