paired_counts	distinct_minimizer_count	k2_taxon	source	rel_abun	abun_filter	species_microbial_read_pair_total	minimizer_threshold	minimizer_microbe_ratio	minimizer_filter	taxa_pass_filter	mtx_LIBID
395263	545390	Cutibacterium_acnes	non_contaminant	78.34933635686082	TRUE	547121	5471.21	996836.1660400534	TRUE	TRUE	MHS374
12475	46844	Cutibacterium_granulosum	non_contaminant	2.472804110305894	TRUE	547121	5471.21	85619.08608881765	TRUE	TRUE	MHS374
726	5587	Cutibacterium_avidum	non_contaminant	0.1439082792851366	TRUE	547121	5471.21	10211.635086205793	TRUE	TRUE	MHS374
14638	39601	Corynebacterium_segmentosum	non_contaminant	2.901555636605826	TRUE	547121	5471.21	72380.6982367703	TRUE	TRUE	MHS374
4048	21538	Corynebacterium_matruchotii	non_contaminant	0.8023976784383374	TRUE	547121	5471.21	39366.06344848763	TRUE	TRUE	MHS374
2285	10973	Corynebacterium_bovis	non_contaminant	0.4529344602844865	TRUE	547121	5471.21	20055.892572209807	TRUE	TRUE	MHS374
2107	9418	Corynebacterium_kefirresidentii	non_contaminant	0.4176511631594805	TRUE	547121	5471.21	17213.742481096506	TRUE	TRUE	MHS374
7042	77334	Staphylococcus_epidermidis	non_contaminant	1.395870664911752	TRUE	547121	5471.21	141347.16086569516	TRUE	TRUE	MHS374
1876	22122	Staphylococcus_capitis	non_contaminant	0.3718621652051189	TRUE	547121	5471.21	40433.46901325301	TRUE	TRUE	MHS374
888	8395	Moraxella_osloensis	non_contaminant	0.17602004408429933	TRUE	547121	5471.21	15343.954993502351	TRUE	TRUE	MHS374
42872	242182	Malassezia_restricta	non_contaminant	8.498120867096938	TRUE	547121	5471.21	442647.9700102903	TRUE	TRUE	MHS374
14514	138517	Malassezia_globosa	non_contaminant	2.876976261080541	TRUE	547121	5471.21	253174.34351816145	TRUE	TRUE	MHS374
5754	40126	Malassezia_arunalokei	non_contaminant	1.140562312681372	TRUE	547121	5471.21	73340.2665955063	TRUE	TRUE	MHS374
