paired_counts	distinct_minimizer_count	k2_taxon	source	rel_abun	abun_filter	species_microbial_read_pair_total	minimizer_threshold	minimizer_microbe_ratio	minimizer_filter	taxa_pass_filter	mtx_LIBID
2829955	1432215	Malassezia_restricta	non_contaminant	68.32722161164024	TRUE	5020108	50201.079999999994	285295.65499387664	TRUE	TRUE	MHS396
492622	1312868	Malassezia_dermatis	non_contaminant	11.894002754379288	TRUE	5020108	50201.079999999994	261521.8636730525	TRUE	TRUE	MHS396
42168	520953	Malassezia_globosa	non_contaminant	1.018115935030644	TRUE	5020108	50201.079999999994	103773.2654357237	TRUE	TRUE	MHS396
18851	71497	Malassezia_arunalokei	non_contaminant	0.45514379366492763	TRUE	5020108	50201.079999999994	14242.123874625806	TRUE	TRUE	MHS396
559378	637960	Cutibacterium_acnes	non_contaminant	13.505778208726321	TRUE	5020108	50201.079999999994	127080.93132657705	TRUE	TRUE	MHS396
26271	96885	Cutibacterium_granulosum	non_contaminant	0.6342943400016611	TRUE	5020108	50201.079999999994	19299.38559090761	TRUE	TRUE	MHS396
24430	105768	Corynebacterium_kefirresidentii	non_contaminant	0.5898447233162263	TRUE	5020108	50201.079999999994	21068.86943468149	TRUE	TRUE	MHS396
10425	65771	Corynebacterium_tuberculostearicum	non_contaminant	0.2517041031752623	TRUE	5020108	50201.079999999994	13101.510963509152	TRUE	TRUE	MHS396
121236	378298	Staphylococcus_epidermidis	non_contaminant	2.9271557460485473	TRUE	5020108	50201.079999999994	75356.54611414735	TRUE	TRUE	MHS396
16432	155004	Staphylococcus_capitis	non_contaminant	0.39673878401687396	TRUE	5020108	50201.079999999994	30876.626558631808	TRUE	TRUE	MHS396
