2	-	Achromobacter	UniRef90_A0A1I7KJ82
2	-	Achromobacter	UniRef90_A0A2T6J923
2	-	Achromobacter_insolitus	UniRef90_A0A512DQT1
1	-	Achromobacter_spanius	UniRef90_A0A0C6FS71
1	-	Achromobacter_spanius	UniRef90_I9WSD4
1	-	Acidovorax	UniRef90_F0Q9X7
1	-	Acidovorax_avenae_subsp._avenae	UniRef90_A0A0S9L928
1	-	Acidovorax_avenae_subsp._avenae	UniRef90_A0A4Q3YLE4
1	-	Acidovorax_avenae_subsp._avenae	UniRef90_J1ELV6
1	-	Acidovorax_avenae_subsp._avenae	UniRef90_UPI000D7C6905
1	-	Acidovorax_carolinensis	UniRef90_A0A5C7VBK8
1	-	Acidovorax_cattleyae	UniRef90_A0A068YR17
1	-	Acidovorax_cattleyae	UniRef90_F0Q9X7
2	-	Acidovorax_monticola	UniRef90_A0A7H0HBU2
4	-	Acidovorax_sp._1608163	UniRef90_A0A0D7K5B6
1	-	Acidovorax_sp._1608163	UniRef90_A0A5C7QLC6
2	-	Acidovorax_sp._KKS102	UniRef90_A0A245ZI79
2	-	Acidovorax_sp._KKS102	UniRef90_J1EBX6
1	-	Acidovorax_sp._RAC01	UniRef90_UPI000F522307
2	-	Acidovorax_sp._T1	UniRef90_J1EBX6
2	-	Actinoplanes_sp._N902-109	UniRef90_UPI000F526649
2	-	Actinoplanes_sp._N902-109	UniRef90_UPI000F5453B5
2	-	Bordetella	UniRef90_A0A327MC36
1	-	Bordetella_bronchialis	UniRef90_A0A0S9NCU5
2	-	Bordetella_hinzii	UniRef90_A0A522RH17
1	-	Bordetella_petrii	UniRef90_A0A0S9M4E4
2	-	Bordetella_trematum	UniRef90_UPI0009A2BB16
1	-	Bosea	UniRef90_A0A0D1PQK5
1	-	Bosea	UniRef90_A0A3S0E596
1	-	Bosea_sp._AS-1	UniRef90_A0A0D1PQK5
1	-	Bosea_sp._AS-1	UniRef90_A0A3S0E596
1	-	Bosea_sp._AS-1	UniRef90_A0A5C8PPI7
2	-	Bosea_sp._RAC05	UniRef90_A0A4Q4CUZ1
1	-	Bosea_sp._RAC05	UniRef90_A0A5C8VBD6
1	-	Bradyrhizobium	UniRef90_A0A1W6CZC1
2	-	Bradyrhizobium	UniRef90_A0A3S2W8A5
1	-	Bradyrhizobium	UniRef90_A0A4Q3RHA0
1	-	Bradyrhizobium	UniRef90_I9WQ83
16	-	Bradyrhizobium	UniRef90_UPI000F51C63F
1	-	Bradyrhizobium_betae	UniRef90_A0A1C2DMZ1
1	-	Bradyrhizobium_betae	UniRef90_A0A1C2DP90
2	-	Bradyrhizobium_betae	UniRef90_UPI000AD21B53
2	-	Bradyrhizobium_erythrophlei	UniRef90_A0A257KUX3
1	-	Bradyrhizobium_erythrophlei	UniRef90_A0A3C0BVJ9
2	-	Bradyrhizobium_erythrophlei	UniRef90_W3RKH4
2	-	Bradyrhizobium_genosp._B	UniRef90_A0A512DHM3
1	-	Bradyrhizobium_guangzhouense	UniRef90_K8PIA8
1	-	Bradyrhizobium_icense	UniRef90_A0A431RUY9
2	-	Bradyrhizobium_lablabi	UniRef90_A0A1H7CSV6
1	-	Bradyrhizobium_lablabi	UniRef90_A0A1Y5TTQ6
1	-	Bradyrhizobium_lablabi	UniRef90_A0A2D6TUJ2
1	-	Bradyrhizobium_ottawaense	UniRef90_A0A176Z5Z9
2	-	Bradyrhizobium_sp._BTAi1	UniRef90_A0A257KRJ1
1	-	Bradyrhizobium_sp._CCBAU_51765	UniRef90_A0A520JKC3
1	-	Bradyrhizobium_sp._CCBAU_53351	UniRef90_A0A101VVA3
2	-	Bradyrhizobium_sp._ORS_278	UniRef90_UPI0008352EA7
1	-	Bradyrhizobium_sp._PSBB068	UniRef90_A0A0D1LRX0
2	-	Bradyrhizobium_sp._PSBB068	UniRef90_A0A120FH59
2	-	Bradyrhizobium_sp._PSBB068	UniRef90_A0A1E3ENX1
