LIBID	READ_PAIRS_ALIGNED	EXONIC_ALIGNMENTS	INTRONIC_ALIGNMENTS	INTERGENIC_ALIGNMENTS	OVERLAPPING_EXON_ALIGNMENTS	FIVE_PRIME_BIAS	THREE_PRIME_BIAS	FIVE_TO_THREE_PRIME_BIAS
MHS371	149413	65330	130814	58152	8498	0	0	NaN
MHS389	669708	383568	701550	72222	51331	0.38	0.26	2.02
MHS388	15311325	8231500	17140826	1455486	1176204	0.6	0.52	1.05
MHS413	8339	1190	6928	5874	345	0	0	NaN
MHS412	907624	409992	703170	266360	51178	0	0	NaN
MHS391	986950	37892	976514	838268	34863	0	0	NaN
MHS390	1509311	857298	1734384	126800	113071	0.55	0.59	0.89
MHS349	1230582	703422	1316546	149514	88964	0.57	0.47	1.34
MHS392	18284	2950	15546	14296	527	0	0	NaN
MHS341	2203735	801750	2547420	772830	122886	0	0	NaN
MHS381	1572061	1181340	1049768	341264	86476	0.07	0.05	13.91
MHS383	338937	152760	243172	210452	14218	0	0	NaN
MHS382	676711	270590	574608	341220	39025	0	0	NaN
MHS350	195542	8826	190030	167558	5992	0	0	NaN
MHS394	656146	482848	510768	134498	42005	0.17	0.19	2.95
MHS393	380621	383754	216026	51948	26547	0.34	0.29	2.21
MHS351	190469	46928	148194	121766	7463	0	0	NaN
MHS396	1053433	674460	917964	95166	69407	0.5	0.52	1.05
MHS598	60430	4230	55408	50834	1307	0	0	NaN
MHS380	443136	163542	337714	218894	18611	0	0	NaN
MHS379	111761	72308	84462	20302	6737	0	0	NaN
MHS378	107392	85334	69294	17626	6863	0.09	0	NaN
MHS339	468396	105082	411342	307214	16645	0	0	NaN
MHS338	475516	120046	394216	319942	18745	0	0	NaN
MHS355	3078983	1706378	3022314	337150	177562	0.44	0.32	1.81
MHS398	118168	25298	89674	80444	4218	0	0	NaN
MHS336	68614	17098	56200	50072	2590	0	0	NaN
MHS376	703670	423752	782926	92050	49398	0.21	0.21	3.57
MHS377	50597	15980	35058	28260	1938	0	0	NaN
MHS337	1496326	301302	1245868	1000274	49938	0	0	NaN
MHS357	1175448	259748	684070	304834	28833	0	0	NaN
MHS358	2927050	1730956	2537960	518128	178413	0	0	NaN
MHS411	112217	67684	116054	14140	8801	0.08	0.11	7.35
MHS344	2255971	82448	2176878	1923938	84772	0	0	NaN
MHS345	8542967	4553068	9292884	1462660	587200	0	0	NaN
MHS419	1005771	610476	1087216	88268	69729	0.23	0.3	2.2
MHS418	19470063	11793138	21111326	1664070	1402534	0.61	0.56	1.18
MHS423	182850	57268	144008	90684	7208	0	0	NaN
MHS422	1450092	337836	1306674	907854	56559	0.15	0.02	106.7
MHS421	1996662	1166652	1652728	184662	125182	0.49	0.45	1.42
MHS425	90766	30500	54402	49710	2884	0	0	NaN
MHS424	1235143	470624	793512	427816	49073	0	0	NaN
MHS334	8266435	3405970	7106826	1793240	457306	0	0	NaN
MHS374	28951042	15362340	34250522	2904212	2256139	0.62	0.55	1.12
MHS333	9047024	5599540	10114662	928674	705476	0.62	0.57	1.08
MHS375	945392	459822	573636	309996	37701	0	0	NaN
MHS335	2425517	398590	2189246	1812548	94096	0	0	NaN
MHS360	36031684	21961918	33565032	3165324	2184776	0.45	0.37	1.61
MHS427	1289602	727154	1052106	123700	69077	0	0	NaN
MHS426	1992955	1180126	1445574	153632	110620	0	0	NaN
MHS428	1691055	515616	784694	185712	55263	0.04	0	NaN
MHS361	6669997	2763074	5673968	2023374	295507	0	0	NaN
MHS408	74428	41858	49642	40558	3442	0	0	NaN
MHS384	154411	123142	104180	27014	9887	0.2	0.14	4.26
MHS407	742151	489330	779268	82564	55457	0.49	0.5	1.24
MHS409	6519	1348	5864	4784	281	0	0	NaN
MHS342	1184318	113712	1114234	972380	54042	0	0	NaN
MHS433	7684772	5277846	6587904	966252	511980	0.48	0.52	1.12
MHS432	236242	145310	127764	101598	8928	0	0	NaN
MHS434	43929	5348	30452	25640	911	0	0	NaN
MHS364	651338	328338	516800	177144	35964	0	0	NaN
MHS331	283356	180544	297654	30622	23588	0.44	0.39	1.66
MHS373	536414	378518	504362	56312	42604	0.49	0.4	1.47
MHS332	257246	79430	197082	162988	10637	0	0	NaN
MHS443	642754	504938	486766	80322	42582	0.13	0.15	5.47
MHS442	1251098	796220	1083192	136088	78276	0.13	0.22	2.84
MHS370	480519	83644	294562	226194	16478	0	0	NaN
MHS369	797406	302172	694554	311464	40287	0	0	NaN
MHS387	439811	164898	472714	174338	24542	0	0	NaN
MHS386	184402	108066	181878	24902	14304	0.11	0.06	17.96
MHS385	27847710	16409988	29573156	2664788	2162208	0.53	0.51	0.95
MHS410	19469	17488	9618	7842	848	0	0	NaN
MHS343	909259	334420	844678	412898	47431	0	0	NaN
MHS435	396572	223740	368698	51886	25431	0	0	NaN
MHS436	188349	18550	165810	148550	3777	0	0	NaN
MHS365	357799	46732	304430	273584	12482	0	0	NaN
MHS329	1599984	654136	1180600	707070	67264	0	0	NaN
MHS328	6370492	4130098	6528214	595152	495176	0.54	0.43	1.59
MHS406	1238757	789888	1179636	136316	86659	0.51	0.51	1.16
MHS372	27469	8172	21040	16064	1190	0	0	NaN
MHS330	1031195	205912	853136	662852	39609	0	0	NaN
MHS405	14676443	9110718	14989090	1644752	967739	0.52	0.5	1.24
MHS416	43537	13110	41274	22722	2267	0	0	NaN
MHS415	42353	27472	38970	6864	3134	0.08	0	NaN
MHS414	2121559	1273082	2329118	219388	163619	0.51	0.48	1.26
MHS347	1894203	83742	1803622	1654656	52662	0	0	NaN
MHS362	7532277	3616718	5472990	1121822	417856	0	0	NaN
MHS430	3222662	1971356	2887992	279704	204746	0.47	0.47	1.2
MHS429	187180	103420	87982	69928	7394	0	0	NaN
MHS363	1023440	183870	802326	582996	28917	0	0	NaN
MHS366	1359103	621534	876492	580132	49167	0	0	NaN
MHS438	158494	100480	139582	34544	10319	0	0	NaN
MHS437	341025	214146	224742	93658	18662	0	0	NaN
MHS441	49886132	24124690	61908684	4518240	3672835	0.57	0.57	0.97
MHS594	935045	835626	487416	113208	54530	0.03	0.11	6.6
MHS440	483337	304148	438174	73986	29867	0	0	NaN
MHS402	115992	5328	109214	93194	4238	0	0	NaN
MHS368	833252	500910	546588	245886	42835	0	0	NaN
MHS593	387756	297642	195086	75752	16933	0	0	NaN
MHS439	792385	647332	403950	126412	45733	0.02	0	NaN
MHS399	5738212	3006012	3181320	631292	288860	0	0	59.01
MHS367	445025	161874	291536	213650	16136	0	0	NaN
