feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG2868	mol_type	RNA	9.18471717700089	0.467889304832312	72	36	1.0119062374762e-29	5.65857967996694e-26
COG0050	mol_type	RNA	6.58244167348295	0.262097782168537	72	72	6.3084651139764e-28	1.7638468458678e-24
COG0539	mol_type	RNA	4.34523284899699	0.245722857337077	72	72	3.89729479370103e-27	7.26455749545871e-24
COG0222	mol_type	RNA	5.61326636924785	0.270936650899276	72	48	6.41091544947438e-26	8.96245979836518e-23
X30595	mol_type	RNA	10.5275905701534	0.486346282960653	72	36	8.08335480248345e-26	9.0404240110975e-23
COG0197	mol_type	RNA	5.55903537556858	0.270966217981187	72	70	1.3645720290374e-25	1.27178113106285e-22
COG0211	mol_type	RNA	5.46477833171054	0.266681512185145	72	42	2.15881171908098e-25	1.72458216187155e-22
COG1841	mol_type	RNA	5.78804640651138	0.361391024205808	72	36	9.05596340104671e-25	6.33011841733165e-22
COG0049	mol_type	RNA	5.43489033733628	0.271128168708503	72	71	1.47580863706206e-24	8.51414293578343e-22
COG0261	mol_type	RNA	5.74228095858865	0.283709258697624	72	52	1.52255774960362e-24	8.51414293578343e-22
COG0057	mol_type	RNA	5.06535645392459	0.333218110952618	72	72	1.46829717710319e-23	7.46428892214638e-21
COG0522	mol_type	RNA	4.02883621358399	0.221215610837156	72	72	2.66712873331249e-23	1.24288198972362e-20
COG0335	mol_type	RNA	4.80930855588703	0.264490726951625	72	66	9.89130785760145e-23	4.25478411843902e-20
COG0255	mol_type	RNA	6.03790952358341	0.319245378098329	72	41	1.49196954493681e-22	5.95935263949045e-20
COG0198	mol_type	RNA	5.28400998308542	0.295923785847914	72	53	1.94870848169218e-22	7.26478521974844e-20
COG0100	mol_type	RNA	4.71744231655177	0.27414245200831	72	66	2.47565244309092e-22	8.3434814443906e-20
COG0264	mol_type	RNA	4.36386761608192	0.238937525972413	72	72	2.68566999282959e-22	8.3434814443906e-20
COG0361	mol_type	RNA	5.98185758891849	0.338107584579307	72	51	2.63694292496383e-22	8.3434814443906e-20
COG0200	mol_type	RNA	5.421170846078	0.304693449741796	72	71	3.04851445422437e-22	8.97225938316984e-20
COG0094	mol_type	RNA	4.99986758657469	0.285519208503973	72	71	4.08066266298672e-22	1.1372408631648e-19
COG0185	mol_type	RNA	5.46431976085305	0.322897462022513	72	41	4.27075431446008e-22	1.1372408631648e-19
COG0828	mol_type	RNA	7.0257869811953	0.41412568339074	72	35	4.49585351406707e-22	1.14276422048468e-19
COG0199	mol_type	RNA	4.80477967292631	0.279644820692192	72	53	6.64307685047389e-22	1.61513416295e-19
COG0480	mol_type	RNA	4.49607058495722	0.267357004547033	72	72	8.62460922212202e-22	2.00953394875443e-19
COG0090	mol_type	RNA	4.25755370658402	0.252611665790593	72	72	1.03031667648187e-21	2.30461234195465e-19
COG1358	mol_type	RNA	6.16205324405757	0.440875065948407	72	45	1.13193755768045e-21	2.43453647021118e-19
COG0186	mol_type	RNA	4.94191924493628	0.293879655815761	72	48	1.22586228170496e-21	2.53889699233117e-19
COG0080	mol_type	RNA	4.62055674213754	0.282108460384394	72	69	1.63533143955133e-21	3.26599050356108e-19
COG2261	mol_type	RNA	5.90416958036009	0.346963267381994	72	43	2.43140030384549e-21	4.68841051693241e-19
COG0052	mol_type	RNA	4.18115713902615	0.265547661305999	72	72	4.34496804785026e-21	8.09902044119288e-19
COG4512	mol_type	RNA	9.78261779703005	0.584099626860007	72	39	4.71965086169451e-21	8.51364116728893e-19
COG0355	mol_type	RNA	5.07661607782351	0.318353181101794	72	56	5.75681865700706e-21	1.00600406031198e-18
COG0244	mol_type	RNA	5.15938565202052	0.304172826181295	72	71	6.21795352828475e-21	1.05366048879298e-18
COG0102	mol_type	RNA	3.8698212993711	0.230401326742834	72	71	6.54243052614944e-21	1.07603739712434e-18
COG1399	mol_type	RNA	4.25168782518922	0.256034453062487	72	64	7.01904452827517e-21	1.12144277148899e-18
COG0629	mol_type	RNA	3.91432271997249	0.251563298049604	72	72	8.28012843249124e-21	1.28617994984697e-18
COG0099	mol_type	RNA	4.93760034948652	0.296690959586486	72	70	8.6456584085776e-21	1.30666275191259e-18
COG0089	mol_type	RNA	4.61006964160495	0.291079991360239	72	51	1.38925382984484e-20	2.04439668855062e-18
COG0360	mol_type	RNA	4.78118881751343	0.306841417143663	72	54	1.86487925187166e-20	2.67394994268367e-18
COG0097	mol_type	RNA	4.96887724290593	0.320691955117857	72	69	1.98377045090291e-20	2.70566935645099e-18
COG0605	mol_type	RNA	5.35931217926543	0.322424142981613	72	69	1.966750592478e-20	2.70566935645099e-18
COG0093	mol_type	RNA	4.99950675080104	0.311748565432219	72	67	2.3588642870112e-20	3.1406593078492e-18
COG0087	mol_type	RNA	4.77166118366514	0.298186882412287	72	72	2.50619211128197e-20	3.25921541541599e-18
COG0048	mol_type	RNA	4.03234774343768	0.263140162710565	72	69	4.27800828607922e-20	5.4369596217625e-18
COG0227	mol_type	RNA	4.25306917535582	0.329889852590296	72	50	6.23073816967913e-20	7.74273063218793e-18
COG0291	mol_type	RNA	4.71527614984723	0.32035630525251	72	37	8.00981526187025e-20	9.73714933573444e-18
COG0092	mol_type	RNA	4.73239925305659	0.29459981584536	72	72	8.8409145572575e-20	1.0518807277486e-17
COG0081	mol_type	RNA	3.97929720962813	0.258976341202764	72	72	1.20168571284442e-19	1.39996385546375e-17
COG0693	mol_type	RNA	4.66896586328305	0.302711154526582	72	72	1.38407855929871e-19	1.57954434767315e-17
COG0450	mol_type	RNA	5.15117722458753	0.343101256370359	72	72	2.31269710743575e-19	2.58652044495614e-17
COG1764	mol_type	RNA	4.76004520889455	0.308105137236106	72	71	2.40396807284506e-19	2.63588028693129e-17
COG3599	mol_type	RNA	3.94333927106738	0.315789482741296	72	72	2.89348702132816e-19	3.11161142755136e-17
