virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAJ1|Virus	768	1248.317039890027	S	Domain of unknown function (DUF4355)	MHS583	virus_OG
4QAK6|Virus	1690	1637.950893532195	S	N-acetylmuramoyl-L-alanine amidase activity	MHS583	virus_OG
4QAKE|Virus	9	11.363636363636363	S	endonuclease activity	MHS583	virus_OG
4QAKZ|Virus	439	115.20103719696614	S	N-acetyltransferase activity	MHS583	virus_OG
4QAPV|Virus	350	451.5054306393006	S	DNA binding	MHS583	virus_OG
4QAR7|Virus	605	431.93382650073806	S	Phage portal protein, SPP1 Gp6-like	MHS583	virus_OG
4QARF|Virus	381	301.663791222956	S	Pfam:Terminase_3C	MHS583	virus_OG
4QATP|Virus	21	48.669272287362745	S	NA	MHS583	virus_OG
4QAU9|Virus	57	100.26019964857885	S	Single-strand binding protein family	MHS583	virus_OG
4QAVQ|Virus	457	824.9827967096452	S	Phage major tail protein 2	MHS583	virus_OG
4QAWG|Virus	1	3.8314176245210727	S	DnaB-like helicase C terminal domain	MHS583	virus_OG
4QAX8|Virus	126	153.60555861197707	S	calcium ion binding	MHS583	virus_OG
4QAZF|Virus	28	72.85635511441963	S	Protein of unknwon function (DUF3310)	MHS583	virus_OG
4QB1F|Virus	2	7.326007326007326	S	NA	MHS583	virus_OG
4QB1Z|Virus	6	21.978021978021978	S	NA	MHS583	virus_OG
4QB28|Virus	4	6.666666666666667	S	NA	MHS583	virus_OG
4QB6U|Virus	79	192.21411192214114	S	Terminase small subunit	MHS583	virus_OG
4QBA1|Virus	67	60.0358422939068	S	Putative transposase DNA-binding domain	MHS583	virus_OG
4QBCW|Virus	136	435.4246692274861	S	Phage gp6-like head-tail connector protein	MHS583	virus_OG
4QBDC|Virus	146	298.79913478033865	S	Pfam:Phage_holin_4_1	MHS583	virus_OG
4QBET|Virus	40	114.84334874165383	S	hydrolase activity, acting on ester bonds	MHS583	virus_OG
4QBFR|Virus	27	40.90909090909091	S	ERF superfamily	MHS583	virus_OG
4QBGM|Virus	4	8.547008547008547	S	deoxyribonucleoside 5'-monophosphate N-glycosidase activity	MHS583	virus_OG
4QBHS|Virus	68	72.64957264957265	S	DNA metabolic process	MHS583	virus_OG
4QBHW|Virus	480	778.4715513488451	S	NA	MHS583	virus_OG
4QBI8|Virus	18	42.71476032273374	S	Helix-turn-helix of insertion element transposase	MHS583	virus_OG
4QBSI|Virus	2600	1300.6836355047003	S	NA	MHS583	virus_OG
4QD4X|Virus	17	41.39784946236559	S	NA	MHS583	virus_OG
4QDF9|Virus	2	3.8535645472061657	S	Protein of unknown function (DUF1071)	MHS583	virus_OG
4QDU7|Virus	10	28.64326275830893	S	Staphylococcal nuclease homologue	MHS583	virus_OG
4QE0Y|Virus	68	111.11111111111111	S	Pfam:Gamma_PGA_hydro	MHS583	virus_OG
4QE6Q|Virus	4	7.1301247771836	S	NA	MHS583	virus_OG
4QE7B|Virus	390	201.85302024692808	S	metallocarboxypeptidase activity	MHS583	virus_OG
4QEIG|Virus	5	13.774104683195592	S	NA	MHS583	virus_OG
4QF1I|Virus	20	21.09704641350211	S	Pentapeptide repeats (8 copies)	MHS583	virus_OG
4QF38|Virus	24	25.974025974025974	S	RNA ligase (ATP) activity	MHS583	virus_OG
4QF8X|Virus	1	5.128205128205128	S	NA	MHS583	virus_OG
4QFB2|Virus	2	10.416666666666666	S	NA	MHS583	virus_OG
4QFF8|Virus	3	8.547008547008547	S	NA	MHS583	virus_OG
4QFIF|Virus	3	12.960999175209144	S	NA	MHS583	virus_OG
4QFMT|Virus	6	7.604562737642585	S	NA	MHS583	virus_OG
4QFRX|Virus	21	7.936507936507937	S	NA	MHS583	virus_OG
4QFVV|Virus	38	57.57575757575757	S	Pfam:HNHc_6	MHS583	virus_OG
4QFXF|Virus	12	32.78688524590164	L	Helix-turn-helix domain	MHS583	virus_OG
4QG2D|Virus	28	14.35897435897436	S	NA	MHS583	virus_OG
4QGWR|Virus	71	133.70998116760828	S	Phage terminase large subunit	MHS583	virus_OG
4QHAU|Virus	14	38.88888888888889	S	NA	MHS583	virus_OG
4QHN9|Virus	13	19.877675840978593	S	NA	MHS583	virus_OG
