virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAQE|Virus	44	38.90362511052166	S	Phage integrase family	MHS425	virus_OG
4QAQV|Virus	91	134.8148148148148	S	protein disulfide oxidoreductase activity	MHS425	virus_OG
4QARF|Virus	30	24.271844660194176	S	Pfam:Terminase_3C	MHS425	virus_OG
4QAVQ|Virus	2	6.734006734006734	S	Phage major tail protein 2	MHS425	virus_OG
4QAWG|Virus	6	23.66159262710987	S	DnaB-like helicase C terminal domain	MHS425	virus_OG
4QAX8|Virus	12	17.094017094017094	S	calcium ion binding	MHS425	virus_OG
4QAZF|Virus	28	65.27052363733762	S	Protein of unknwon function (DUF3310)	MHS425	virus_OG
4QB0C|Virus	8	17.316017316017316	S	Endodeoxyribonuclease RusA	MHS425	virus_OG
4QB0W|Virus	20	47.961630695443645	S	Protein of unknown function (DUF1064)	MHS425	virus_OG
4QBFR|Virus	12	18.6046511627907	S	ERF superfamily	MHS425	virus_OG
4QBIH|Virus	22	25.114155251141554	S	recombinase activity	MHS425	virus_OG
4QBSI|Virus	63	16.116653875671528	S	NA	MHS425	virus_OG
4QC76|Virus	2	7.092198581560284	S	guanosine tetraphosphate metabolic process	MHS425	virus_OG
4QD4X|Virus	49	121.88940092165899	S	NA	MHS425	virus_OG
4QE7B|Virus	70	46.531599472775945	S	metallocarboxypeptidase activity	MHS425	virus_OG
4QFB2|Virus	3	16.39344262295082	S	NA	MHS425	virus_OG
4QFIF|Virus	43	154.12186379928315	S	NA	MHS425	virus_OG
4QG3J|Virus	86	64.85671191553544	S	Domain of unknown function (DUF4041)	MHS425	virus_OG
4QGYH|Virus	108	409.09090909090907	S	NA	MHS425	virus_OG
