virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAK6|Virus	8472	6328.426118601785	S	N-acetylmuramoyl-L-alanine amidase activity	MHS415	virus_OG
4QAQV|Virus	3	11.566507417651497	S	protein disulfide oxidoreductase activity	MHS415	virus_OG
4QAR7|Virus	71	53.544494720965304	S	Phage portal protein, SPP1 Gp6-like	MHS415	virus_OG
4QBF8|Virus	4	14.9812734082397	S	Phage tail protein	MHS415	virus_OG
4QBV3|Virus	63	53.96266487815784	S	Phage Terminase	MHS415	virus_OG
4QC2G|Virus	10	17.271157167530227	S	Ribonucleotide reductase, small chain	MHS415	virus_OG
4QCCB|Virus	3	10.869565217391303	S	Pfam:Peptidase_M78	MHS415	virus_OG
4QDBK|Virus	20	59.36462210900139	S	NA	MHS415	virus_OG
4QDKP|Virus	4	9.416195856873824	S	transaminase activity	MHS415	virus_OG
4QDV8|Virus	102	216.22687173455344	S	NA	MHS415	virus_OG
4QE5Y|Virus	1130	256.58492279745684	K	Viral RNA-directed RNA-polymerase	MHS415	virus_OG
4QG3J|Virus	10	7.541478129713424	S	Domain of unknown function (DUF4041)	MHS415	virus_OG
