virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIU|Virus	34	57.85298159529892	S	HNH endonuclease	MHS377	virus_OG
4QAK6|Virus	1281	763.7909900051691	S	N-acetylmuramoyl-L-alanine amidase activity	MHS377	virus_OG
4QAKE|Virus	2	5.74712643678161	S	endonuclease activity	MHS377	virus_OG
4QAPV|Virus	104	148.26727515212136	S	DNA binding	MHS377	virus_OG
4QAQE|Virus	95	90.47619047619047	S	Phage integrase family	MHS377	virus_OG
4QAQV|Virus	43	76.95059244355019	S	protein disulfide oxidoreductase activity	MHS377	virus_OG
4QAR6|Virus	4	12.823970037453183	L	dUTP diphosphatase activity	MHS377	virus_OG
4QAR7|Virus	54	86.91315183495804	S	Phage portal protein, SPP1 Gp6-like	MHS377	virus_OG
4QARF|Virus	57	49.97974232234017	S	Pfam:Terminase_3C	MHS377	virus_OG
4QAU9|Virus	63	98.61158808811264	S	Single-strand binding protein family	MHS377	virus_OG
4QAWG|Virus	707	794.7967521670539	S	DnaB-like helicase C terminal domain	MHS377	virus_OG
4QAX8|Virus	246	351.94854931703725	S	calcium ion binding	MHS377	virus_OG
4QAYQ|Virus	24	18.779342723004696	S	Domain of unknown function (DUF2479)	MHS377	virus_OG
4QAZF|Virus	616	1346.410747541352	S	Protein of unknwon function (DUF3310)	MHS377	virus_OG
4QB0W|Virus	9	21.58273381294964	S	Protein of unknown function (DUF1064)	MHS377	virus_OG
4QB1F|Virus	2	7.326007326007326	S	NA	MHS377	virus_OG
4QB47|Virus	22	42.8849902534113	A	mRNA methyltransferase activity	MHS377	virus_OG
4QB6J|Virus	23	41.666666666666664	S	dCTP diphosphatase activity	MHS377	virus_OG
4QB7T|Virus	8	17.094017094017094	S	Uncharacterized protein conserved in bacteria (DUF2321)	MHS377	virus_OG
4QB93|Virus	1	3.5087719298245617	S	Rho termination factor, N-terminal domain	MHS377	virus_OG
4QBBN|Virus	11	21.825396825396826	S	Siphovirus Gp157	MHS377	virus_OG
4QBCR|Virus	11	20.37037037037037	S	DNA protection	MHS377	virus_OG
4QBCW|Virus	35	114.37656247399809	S	Phage gp6-like head-tail connector protein	MHS377	virus_OG
4QBFR|Virus	143	241.95203283314095	S	ERF superfamily	MHS377	virus_OG
4QBHW|Virus	173	318.96789046827433	S	NA	MHS377	virus_OG
4QBIH|Virus	258	195.5367782472105	S	recombinase activity	MHS377	virus_OG
4QBKB|Virus	34	123.02862892729908	S	NA	MHS377	virus_OG
4QBSI|Virus	2970	1781.0720198971494	S	NA	MHS377	virus_OG
4QBX7|Virus	333	1233.3333333333333	S	Pfam:Holin_SPP1	MHS377	virus_OG
4QC5Z|Virus	27	34.48275862068965	S	Phage Mu protein F like protein	MHS377	virus_OG
4QC76|Virus	13	25.999280975259012	S	guanosine tetraphosphate metabolic process	MHS377	virus_OG
4QCCB|Virus	79	168.26591667355999	S	Pfam:Peptidase_M78	MHS377	virus_OG
4QCCS|Virus	6	22.414849838017687	S	Bacteriophage holin	MHS377	virus_OG
4QCW9|Virus	301	87.78069407990668	S	NA	MHS377	virus_OG
4QD4X|Virus	881	2147.388632872504	S	NA	MHS377	virus_OG
4QD62|Virus	4	17.316017316017316	S	NA	MHS377	virus_OG
4QD8F|Virus	5	23.669467787114844	S	NA	MHS377	virus_OG
4QDBN|Virus	14	13.972055888223553	S	NA	MHS377	virus_OG
4QDU7|Virus	28	78.43137254901961	S	Staphylococcal nuclease homologue	MHS377	virus_OG
4QE5Y|Virus	81	18.392370572207085	K	Viral RNA-directed RNA-polymerase	MHS377	virus_OG
4QE7B|Virus	3712	2006.0952921511812	S	metallocarboxypeptidase activity	MHS377	virus_OG
4QE7J|Virus	28	44.44444444444444	S	NA	MHS377	virus_OG
4QFB2|Virus	2	10.416666666666666	S	NA	MHS377	virus_OG
4QFIF|Virus	386	1693.8649813214272	S	NA	MHS377	virus_OG
4QFWR|Virus	11	40.626856803327385	S	NA	MHS377	virus_OG
4QG3J|Virus	120	90.49773755656108	S	Domain of unknown function (DUF4041)	MHS377	virus_OG
4QGYH|Virus	3	12.048192771084338	S	NA	MHS377	virus_OG
