virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAK6|Virus	97	91.03498994761298	S	N-acetylmuramoyl-L-alanine amidase activity	MHS375	virus_OG
4QAQE|Virus	44	41.904761904761905	S	Phage integrase family	MHS375	virus_OG
4QAWJ|Virus	1	3.546099290780142	S	photosynthetic electron transport in photosystem II	MHS375	virus_OG
4QAZF|Virus	9	19.736842105263158	S	Protein of unknwon function (DUF3310)	MHS375	virus_OG
4QB47|Virus	501	933.6200755753083	A	mRNA methyltransferase activity	MHS375	virus_OG
4QBHW|Virus	135	231.95876288659795	S	NA	MHS375	virus_OG
4QBSG|Virus	45	76.53061224489797	L	Viral movement protein (MP)	MHS375	virus_OG
4QD62|Virus	6	26.31578947368421	S	NA	MHS375	virus_OG
4QF2N|Virus	12	55.55555555555556	S	NA	MHS375	virus_OG
4QFIF|Virus	18	64.51612903225806	S	NA	MHS375	virus_OG
