PSM_delta	NF033392.1	DP_00932151	-	0.0024	6.0	7.9	0.00037	8.6	2.0	2.6	2	0	0	2	2	2	1	NCBIFAM: PSM-delta family phenol-soluble modulin
PSM_alpha_1_2	NF033425.2	MET_01539255	-	0.011	3.7	9.3	0.0024	5.9	4.4	2.3	2	0	0	2	2	2	0	NCBIFAM: alpha-1/alpha-2 family phenol-soluble modulin
PSM_delta	NF033392.1	MET_01552267	-	0.00036	8.6	4.8	0.00013	10.0	1.1	2.2	2	0	0	2	2	2	1	NCBIFAM: PSM-delta family phenol-soluble modulin
PSM_alpha_1_2	NF033425.2	MET_02103063	-	0.0068	4.4	9.3	0.0017	6.4	4.4	2.2	2	0	0	2	2	2	1	NCBIFAM: alpha-1/alpha-2 family phenol-soluble modulin
PSM_alpha_1_2	NF033425.2	MET_02221326	-	0.0057	4.6	9.3	0.0015	6.5	4.4	2.3	2	0	0	2	2	2	1	NCBIFAM: alpha-1/alpha-2 family phenol-soluble modulin
PSM_delta	NF033392.1	MET_02630184	-	4	-4.7	18.4	0.029	2.6	2.3	2.8	3	0	0	3	3	3	0	NCBIFAM: PSM-delta family phenol-soluble modulin
Delta_lysin	PF05372.13	MET_02625957	-	1.6e-05	12.4	0.1	0.0004	7.9	0.0	2.3	2	0	0	2	2	2	2	Delta lysin family
PSM_delta	NF033392.1	DP_00001300	-	4	-51.7	77.8	0.015	3.5	0.5	7.8	6	2	1	7	7	7	0	NCBIFAM: PSM-delta family phenol-soluble modulin
PSM_delta	NF033392.1	MET_01564785	-	5.6e-05	11.2	2.0	0.00021	9.3	2.0	2.0	1	0	0	1	1	1	1	NCBIFAM: PSM-delta family phenol-soluble modulin
PSM_delta	NF033392.1	MET_02636098	-	2.1e-05	12.5	0.3	3.3e-05	11.9	0.3	1.4	1	0	0	1	1	1	1	NCBIFAM: PSM-delta family phenol-soluble modulin
PSM_epsilo	NF033428.5	genome_07259151	-	1.9e-17	50.9	10.2	4e-17	49.9	10.2	1.6	1	0	0	1	1	1	1	NCBIFAM: epsilon family phenol-soluble modulin
