pangene	length	percent_cov	unpaired_read_count
Achromobacter_xylosoxidans_cluster_406_EFV84988.1	360	71.1111	13
Achromobacter_xylosoxidans_cluster_5656_CCH04935.1	471	63.6943	6
C_tuberculostearicum|CP065972.1_cds_QQA98168.1_1138	348	60.6322	12
C_tuberculostearicum|CP065972.1_cds_QQA98187.1_1157	399	56.3910	12
C_tuberculostearicum|CP065972.1_cds_QQA98193.1_1163	507	74.7535	28
C_tuberculostearicum|CP065972.1_cds_QQA98206.1_1178	306	82.0261	13
C_tuberculostearicum|CP065972.1_cds_QQA98225.1_1202	516	54.4574	20
C_tuberculostearicum|CP065972.1_cds_QQA98294.1_1277	1176	60.2891	77
C_tuberculostearicum|CP065972.1_cds_QQA98310.1_1294	435	88.5057	34
C_tuberculostearicum|CP065972.1_cds_QQA98311.1_1295	399	78.9474	27
C_tuberculostearicum|CP065972.1_cds_QQA98325.1_1311	1623	63.8940	33
C_tuberculostearicum|CP065972.1_cds_QQA98326.1_1312	1221	81.1630	71
C_tuberculostearicum|CP065972.1_cds_QQA98328.1_1314	585	66.6667	6
C_tuberculostearicum|CP065972.1_cds_QQA98330.1_1316	1074	60.3352	60
C_tuberculostearicum|CP065972.1_cds_QQA98358.1_1345	219	82.6484	2
C_tuberculostearicum|CP065972.1_cds_QQA98379.1_1367	414	72.2222	17
C_tuberculostearicum|CP065972.1_cds_QQA98439.1_1434	510	58.8235	5
C_tuberculostearicum|CP065972.1_cds_QQA98491.1_1486	264	79.1667	20
C_tuberculostearicum|CP065972.1_cds_QQA98513.1_1509	279	82.0789	25
C_tuberculostearicum|CP065972.1_cds_QQA98514.1_1510	306	95.4248	39
C_tuberculostearicum|CP065972.1_cds_QQA98527.1_1524	255	89.4118	9
C_tuberculostearicum|CP065972.1_cds_QQA98537.1_1536	1359	53.8631	62
C_tuberculostearicum|CP065972.1_cds_QQA98559.1_1558	417	69.0647	6
C_tuberculostearicum|CP065972.1_cds_QQA98573.1_1572	279	53.7634	6
C_tuberculostearicum|CP065972.1_cds_QQA98582.1_1581	870	78.5057	76
C_tuberculostearicum|CP065972.1_cds_QQA98583.1_1582	252	59.5238	6
C_tuberculostearicum|CP065972.1_cds_QQA98584.1_1583	2088	50.1916	118
C_tuberculostearicum|CP065972.1_cds_QQA98586.1_1586	432	85.6481	19
C_tuberculostearicum|CP065972.1_cds_QQA98599.1_1600	1695	56.2832	81
C_tuberculostearicum|CP065972.1_cds_QQA98633.1_1635	1104	75.6341	102
C_tuberculostearicum|CP065972.1_cds_QQA98663.1_1668	705	65.8156	48
C_tuberculostearicum|CP065972.1_cds_QQA98690.1_1695	171	87.7193	7
C_tuberculostearicum|CP065972.1_cds_QQA98761.1_1768	1035	75.0725	31
C_tuberculostearicum|CP065972.1_cds_QQA98776.1_1784	1851	60.0756	65
C_tuberculostearicum|CP065972.1_cds_QQA98816.1_1832	1824	53.8377	60
C_tuberculostearicum|CP065972.1_cds_QQA98828.1_1844	1401	51.3205	7
C_tuberculostearicum|CP065972.1_cds_QQA98829.1_1846	1014	54.9310	16
C_tuberculostearicum|CP065972.1_cds_QQA98832.1_1849	516	58.1395	11
C_tuberculostearicum|CP065972.1_cds_QQA98835.1_1852	588	51.0204	2
C_tuberculostearicum|CP065972.1_cds_QQA98847.1_1866	738	58.6721	32
C_tuberculostearicum|CP065972.1_cds_QQA98850.1_1869	1257	60.8592	37
