PAG	DNF11_0001	Pregnancy-associated glycoprotein
	DNF11_0002	hypothetical protein
TSC10	DNF11_0003	3-ketodihydrosphingosine reductase
prz1	DNF11_0004	Transcriptional regulator
ALA1	DNF11_0005	Alanine--tRNA ligase
PIGA	DNF11_0006	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A
DPB2	DNF11_0007	DNA polymerase epsilon subunit B
	DNF11_0008	hypothetical protein
fol1	DNF11_0009	Dihydropteroate synthase
TMS1	DNF11_0010	Membrane protein TMS1
	DNF11_0011	uncharacterized protein
Tmbim4	DNF11_0012	Protein lifeguard 4
DnaJ	DNF11_0013	chaperone protein DnaJ
	DNF11_0014	hypothetical protein
	DNF11_0015	hypothetical protein
	DNF11_0016	uncharacterized protein
GCN5	DNF11_0017	Histone acetyltransferase GCN5
	DNF11_0018	hypothetical protein
EBPL	DNF11_0019	Emopamil-binding protein-like protein
PGTA	DNF11_0020	Geranylgeranyl transferase type-2 subunit alpha
fft2	DNF11_0021	ATP-dependent helicase fft2
	DNF11_0022	uncharacterized protein
	DNF11_0023	Microsomal signal peptidase 25 kDa subunit (SPC25)
	DNF11_0024	uncharacterized protein
ZNHIT6	DNF11_0025	Box C/D snoRNA protein 1
tif212	DNF11_0026	putative eukaryotic translation initiation factor 2 subunit beta
atp3	DNF11_0027	ATP synthase subunit gamma, mitochondrial
irs1	DNF11_0028	Isoleucine--tRNA ligase, cytoplasmic
Zmat2	DNF11_0029	Zinc finger matrin-type protein 2
	DNF11_0030	hypothetical protein
CPA1	DNF11_0031	Carbamoyl-phosphate synthase arginine-specific small chain
CASP	DNF11_0032	Protein CASP
rhp23	DNF11_0033	UV excision repair protein rhp23
dfr1	DNF11_0034	Dihydrofolate reductase
EFR3	DNF11_0035	Protein EFR3
GPR89B	DNF11_0036	Golgi pH regulator B
OSBP	DNF11_0037	Oxysterol-binding protein 1
	DNF11_0038	NADH-ubiquinone oxidoreductase 21.3 kDa subunit
SPC3	DNF11_0039	Signal peptidase complex subunit SPC3
	DNF11_0040	hypothetical protein
FMP21	DNF11_0041	Protein FMP21, mitochondrial
nek2	DNF11_0042	putative serine/threonine-protein kinase nek2
Tbc1d10b	DNF11_0043	TBC1 domain family member 10B
	DNF11_0044	putative WD repeat-containing protein
RRD2	DNF11_0045	Serine/threonine-protein phosphatase 2A activator 2
	DNF11_0046	hypothetical protein
RRP45	DNF11_0047	Exosome complex component RRP45
CCNH	DNF11_0048	Cyclin-H
	DNF11_0049	hypothetical protein
MLH1	DNF11_0050	DNA mismatch repair protein Mlh1
yip1	DNF11_0051	Protein transport protein yip1
NSA2	DNF11_0052	Ribosome biogenesis protein NSA2
swi10	DNF11_0053	Mating-type switching protein swi10
CPR	DNF11_0054	NADPH--cytochrome P450 reductase
RNASEH1	DNF11_0055	Ribonuclease H1
him1	DNF11_0056	Hsk1-interacting molecule 1
EIF3C	DNF11_0057	Eukaryotic translation initiation factor 3 subunit C
ATP5	DNF11_0058	ATP synthase subunit 5, mitochondrial
GWT1	DNF11_0059	GPI-anchored wall transfer protein 1
ATP11	DNF11_0060	Protein ATP11, mitochondrial
	DNF11_0061	hypothetical protein
WIN2	DNF11_0062	putative protein phosphatase 2C 59
rrn11	DNF11_0063	RNA polymerase I-specific transcription initiation factor rrn11
LSB6	DNF11_0064	Phosphatidylinositol 4-kinase LSB6
	DNF11_0065	pentatricopeptide repeat domain protein
	DNF11_0066	hypothetical protein
	DNF11_0067	uncharacterized protein
RAB2A	DNF11_0068	Ras-related protein Rab-2A
	DNF11_0069	Splicing factor U2AF 23 kDa subunit
ADA2	DNF11_0070	Transcriptional adapter 2
PUR4	DNF11_0071	putative phosphoribosylformylglycinamidine synthase
CWC24	DNF11_0072	Pre-mRNA-splicing factor CWC24
LCL3	DNF11_0073	putative endonuclease LCL3
krs1	DNF11_0074	Lysine--tRNA ligase, cytoplasmic
	DNF11_0075	hypothetical protein
	DNF11_0076	hypothetical protein
	DNF11_0077	hypothetical protein
BRX1	DNF11_0078	Ribosome biogenesis protein BRX1
CBP4	DNF11_0079	Assembly factor CBP4
rps23a	DNF11_0080	40S ribosomal protein S23
rpl27a	DNF11_0081	60S ribosomal protein L27-A
mvd1	DNF11_0082	Diphosphomevalonate decarboxylase
	DNF11_0083	hypothetical protein
EMP70	DNF11_0084	Protein p24a
qrs1	DNF11_0085	putative glutamine--tRNA ligase
	DNF11_0086	Hamartin protein
pdp1b	DNF11_0087	PWWP domain-containing protein 1
toa1	DNF11_0088	Transcription initiation factor IIA large subunit
DPL1	DNF11_0089	Sphingosine-1-phosphate lyase
BRE1	DNF11_0090	E3 ubiquitin-protein ligase BRE1
	DNF11_0091	hypothetical protein
rpb10	DNF11_0092	DNA-directed RNA polymerases I, II, and III subunit RPABC5
sec-61	DNF11_0093	Protein transport protein SEC61 subunit alpha
	DNF11_0094	Ornithine decarboxylase antizyme
ABCD2_1	DNF11_0095	ATP-binding cassette sub-family D member 2
atp-16	DNF11_0096	ATP synthase subunit delta, mitochondrial
atg6	DNF11_0097	Vacuolar protein sorting-associated protein atg6
tim17	DNF11_0098	Mitochondrial import inner membrane translocase subunit tim17
	DNF11_0099	Regulator of chromosome condensation (RCC1) repeat
tyrS	DNF11_0100	Tyrosine--tRNA ligase
	DNF11_0101	putative HIT-like protein
	DNF11_0102	hypothetical protein
	DNF11_0103	hypothetical protein
	DNF11_0104	MRC1-like domain protein
dph2	DNF11_0105	Diphthamide biosynthesis protein 2
Sacs	DNF11_0106	Sacsin
Pex5l	DNF11_0107	PEX5-related protein
	DNF11_0108	uncharacterized protein
	DNF11_0109	uncharacterized protein
SPS19	DNF11_0110	Peroxisomal 2,4-dienoyl-CoA reductase SPS19
ku70	DNF11_0111	ATP-dependent DNA helicase II subunit 1
	DNF11_0112	uncharacterized protein
MET3	DNF11_0113	Sulfate adenylyltransferase
