LIBID	BEFORE_FASTP	AFTER_FASTP	DUP_RATE	AFT_HUMAN_RM	AFT_RIBO_RM	AFT_DEDUP	BT2_READS_START	PANGENE_ALIGN_RATE	K2_UNCLASSIFIED	K2_CLASSIFIED	MICROBE_COUNT
MHS328	30086435	29689755	0.696547	23293735	17252029	2255020	2255020	70.20	203745	2051275	2022346
MHS329	35097850	34543294	0.709055	32924017	30558061	3670390	3670390	60.73	828344	2842046	2824108
MHS330	20220973	19804690	0.683546	18698148	15593931	1931980	1931980	38.19	808603	1123377	1108877
MHS331	19027466	18830309	0.517618	18539519	12201410	5178105	5178105	85.05	90708	5087397	5083486
MHS332	45723192	45085580	0.714772	44809181	40295464	4974537	4974537	79.70	291385	4683152	4679004
MHS333	24899773	24668731	0.543215	15595840	12724169	3890711	3890711	76.98	288290	3602421	3549978
MHS334	83714045	82686880	0.730735	73612768	42776345	5018335	5018335	16.21	3762624	1255711	1203964
MHS335	41259953	40388934	0.696847	37912843	34285815	4268033	4268033	38.45	1560072	2707961	2679749
MHS336	27702836	27406754	0.636902	27333584	26879436	5375863	5375863	77.98	537837	4838026	4834363
MHS337	39180793	38534778	0.712483	36912956	31851148	3561987	3561987	43.38	1480595	2081392	2057199
MHS338	24431566	24006125	0.691607	23515738	13862484	1858719	1858719	39.01	667823	1190896	1182391
MHS372	37653160	37439415	0.651238	37411124	36696082	8036248	8036248	86.97	120278	7915970	7914564
MHS373	29707001	29464475	0.618208	28923492	25463412	6221322	6221322	72.09	532219	5689103	5683599
MHS374	40323863	39836794	0.691229	10785813	7044686	1057120	1057120	48.79	345722	711398	582425
MHS375	43289263	42741201	0.73998	41742486	30137957	3013152	3013152	35.78	962009	2051143	2041480
MHS376	32602174	32281541	0.684033	31568249	28351662	4437576	4437576	77.96	358842	4078734	4071711
MHS377	33825255	33613194	0.647273	33559964	32321157	7204240	7204240	84.54	202250	7001990	6999291
MHS378	27583354	27379965	0.561175	27270300	21013471	7021387	7021387	74.12	530491	6490896	6485610
MHS379	62423264	61961969	0.68553	61846706	33943564	7712284	7712284	80.45	182905	7529379	7525307
MHS380	53377837	52781239	0.720547	52289394	45965394	5250471	5250471	67.41	580351	4670120	4663725
MHS406	27178113	26920792	0.627593	25657487	20416774	4704245	4704245	75.12	550127	4154118	4136354
Neg012	8542499	5763541	0.334224	4826849	4282105	1232717	1232717	23.95	398393	834324	817905
Neg013	12392933	7229524	0.319114	5209490	4878528	1258976	1258976	13.44	423704	835272	806205
Neg014	8338324	4685061	0.288009	4146216	3719137	1118863	1118863	18.78	331676	787187	776151
SMT028_T1_Ac	11730826	7886394	0.343585	6098955	5618789	1413961	1413961	12.10	410605	1003356	969441
SMT028_T1_Ch	21108633	19864582	0.68886	18836726	11291089	1766227	1766227	60.49	153615	1612612	1604055
SMT028_T1_Sc	20986069	11024801	0.308859	10521460	7269868	2459310	2459310	12.75	970927	1488383	1464734
SMT028_T1_Tw	14679591	13157205	0.568866	13060795	12615335	2908816	2908816	61.63	164423	2744393	2739758
SMT028_T1_Vf	14590388	7871537	0.3068	7180004	5910453	1692863	1692863	15.44	449230	1243633	1227826
SMT028_T2_Ch	31944997	20254802	0.32293	18443243	12214108	3743703	3743703	14.53	349307	3394396	3349821
SMT028_T2_Sc	14547509	11592649	0.521792	11184835	6648787	1505502	1505502	20.36	298456	1207046	1193780
SMT028_T2_Tw	8880444	5640394	0.313016	5240767	4564920	1283799	1283799	7.17	362668	921131	910785
SMT028_T2_Vf	11107421	6238227	0.292069	5800625	3798918	1587935	1587935	6.21	338859	1249076	1232471
