MHS340	neg-ctrl	RNA	
MHS348	neg-ctrl	RNA	
MHS420	neg-ctrl	RNA	
MHS431	neg-ctrl	RNA	
MHS602	neg-ctrl	RNA	
MHS470	neg-ctrl	DNA	
MHS524	neg-ctrl	DNA	
MHS552	neg-ctrl	DNA	
MHS566	neg-ctrl	DNA	
MHS581	neg-ctrl	DNA	
			
Contaminant genera			Contaminant species
Acidovorax			Achromobacter_deleyi
Diaphorobacter			Achromobacter_denitrificans
Polynucleobacter			Achromobacter_sp._AONIH1
Massilia			Achromobacter_spanius
Methylorubrum			Achromobacter_xylosoxidans
Mesorhizobium			Actinoplanes_sp._N902-109
Bradyrhizobium			Bradyrhizobium_sp._PSBB068
Sphingopyxis			Brevundimonas_diminuta
Brevundimonas			Brevundimonas_goettingensis
Caulobacter			Brevundimonas_mediterranea
Microbacterium			Brevundimonas_naejangsanensis
Mycolicibacterium			Brevundimonas_nasdae
Streptomyces			Brevundimonas_pondensis
Rhodopseudomonas			Brevundimonas_sp._'scallop'
Bosea			Brevundimonas_sp._AJA228-03
Rickettsia			Brevundimonas_sp._Bb-A
Hymenobacter			Brevundimonas_sp._CS1
Achromobacter			Brevundimonas_sp._DS20
Bordetella			Brevundimonas_sp._GRTSA-9
Rhodoferax			Brevundimonas_sp._GW460-12-10-14-LB2
Hydrogenophaga			Brevundimonas_sp._LM2
Paraburkholderia			Brevundimonas_sp._M20
Shinella			Brevundimonas_sp._MF30-B
Sinorhizobium			Janibacter_indicus
Egicoccus			Janibacter_limosus
Brucella			Massilia_oculi
Janibacter			Methylobacterium_sp._AMS5
Elizabethkingia			Methylobacterium_sp._DM1
Yarrowia			Methylorubrum_extorquens
Citrobacter			Mycobacterium_frederiksbergense
Homo			Mycobacterium_kansasii
Listeria			Mycobacterium_sp._MS1601
Plesiomonas			Mycolicibacterium_arabiense
Vibrio			Mycolicibacterium_aubagnense
			Mycolicibacterium_aurum
			Mycolicibacterium_austroafricanum
			Mycolicibacterium_celeriflavum
			Mycolicibacterium_chitae
			Mycolicibacterium_chubuense
			Mycolicibacterium_confluentis
			Mycolicibacterium_duvalii
			Mycolicibacterium_fluoranthenivorans
			Mycolicibacterium_gilvum
			Mycolicibacterium_litorale
			Mycolicibacterium_madagascariense
			Mycolicibacterium_monacense
			Mycolicibacterium_mucogenicum
			Mycolicibacterium_parafortuitum
			Mycolicibacterium_poriferae
			Mycolicibacterium_pulveris
			Mycolicibacterium_rutilum
			Mycolicibacterium_sediminis
			Streptomyces_lividans
			Edwardsiella_piscicida
			Escherichia_coli
			Listeria_monocytogenes
			Listeria_phage_A500
			Plesiomonas_shigelloides
			Pseudomonas_rhizosphaerae
			Vibrio_alfacsensis
			Vibrio_alginolyticus
			Vibrio_anguillarum
			Vibrio_campbellii
			Vibrio_cholerae
			Vibrio_fluvialis
			Vibrio_harveyi
			Vibrio_jasicida
			Vibrio_natriegens
			Vibrio_navarrensis
			Vibrio_owensii
			Vibrio_parahaemolyticus
			Vibrio_sp._B1ASS3
			Vibrio_sp._dhg
			Vibrio_tubiashii
			Vibrio_vulnificus
			Streptomyces_tsukubensis
			Brevundimonas_vancanneytii
			Brevundimonas_subvibrioides
			Brevundimonas_sp._PAMC22021
			Brevundimonas_vesicularis
			Brevundimonas_sp._SGAir0440
			Janibacter_sp._YB324
			Janibacter_melonis
			Massilia_sp._NP310
			Methylorubrum_populi
			Mycolicibacterium_thermoresistibile
			Mycolicibacterium_sp._LJ126
			Mycolicibacterium_phocaicum
			Mycolicibacterium_moriokaense
			Mycolicibacterium_vaccae
			Mycolicibacterium_neoaurum
			Mycolicibacterium_psychrotolerans
			Mycolicibacterium_tokaiense
			Mycolicibacterium_smegmatis
			Mycolicibacterium_sp._Z-34
			Xanthomonas_euvesicatoria
			Agrobacterium_deltaense
			Bacillus_mycoides
			Comamonas_testosteroni
			Cupriavidus_taiwanensis
			Delftia_acidovorans
			Delftia_lacustris
			Delftia_sp._HK171
			Delftia_tsuruhatensis
			Enterococcus_faecium
			Klebsiella_grimontii
			Klebsiella_pneumoniae
			Physalis_rugose_mosaic_virus
			Polynucleobacter_necessarius
			Salmonella_enterica
			Mesorhizobium_sp._Pch-S
			Homo_sapiens
