LIBID	subj_region	subject	region	mol_type	UMI	low_conc	comments
MHS328	SMT021_Ch	SMT021	Ch	RNA	FALSE	TRUE	
MHS329	SMT021_Ac	SMT021	Ac	RNA	FALSE	TRUE	
MHS330	SMT021_Vf	SMT021	Vf	RNA	FALSE	TRUE	
MHS331	SMT017_Ch	SMT017	Ch	RNA	FALSE	TRUE	
MHS332	SMT017_Tw	SMT017	Tw	RNA	FALSE	TRUE	
MHS333	SMT013_Sc	SMT013	Sc	RNA	FALSE	TRUE	
MHS334	SMT013_Ac	SMT013	Ac	RNA	FALSE	TRUE	
MHS335	SMT013_Vf	SMT013	Vf	RNA	FALSE	TRUE	
MHS336	SMT008_Ac	SMT008	Ac	RNA	FALSE	TRUE	
MHS337	SMT008_Vf	SMT008	Vf	RNA	FALSE	TRUE	
MHS338	SMT006_Vf	SMT006	Vf	RNA	FALSE	TRUE	
MHS339	SMT006_Tw	SMT006	Tw	RNA	FALSE	TRUE	
MHS340	Neg001	Neg001	neg-ctrl	RNA	FALSE	TRUE	
MHS341	SMT003_Ac	SMT003	Ac	RNA	FALSE	TRUE	
MHS342	SMT015_Vf	SMT015	Vf	RNA	FALSE	TRUE	
MHS343	SMT019_Vf	SMT019	Vf	RNA	FALSE	TRUE	
MHS344	SMT010_Sc	SMT010	Sc	RNA	FALSE	TRUE	
MHS345	SMT010_Vf	SMT010	Vf	RNA	FALSE	TRUE	
MHS346	SMT010_Tw	SMT010	Tw	RNA	FALSE	TRUE	
MHS347	SMT023_Tw	SMT023	Tw	RNA	FALSE	TRUE	
MHS348	Neg002	Neg002	neg-ctrl	RNA	TRUE	TRUE	
MHS349	SMT002_Sc	SMT002	Sc	RNA	FALSE	TRUE	
MHS350	SMT004_Ac	SMT004	Ac	RNA	FALSE	TRUE	
MHS351	SMT004_Vf	SMT004	Vf	RNA	FALSE	TRUE	
MHS352	SMT004_Tw	SMT004	Tw	RNA	FALSE	TRUE	
MHS353	SMT005_Vf	SMT005	Vf	RNA	FALSE	TRUE	
MHS354	SMT007_Ch	SMT007	Ch	RNA	TRUE	TRUE	
MHS355	SMT007_Ac	SMT007	Ac	RNA	TRUE	TRUE	
MHS356	SMT007_Tw	SMT007	Tw	RNA	TRUE	TRUE	
MHS357	SMT009_Sc	SMT009	Sc	RNA	TRUE	TRUE	
MHS358	SMT009_Tw	SMT009	Tw	RNA	TRUE	TRUE	
MHS359	SMT011_Tw	SMT011	Tw	RNA	TRUE	TRUE	
MHS360	SMT014_Ac	SMT014	Ac	RNA	TRUE	TRUE	
MHS361	SMT014_Vf	SMT014	Vf	RNA	TRUE	TRUE	
MHS362	SMT024_Ac	SMT024	Ac	RNA	TRUE	TRUE	
MHS363	SMT024_Vf	SMT024	Vf	RNA	TRUE	TRUE	
MHS364	SMT016_Vf	SMT016	Vf	RNA	TRUE	TRUE	
MHS365	SMT020_Vf	SMT020	Vf	RNA	TRUE	TRUE	
MHS366	SMT025_Ac	SMT025	Ac	RNA	TRUE	TRUE	
MHS367	SMT027_Vf	SMT027	Vf	RNA	TRUE	TRUE	
MHS368	SMT026_Vf	SMT026	Vf	RNA	TRUE	TRUE	
MHS369	SMT018_Vf	SMT018	Vf	RNA	TRUE	TRUE	
MHS370	SMT018_Tw	SMT018	Tw	RNA	TRUE	TRUE	
MHS371	SMT001_Ac	SMT001	Ac	RNA	TRUE	TRUE	
MHS372	SMT021_Tw	SMT021	Tw	RNA	FALSE	TRUE	
MHS373	SMT017_Sc	SMT017	Sc	RNA	FALSE	TRUE	
MHS374	SMT013_Ch	SMT013	Ch	RNA	FALSE	TRUE	
MHS375	SMT013_Tw	SMT013	Tw	RNA	FALSE	TRUE	
MHS376	SMT008_Sc	SMT008	Sc	RNA	FALSE	TRUE	
MHS377	SMT008_Tw	SMT008	Tw	RNA	FALSE	TRUE	
MHS378	SMT006_Sc	SMT006	Sc	RNA	FALSE	TRUE	
MHS379	SMT006_Ch	SMT006	Ch	RNA	FALSE	TRUE	
MHS380	SMT006_Ac	SMT006	Ac	RNA	FALSE	TRUE	
MHS381	SMT003_Sc	SMT003	Sc	RNA	FALSE	TRUE	
MHS382	SMT003_Vf	SMT003	Vf	RNA	FALSE	TRUE	
MHS383	SMT003_Tw	SMT003	Tw	RNA	FALSE	TRUE	
MHS384	SMT015_Ch	SMT015	Ch	RNA	FALSE	TRUE	
MHS385	SMT019_Sc	SMT019	Sc	RNA	FALSE	TRUE	
MHS386	SMT019_Ch	SMT019	Ch	RNA	FALSE	TRUE	
MHS387	SMT019_Ac	SMT019	Ac	RNA	FALSE	TRUE	
MHS388	SMT001_Sc	SMT001	Sc	RNA	FALSE	TRUE	
MHS389	SMT001_Ch	SMT001	Ch	RNA	FALSE	TRUE	
MHS390	SMT002_Ch	SMT002	Ch	RNA	FALSE	TRUE	
MHS391	SMT002_Ac	SMT002	Ac	RNA	FALSE	TRUE	
MHS392	SMT002_Tw	SMT002	Tw	RNA	FALSE	TRUE	
MHS393	SMT004_Sc	SMT004	Sc	RNA	FALSE	TRUE	
MHS394	SMT004_Ch	SMT004	Ch	RNA	FALSE	TRUE	
MHS396	SMT005_Ch	SMT005	Ch	RNA	FALSE	TRUE	
MHS397	SMT005_Tw	SMT005	Tw	RNA	FALSE	TRUE	
MHS398	SMT007_Sc	SMT007	Sc	RNA	TRUE	TRUE	
MHS399	SMT027_Sc	SMT027	Sc	RNA	TRUE	TRUE	
MHS402	SMT026_Tw	SMT026	Tw	RNA	TRUE	TRUE	
MHS403	SMT018_Ac	SMT018	Ac	RNA	TRUE	TRUE	
MHS404	SMT022_Sc	SMT022	Sc	RNA	TRUE	TRUE	
MHS405	SMT022_Ch	SMT022	Ch	RNA	TRUE	TRUE	
MHS406	SMT021_Sc	SMT021	Sc	RNA	FALSE	FALSE	
MHS407	SMT015_Sc	SMT015	Sc	RNA	FALSE	FALSE	
MHS408	SMT015_Ac	SMT015	Ac	RNA	FALSE	FALSE	
MHS409	SMT015_Tw	SMT015	Tw	RNA	FALSE	FALSE	
MHS410	SMT019_Tw	SMT019	Tw	RNA	TRUE	FALSE	
MHS411	SMT010_Ch	SMT010	Ch	RNA	FALSE	FALSE	
MHS412	SMT001_Vf	SMT001	Vf	RNA	TRUE	FALSE	
MHS413	SMT001_Tw	SMT001	Tw	RNA	TRUE	FALSE	
MHS414	SMT023_Sc	SMT023	Sc	RNA	TRUE	FALSE	
MHS415	SMT023_Ch	SMT023	Ch	RNA	FALSE	FALSE	
MHS416	SMT023_Ac	SMT023	Ac	RNA	FALSE	FALSE	
MHS417	SMT011_Sc	SMT011	Sc	RNA	TRUE	FALSE	
MHS418	SMT011_Ch	SMT011	Ch	RNA	TRUE	FALSE	
MHS419	SMT011_Ac	SMT011	Ac	RNA	TRUE	TRUE	
MHS420	Neg003	Neg003	neg-ctrl	RNA	TRUE	TRUE	
MHS421	SMT012_Sc	SMT012	Sc	RNA	TRUE	FALSE	
MHS422	SMT012_Ch	SMT012	Ch	RNA	TRUE	FALSE	
MHS423	SMT012_Ac	SMT012	Ac	RNA	TRUE	FALSE	
MHS424	SMT012_Vf	SMT012	Vf	RNA	TRUE	FALSE	
MHS425	SMT012_Tw	SMT012	Tw	RNA	TRUE	FALSE	
MHS426	SMT014_Sc	SMT014	Sc	RNA	TRUE	FALSE	
MHS427	SMT014_Ch	SMT014	Ch	RNA	TRUE	FALSE	
MHS428	SMT014_Tw	SMT014	Tw	RNA	TRUE	FALSE	
MHS429	SMT024_Sc	SMT024	Sc	RNA	TRUE	FALSE	
MHS430	SMT024_Ch	SMT024	Ch	RNA	TRUE	FALSE	
MHS431	Neg004	Neg004	neg-ctrl	RNA	TRUE	TRUE	
MHS432	SMT016_Sc	SMT016	Sc	RNA	TRUE	FALSE	
MHS433	SMT016_Ch	SMT016	Ch	RNA	TRUE	FALSE	
MHS434	SMT016_Tw	SMT016	Tw	RNA	TRUE	FALSE	
MHS435	SMT020_Ch	SMT020	Ch	RNA	TRUE	FALSE	
MHS436	SMT020_Tw	SMT020	Tw	RNA	TRUE	FALSE	
MHS437	SMT025_Sc	SMT025	Sc	RNA	TRUE	FALSE	
