Sample	ERCC Mix	RNA Conc. (ng/uL)	DF	RNA input	Vol of RNA	UMI	PCR cycles	Library Conc. (pg/uL)	Lib Conc. (ng/uL)	Lib vol (uL)	Dil. Fac	Library ID
REV002_Sc_T1	2	0.919	1	10.00	10.88	No	14	1060	1.06	13	1	MBM158
REV002_Ch_T1	1	0.218	1	2.40	11.00	No	14	24.1	0.0241	13	1	MBM159
REV002_Ac_T1	2	0.0432	1	0.48	11.00	No	14	18.7	0.0187	13	1	MBM160
REV002_Tw_T1	1	0.114	1	1.25	11.00	No	14	18	0.018	13	1	MBM161
REV002_Sc_T2	2	0.865	1	9.52	11.00	No	14	1380	1.38	13	1	MBM162
REV002_Ch_T2	1	0.23	1	2.53	11.00	No	14	35	0.035	13	1	MBM163
REV002_Ac_T2	2	0.0496	1	0.55	11.00	No	14	35.9	0.0359	13	1	MBM164
REV002_Tw_T2	1	0.227	1	2.50	11.00	No	14	68.5	0.0685	13	1	MBM165
MC5_01		21.7	5	10.00	0.46	No	14	289	0.289	13	1	MBM166
MC5_02		21	5	10.00	0.48	No	14	803	0.803	13	1	MBM167
MC5_03		23.8	5	10.00	0.42	No	14	796	0.796	13	1	MBM168
MC19_01		18.6	5	10.00	0.54	No	14	1700	1.7	13	2	MBM169
MC19_02		22.7	5	10.00	0.44	No	14	1110	1.11	13	1	MBM170
MC19_03		22.7	5	10.00	0.44	No	14	1920	1.92	13	2	MBM171
Extraction Control (EC)		0.05	1	5.00	11.00	No	14	29.3	0.0293	13	1	MBM172
