mock_comm_id	species_redundant	species	rel_abun_ground_truth_DNA	genome_size
MC4-uniform	Escherichia coli_MC4	Escherichia coli	13.06412876	5209985
MC4-uniform	Klebsiella pneumoniae_MC4	Klebsiella pneumoniae	13.82599533	5513818
MC4-uniform	Bacteroides fragilis_MC4	Bacteroides fragilis	13.1299862	5236249
MC4-uniform	Enterococcus faecium_VRE_MC4	Enterococcus faecium_VRE	7.912872793	3155660
MC4-uniform	Enterobacter hormaechei_MC4	Enterobacter hormaechei	12.02810777	4796819
MC4-uniform	Clostridium perfringens_MC4	Clostridium perfringens	8.510624853	3394044
MC4-uniform	Lactobacillus gasseri_MC4	Lactobacillus gasseri	4.649622067	1854273
MC4-uniform	Salmonella typimurium_MC4	Salmonella typimurium	12.18887976	4860935
MC4-uniform	Enterococcus faecalis_MC4	Enterococcus faecalis	7.645511243	3049036
MC4-uniform	Staphylococcus aureus_MC4	Staphylococcus aureus	7.044271225	2809261
MC5-log10	Escherichia coli_MC5	Escherichia coli	89.01359635	5209985
MC5-log10	Klebsiella pneumoniae_MC5	Klebsiella pneumoniae	9.409891251	5513818
MC5-log10	Bacteroides fragilis_MC5	Bacteroides fragilis	0.893619152	5236249
MC5-log10	Enterococcus faecium_VRE_MC5	Enterococcus faecium_VRE	0.538545477	3155660
MC5-log10	Enterobacter hormaechei_MC5	Enterobacter hormaechei	0.081862595	4796819
MC5-log10	Clostridium perfringens_MC5	Clostridium perfringens	0.057922813	3394044
MC5-log10	Lactobacillus gasseri_MC5	Lactobacillus gasseri	0.003164505	1854273
MC5-log10	Salmonella typimurium_MC5	Salmonella typimurium	0.000829568	4860935
MC5-log10	Enterococcus faecalis_MC5	Enterococcus faecalis	0.000520349	3049036
MC5-log10	Staphylococcus aureus_MC5	Staphylococcus aureus	4.79429E-05	2809261
MC19-uniform	Staphylococcus epidermidis_MC19	Staphylococcus epidermidis	10.30511166	2492107
MC19-uniform	Staphylococcus aureus_MRSA_MC19	Staphylococcus aureus_MRSA	12.18505631	2946738
MC19-uniform	Staphylococcus lugdunensis_MC19	Staphylococcus lugdunensis	10.50449378	2540324
MC19-uniform	Cutibacterium acnes_MC19	Cutibacterium acnes	10.31642116	2494842
MC19-uniform	Corynebacterium resistens_MC19	Corynebacterium resistens	10.75668112	2601311
MC19-uniform	Staphylococcus capitis_MC19	Staphylococcus capitis	10.23436837	2474999
MC19-uniform	Micrococcus luteus_MC19	Micrococcus luteus	10.17836671	2461456
MC19-uniform	Streptococcus mitis_MC19	Streptococcus mitis	7.727918855	1868859
MC19-uniform	Streptococcus salivarius_MC19	Streptococcus salivarius	9.122655005	2206151
MC19-uniform	Streptococcus pneumoniae_MC19	Streptococcus pneumoniae	8.668927023	2096425
