feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	source
COG0593	Tw_RNA	Tw_RNA	2.2144171730408	0.341015949380685	72	57	1.14478055800377e-8	1.4942673409804306e-5	bacteria
COG4284	Tw_RNA	Tw_RNA	2.50683699747808	0.360037920341441	72	52	1.60329113839102e-8	1.4942673409804306e-5	bacteria
COG4932	Tw_RNA	Tw_RNA	-2.02358727210788	0.308645948924361	72	71	3.19927880129949e-8	1.9878185618740832e-5	bacteria
COG0101	Tw_RNA	Tw_RNA	2.16814214549881	0.327456315344866	72	47	5.23425204800521e-8	2.439161454370428e-5	bacteria
COG0130	Tw_RNA	Tw_RNA	2.07424231606976	0.318765096672532	72	51	1.02292432856116e-7	3.813461896876005e-5	bacteria
COG0156	Tw_RNA	Tw_RNA	2.57410806658121	0.429922593094373	72	50	2.61752965091797e-7	7.924620429920792e-5	bacteria
COG4512	Tw_RNA	Tw_RNA	-2.1631476990941	0.360196622765056	72	39	2.97598406703034e-7	7.924620429920792e-5	bacteria
30595	Tw_RNA	Tw_RNA	-1.77250211050975	0.299915083936103	72	36	3.89875094157977e-7	9.084089693880863e-5	bacteria
COG1069	Tw_RNA	Tw_RNA	2.25458730199295	0.380746692563133	72	39	4.4690315922061e-7	9.255860986524633e-5	bacteria
COG0526	Tw_RNA	Tw_RNA	-1.54723177198988	0.263752975972232	72	72	5.47818539812943e-7	1.000285170289601e-4	bacteria
COG1396	Tw_RNA	Tw_RNA	-1.87805007596506	0.32458127680146	72	66	6.17557953634884e-7	1.000285170289601e-4	bacteria
COG1937	Tw_RNA	Tw_RNA	-2.06647666019247	0.346246483978801	72	59	6.78748984264052e-7	1.000285170289601e-4	bacteria
COG3610	Tw_RNA	Tw_RNA	2.48233380784885	0.437178813641346	72	61	6.9762377756249e-7	1.000285170289601e-4	bacteria
COG0648	Tw_RNA	Tw_RNA	2.44178359142792	0.448176901261373	72	55	7.60134398045563e-7	1.012064655683521e-4	bacteria
COG4988	Tw_RNA	Tw_RNA	2.06501585435706	0.382864571479777	72	49	9.40932822832978e-7	1.169265854507114e-4	bacteria
COG1882	Tw_RNA	Tw_RNA	-2.30700224884197	0.411281560786593	72	59	1.16494237255686e-6	1.357157864028742e-4	bacteria
COG0116	Tw_RNA	Tw_RNA	2.23569424593875	0.421975186700369	72	41	1.36317994234596e-6	1.494686713254629e-4	bacteria
2ZJ01	Tw_RNA	Tw_RNA	-3.49786267963695	0.632744110553966	72	48	1.50397262913231e-6	1.5388984309017985e-4	bacteria
COG2176	Tw_RNA	Tw_RNA	2.40651134028742	0.436593417752425	72	60	1.56861964523252e-6	1.5388984309017985e-4	bacteria
COG1013	Tw_RNA	Tw_RNA	2.14775927419958	0.38454657587632	72	57	1.66633992129724e-6	1.5530288066490278e-4	bacteria
COG0407	Tw_RNA	Tw_RNA	2.21283434014236	0.423433511432065	72	58	1.80192276642042e-6	1.5994209698131729e-4	bacteria
COG4987	Tw_RNA	Tw_RNA	2.05341429683123	0.382371528889126	72	53	2.08366650066319e-6	1.7654337987437212e-4	bacteria
COG0783	Tw_RNA	Tw_RNA	-1.32684029627616	0.243854905254551	72	60	2.30648474726825e-6	1.8692554647426165e-4	bacteria
COG1488	Tw_RNA	Tw_RNA	2.12021290381425	0.395717665711527	72	60	2.52794591502982e-6	1.963371327339827e-4	bacteria
COG3237	Tw_RNA	Tw_RNA	-1.63888173063203	0.309103321814518	72	29	2.64654653220713e-6	1.973265094413636e-4	bacteria
COG2056	Tw_RNA	Tw_RNA	1.78742039979013	0.339871434035522	72	33	2.98030604914384e-6	2.1366501829246607e-4	bacteria
COG0444	Tw_RNA	Tw_RNA	1.79594069324472	0.338594332793005	72	52	3.13274017792804e-6	2.1627509969103208e-4	bacteria
COG0083	Tw_RNA	Tw_RNA	1.81497199613119	0.346846858165048	72	47	3.89865567740013e-6	2.540667535090326e-4	bacteria
COG0008	Tw_RNA	Tw_RNA	1.46003770820668	0.282408130761092	72	69	4.08905719166898e-6	2.540667535090326e-4	bacteria
COG0161	Tw_RNA	Tw_RNA	2.24023168662984	0.447000880770699	72	48	4.08762266442751e-6	2.540667535090326e-4	bacteria
COG1165	Tw_RNA	Tw_RNA	1.99870238814985	0.386997898783616	72	61	4.4966460525397e-6	2.703789755462581e-4	bacteria
COG1595	Tw_RNA	Tw_RNA	-1.26151178005288	0.243494174587198	72	71	4.66807448903225e-6	2.7191533898612857e-4	bacteria
COG1435	Tw_RNA	Tw_RNA	1.91716950726292	0.370171026248771	72	55	4.95893395788818e-6	2.8010463325768385e-4	bacteria
COG2706	Tw_RNA	Tw_RNA	2.21582405347072	0.429005709601844	72	51	5.20995282520924e-6	2.856280019467654e-4	bacteria
COG0572	Tw_RNA	Tw_RNA	2.15610233634681	0.42353869225597	72	58	5.82917208075056e-6	3.1044505024340125e-4	bacteria
COG0656	Tw_RNA	Tw_RNA	-1.12993944579769	0.221510478920451	72	72	7.82498389212042e-6	4.0516027708090174e-4	bacteria
COG0071	Tw_RNA	Tw_RNA	-1.39395019645888	0.279170724424944	72	40	9.57495613502701e-6	4.8237076312676613e-4	bacteria
2ZFSE	Tw_RNA	Tw_RNA	-2.22027638066727	0.448595700931504	72	21	1.11087830007602e-5	5.437652463450559e-4	bacteria
COG1014	Tw_RNA	Tw_RNA	2.03739290107166	0.418855315748006	72	65	1.13770625576487e-5	5.437652463450559e-4	bacteria
COG2963	Tw_RNA	Tw_RNA	-1.89359248304742	0.389651386223279	72	59	1.17271323164153e-5	5.464843659449529e-4	bacteria
317ZU	Tw_RNA	Tw_RNA	-3.5529000070338	0.732565053701359	72	15	1.24281037522659e-5	5.650240340054546e-4	bacteria
COG1024	Tw_RNA	Tw_RNA	-2.44381339520763	0.505737993494998	72	57	1.29565661066696e-5	5.75024743400765e-4	bacteria
305CS	Tw_RNA	Tw_RNA	-2.03629170141848	0.424612956711872	72	25	1.58247490386589e-5	6.859844699548881e-4	bacteria
COG0169	Tw_RNA	Tw_RNA	1.81977218807418	0.395146944547535	72	60	1.85958303961895e-5	7.87786996784028e-4	bacteria
COG2916	Tw_RNA	Tw_RNA	-2.7085155420239	0.572483015133365	72	11	1.96223008184194e-5	7.952425315859688e-4	bacteria
COG0707	Tw_RNA	Tw_RNA	1.86040613507326	0.405266629531302	72	63	1.96250839339885e-5	7.952425315859688e-4	bacteria
COG2813	Tw_RNA	Tw_RNA	1.97659517771789	0.417871489424188	72	61	2.06707273799627e-5	8.197922518351164e-4	bacteria
COG1788	Tw_RNA	Tw_RNA	-3.27139066712046	0.696127520165776	72	33	2.27828972722571e-5	8.847358440726509e-4	bacteria
COG0281	Tw_RNA	Tw_RNA	1.99567570743111	0.421669584604044	72	60	2.4139859335289e-5	9.182999551220142e-4	bacteria
COG0316	Tw_RNA	Tw_RNA	-0.871888902431679	0.187234284790715	72	58	2.50183010439293e-5	9.23224874372889e-4	bacteria
COG0568	Tw_RNA	Tw_RNA	-0.912071178914123	0.192322647078191	72	72	2.53104673756998e-5	9.23224874372889e-4	bacteria
COG0143	Tw_RNA	Tw_RNA	1.68176042682893	0.362653411208177	72	66	2.62504926726197e-5	9.23224874372889e-4	bacteria
COG0789	Tw_RNA	Tw_RNA	-0.839857546360396	0.180457816886855	72	72	2.62319546582208e-5	9.23224874372889e-4	bacteria
COG1132	Tw_RNA	Tw_RNA	1.33445889597827	0.296290804265182	72	70	2.69027594849525e-5	9.286434014805825e-4	bacteria
COG0556	Tw_RNA	Tw_RNA	2.08033560497978	0.449934907398087	72	63	2.79197522176468e-5	9.462257842489752e-4	bacteria
COG0061	Tw_RNA	Tw_RNA	1.74084408384552	0.388984660620856	72	58	2.98272274701015e-5	9.89303797253138e-4	bacteria
COG1538	Tw_RNA	Tw_RNA	-3.15003258838931	0.686249829314069	72	40	3.02523156885348e-5	9.89303797253138e-4	bacteria
COG1268	Tw_RNA	Tw_RNA	2.01775135295631	0.433627447143339	72	45	3.18173475037555e-5	0.0010225437197758664	bacteria
